model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_map2_map4_map8,Fish,137,0.977142870426178,0.9771428108215332,0.6270009279251099,1.0,1.0,2.0565223621815676e-06
lite,gap_map2_map4_map8,PowerCons,297,0.9777777791023254,0.9777777194976807,0.18485400080680847,1.0,1.0,5.960463678178485e-09
lite,gap_map2_map4_map8,Worms,171,0.7402597665786743,0.7402597069740295,1.7123404741287231,1.0,1.0,0.00022246857406571507
lite,gap_map2_map4_map8,WormsTwoClass,171,0.7402597665786743,0.7402597069740295,1.478061556816101,1.0,1.0,9.875905379885808e-05
lite,gap_map2_map4_map8,FacesUCR,314,0.9614633917808533,0.9614633321762085,0.19848348200321198,1.0,1.0,0.0
lite,gap_map2_map4_map8,OSULeaf,145,0.9173553586006165,0.9173552989959717,0.45432060956954956,1.0,1.0,1.2147384040872566e-06
lite,gap_map2_map4_map8,GestureMidAirD1,142,0.7153846025466919,0.7153845429420471,2.4696390628814697,1.0,1.0,1.593035449332092e-05
lite,gap_map2_map4_map8,GestureMidAirD2,141,0.6384615302085876,0.6384614706039429,2.836440086364746,1.0,1.0,0.0010351729579269886
lite,gap_map2_map4_map8,GestureMidAirD3,139,0.45384615659713745,0.4538460969924927,5.466006278991699,1.0,1.0,3.2810199627419934e-05
lite,gap_map2_map4_map8,Phoneme,211,0.3233122229576111,0.3233121633529663,7.3854146003723145,1.0,1.0,1.3419705283013172e-05
lite,gap_map2_map4_map8,InsectWingbeatSound,153,0.6106060743331909,0.6106060147285461,3.320594310760498,1.0,1.0,4.1468324525339995e-06
lite,gap_map2_map4_map8,Computers,193,0.7279999852180481,0.7279999256134033,1.9697762727737427,1.0,1.0,2.3878184947534464e-05
lite,gap_map2_map4_map8,WordSynonyms,327,0.7366771101951599,0.7366769909858704,3.270522356033325,1.0,1.0,1.3394301667801756e-08
lite,gap_map2_map4_map8,AllGestureWiimoteX,193,0.7871428728103638,0.787142813205719,1.7157639265060425,1.0,1.0,2.3690747639193432e-06
lite,gap_map2_map4_map8,AllGestureWiimoteY,188,0.7814285755157471,0.7814285159111023,1.7174912691116333,1.0,1.0,1.118975660574506e-06
lite,gap_map2_map4_map8,AllGestureWiimoteZ,190,0.7057142853736877,0.705714225769043,2.0287976264953613,1.0,1.0,1.0407536137790885e-05
lite,gap_map2_map4_map8,SemgHandGenderCh2,320,0.9183333516120911,0.9183332920074463,0.36207902431488037,1.0,1.0,6.53663448701991e-07
lite,gap_map2_map4_map8,Yoga,186,0.8930000066757202,0.8929999470710754,0.7141308784484863,1.0,1.0,9.504929607828672e-07
lite,gap_map2_map4_map8,Earthquakes,203,0.7050359845161438,0.705035924911499,2.8342530727386475,1.0,1.0,7.241395110213489e-07
lite,gap_map2_map4_map8,EOGHorizontalSignal,355,0.5635359287261963,0.5635358691215515,4.593699932098389,1.0,1.0,1.533257818664424e-05
lite,gap_map2_map4_map8,EOGVerticalSignal,349,0.46408841013908386,0.4640883505344391,8.15869140625,1.0,1.0,1.9254861399531364e-05
lite,gap_map2_map4_map8,LargeKitchenAppliances,262,0.8640000224113464,0.8639999628067017,1.220520257949829,1.0,1.0,2.958887534987298e-06
lite,gap_map2_map4_map8,RefrigerationDevices,264,0.5306666493415833,0.5306665897369385,4.755756378173828,1.0,1.0,8.603063179180026e-06
lite,gap_map2_map4_map8,ScreenType,265,0.5146666765213013,0.5146666169166565,3.5387206077575684,1.0,1.0,0.0002046831214101985
lite,gap_map2_map4_map8,SmallKitchenAppliances,263,0.7893333435058594,0.7893332839012146,1.7568435668945312,1.0,1.0,4.077073754160665e-05
lite,gap_map2_map4_map8,MedicalImages,481,0.753947377204895,0.7539472579956055,2.044058322906494,1.0,1.0,1.9860497559420764e-05
lite,gap_map2_map4_map8,Adiac,399,0.8132992386817932,0.8132991790771484,2.2040135860443115,1.0,1.0,0.00016471228445880115
lite,gap_map2_map4_map8,CricketX,200,0.7948718070983887,0.7948718070983887,1.4181712865829468,1.0,1.0,5.080141249891312e-07
lite,gap_map2_map4_map8,CricketY,204,0.8153846263885498,0.815384566783905,1.1391777992248535,1.0,1.0,1.6414097672168282e-06
lite,gap_map2_map4_map8,CricketZ,200,0.7897436022758484,0.7897435426712036,1.8921358585357666,1.0,1.0,5.44693818937958e-07
lite,gap_map2_map4_map8,MiddlePhalanxTW,491,0.5194805264472961,0.5194804668426514,4.605946063995361,1.0,1.0,1.1486640687508043e-05
lite,gap_map2_map4_map8,DistalPhalanxOutlineAgeGroup,488,0.7194244861602783,0.7194243669509888,2.7117226123809814,1.0,1.0,5.006781975680497e-07
