model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_mpvH_ppvHste,Fish,137,0.9828571677207947,0.9828571081161499,1.442426323890686,1.0,1.0,1.372508177155396e-05
lite,gap_mpvH_ppvHste,PowerCons,339,0.9611111283302307,0.9611110687255859,0.102385014295578,1.0,1.0,9.8595985036809e-05
lite,gap_mpvH_ppvHste,Worms,167,0.8051947951316833,0.8051947355270386,0.8186936378479004,1.0,1.0,0.004984713159501553
lite,gap_mpvH_ppvHste,WormsTwoClass,161,0.8051947951316833,0.8051947355270386,1.0089268684387207,1.0,1.0,0.0014987909235060215
lite,gap_mpvH_ppvHste,FacesUCR,349,0.9614633917808533,0.9614633321762085,0.19105161726474762,1.0,1.0,8.130066362355137e-07
lite,gap_mpvH_ppvHste,OSULeaf,285,0.9752066135406494,0.9752065539360046,0.1487414389848709,1.0,1.0,2.2012516637914814e-05
lite,gap_mpvH_ppvHste,GestureMidAirD1,307,0.692307710647583,0.6923076510429382,1.7348730564117432,1.0,1.0,0.0010242850985378027
lite,gap_mpvH_ppvHste,GestureMidAirD2,310,0.699999988079071,0.6999999284744263,1.2153278589248657,0.9855769276618958,0.985576868057251,0.07642054557800293
lite,gap_mpvH_ppvHste,GestureMidAirD3,308,0.36153846979141235,0.3615384101867676,3.683748722076416,1.0,1.0,0.004031703807413578
lite,gap_mpvH_ppvHste,Phoneme,200,0.2858649790287018,0.285864919424057,5.591434478759766,1.0,1.0,0.0009935309644788504
lite,gap_mpvH_ppvHste,InsectWingbeatSound,162,0.6111111044883728,0.611111044883728,2.27912974357605,1.0,1.0,0.00010272323561366647
lite,gap_mpvH_ppvHste,Computers,190,0.7760000228881836,0.775999903678894,2.2294931411743164,1.0,1.0,0.0003369833866599947
lite,gap_mpvH_ppvHste,WordSynonyms,387,0.6927899718284607,0.6927899122238159,1.9421526193618774,1.0,1.0,3.357101377332583e-05
lite,gap_mpvH_ppvHste,AllGestureWiimoteX,189,0.75,0.7499999403953552,1.8414947986602783,1.0,1.0,7.600444951094687e-05
lite,gap_mpvH_ppvHste,AllGestureWiimoteY,186,0.8128571510314941,0.8128570914268494,1.0166147947311401,1.0,1.0,8.18582993815653e-05
lite,gap_mpvH_ppvHste,AllGestureWiimoteZ,187,0.75,0.7499999403953552,1.3351984024047852,1.0,1.0,0.0004246766329742968
lite,gap_mpvH_ppvHste,SemgHandGenderCh2,298,0.8183333277702332,0.8183332681655884,0.5992746949195862,1.0,1.0,6.571492576767923e-06
lite,gap_mpvH_ppvHste,Yoga,219,0.9023333191871643,0.9023332595825195,0.39684227108955383,1.0,1.0,2.621304156491533e-05
lite,gap_mpvH_ppvHste,Earthquakes,197,0.6690647602081299,0.6690647006034851,1.3144735097885132,1.0,1.0,5.7910423493012786e-05
lite,gap_mpvH_ppvHste,EOGHorizontalSignal,331,0.591160237789154,0.5911601781845093,2.2344248294830322,1.0,1.0,0.0015621045604348183
lite,gap_mpvH_ppvHste,EOGVerticalSignal,330,0.4116021990776062,0.4116021394729614,4.698919773101807,1.0,1.0,0.004949521739035845
lite,gap_mpvH_ppvHste,LargeKitchenAppliances,251,0.8853333592414856,0.8853332996368408,0.9269963502883911,1.0,1.0,1.4398218809219543e-05
lite,gap_mpvH_ppvHste,RefrigerationDevices,255,0.5120000243186951,0.5119999647140503,4.95542573928833,1.0,1.0,0.00016427756054326892
lite,gap_mpvH_ppvHste,ScreenType,254,0.5600000023841858,0.559999942779541,3.070859909057617,1.0,1.0,0.0048149055801332
lite,gap_mpvH_ppvHste,SmallKitchenAppliances,249,0.7680000066757202,0.7679999470710754,1.1987401247024536,0.984000027179718,0.9839999675750732,0.035416822880506516
lite,gap_mpvH_ppvHste,MedicalImages,473,0.7565789222717285,0.7565788626670837,1.5916277170181274,1.0,1.0,0.000203051749849692
lite,gap_mpvH_ppvHste,Adiac,332,0.8414322137832642,0.8414321541786194,0.7252264618873596,0.9923076629638672,0.9923076033592224,0.019914155825972557
lite,gap_mpvH_ppvHste,CricketX,202,0.807692289352417,0.8076922297477722,1.0177024602890015,1.0,1.0,2.0557108655339107e-05
lite,gap_mpvH_ppvHste,CricketY,193,0.8256410360336304,0.8256409764289856,0.7811119556427002,1.0,1.0,2.89712716039503e-05
lite,gap_mpvH_ppvHste,CricketZ,200,0.8384615182876587,0.8384614586830139,0.8052950501441956,1.0,1.0,4.1065457480726764e-05
lite,gap_mpvH_ppvHste,MiddlePhalanxTW,474,0.5129870176315308,0.512986958026886,3.894866943359375,1.0,1.0,2.848576332326047e-05
lite,gap_mpvH_ppvHste,DistalPhalanxOutlineAgeGroup,465,0.7194244861602783,0.7194243669509888,2.037081241607666,1.0,1.0,7.442590231221402e-06
