model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_ppvHste,Fish,138,0.9714285731315613,0.9714285135269165,1.0000423192977905,1.0,1.0,2.7882359063369222e-05
lite,gap_ppvHste,PowerCons,245,0.9555555582046509,0.9555554986000061,0.15388737618923187,1.0,1.0,0.00015115678252186626
lite,gap_ppvHste,Worms,162,0.7402597665786743,0.7402597069740295,1.0119853019714355,1.0,1.0,0.010166491381824017
lite,gap_ppvHste,WormsTwoClass,160,0.8051947951316833,0.8051947355270386,0.773314356803894,1.0,1.0,0.0031369240023195744
lite,gap_ppvHste,FacesUCR,306,0.9604877829551697,0.9604877233505249,0.18508654832839966,1.0,1.0,3.5762775496550603e-07
lite,gap_ppvHste,OSULeaf,160,0.9545454382896423,0.9545453786849976,0.19200800359249115,1.0,1.0,4.471828287933022e-05
lite,gap_ppvHste,GestureMidAirD1,251,0.7153846025466919,0.7153845429420471,1.38438880443573,1.0,1.0,0.0015209265984594822
lite,gap_ppvHste,GestureMidAirD2,248,0.6615384817123413,0.6615384221076965,1.312989592552185,0.9759615659713745,0.9759615063667297,0.0918201208114624
lite,gap_ppvHste,GestureMidAirD3,243,0.36153846979141235,0.3615384101867676,3.891054391860962,1.0,1.0,0.003463038243353367
lite,gap_ppvHste,Phoneme,199,0.29113924503326416,0.2911391854286194,5.633322715759277,1.0,1.0,0.0014016026398167014
lite,gap_ppvHste,InsectWingbeatSound,149,0.6171717047691345,0.6171716451644897,2.266212224960327,1.0,1.0,7.891519635450095e-05
lite,gap_ppvHste,Computers,185,0.7400000095367432,0.7399999499320984,1.7901873588562012,1.0,1.0,0.0005476776277646422
lite,gap_ppvHste,WordSynonyms,318,0.7006269693374634,0.7006269097328186,2.166199207305908,1.0,1.0,3.412842488614842e-05
lite,gap_ppvHste,AllGestureWiimoteX,190,0.7657142877578735,0.7657142281532288,1.4271397590637207,1.0,1.0,2.242590198875405e-05
lite,gap_ppvHste,AllGestureWiimoteY,184,0.7985714077949524,0.7985713481903076,1.0553478002548218,1.0,1.0,2.734763802436646e-05
lite,gap_ppvHste,AllGestureWiimoteZ,184,0.7342857122421265,0.7342856526374817,1.5236760377883911,1.0,1.0,8.488595631206408e-05
lite,gap_ppvHste,SemgHandGenderCh2,298,0.846666693687439,0.8466666340827942,0.5552904009819031,1.0,1.0,2.8821885280194692e-05
lite,gap_ppvHste,Yoga,176,0.9173333048820496,0.9173332452774048,0.34720852971076965,1.0,1.0,6.719111115671694e-05
lite,gap_ppvHste,Earthquakes,189,0.7410072088241577,0.7410071492195129,1.2917951345443726,1.0,1.0,7.507202099077404e-05
lite,gap_ppvHste,EOGHorizontalSignal,330,0.5718231797218323,0.5718231201171875,2.2585980892181396,1.0,1.0,0.005583895370364189
lite,gap_ppvHste,EOGVerticalSignal,329,0.3867403268814087,0.3867402672767639,5.3506693840026855,1.0,1.0,0.0018346774158999324
lite,gap_ppvHste,LargeKitchenAppliances,248,0.8799999952316284,0.8799999356269836,0.8075873851776123,1.0,1.0,2.4933347958722152e-05
lite,gap_ppvHste,RefrigerationDevices,246,0.5360000133514404,0.5359999537467957,4.448115348815918,1.0,1.0,0.0004072715528309345
lite,gap_ppvHste,ScreenType,245,0.5360000133514404,0.5359999537467957,2.785141944885254,1.0,1.0,0.0011042855912819505
lite,gap_ppvHste,SmallKitchenAppliances,248,0.7093333601951599,0.7093333005905151,1.2770017385482788,0.9626666903495789,0.9626666307449341,0.07229738682508469
lite,gap_ppvHste,MedicalImages,424,0.7592105269432068,0.759210467338562,1.5460294485092163,1.0,1.0,0.00022787295165471733
lite,gap_ppvHste,Adiac,472,0.8439897894859314,0.8439897298812866,0.8207465410232544,0.9948717951774597,0.9948717355728149,0.030839242041110992
lite,gap_ppvHste,CricketX,199,0.8205128312110901,0.8205127716064453,0.944871723651886,1.0,1.0,3.7141267966944724e-05
lite,gap_ppvHste,CricketY,195,0.8256410360336304,0.8256409764289856,0.761303722858429,1.0,1.0,0.00010614288476062939
lite,gap_ppvHste,CricketZ,195,0.8487179279327393,0.8487178683280945,0.6875903010368347,1.0,1.0,6.441597361117601e-05
lite,gap_ppvHste,MiddlePhalanxTW,440,0.4740259647369385,0.4740259051322937,4.49349308013916,1.0,1.0,5.932321437285282e-05
lite,gap_ppvHste,DistalPhalanxOutlineAgeGroup,421,0.7194244861602783,0.7194243669509888,2.3853917121887207,1.0,1.0,9.226470865542069e-06
