model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gmp,Fish,144,0.9371428489685059,0.9371427893638611,1.6806424856185913,1.0,1.0,1.5851394437049748e-06
lite,gmp,PowerCons,275,0.9277777671813965,0.9277777075767517,0.2694207429885864,1.0,1.0,5.2981899756332496e-08
lite,gmp,Worms,165,0.7402597665786743,0.7402597069740295,1.1142278909683228,1.0,1.0,0.00016162943211384118
lite,gmp,WormsTwoClass,166,0.7272727489471436,0.7272726893424988,1.2521417140960693,1.0,1.0,1.53791370394174e-05
lite,gmp,FacesUCR,330,0.9024389982223511,0.9024389386177063,0.40584203600883484,1.0,1.0,1.4901160305669237e-08
lite,gmp,OSULeaf,153,0.8429751992225647,0.8429751396179199,0.6972528696060181,1.0,1.0,5.245205443316081e-07
lite,gmp,GestureMidAirD1,319,0.6615384817123413,0.6615384221076965,1.67499840259552,1.0,1.0,4.935101969749667e-05
lite,gmp,GestureMidAirD2,317,0.5615384578704834,0.5615383982658386,3.007239580154419,1.0,1.0,0.0010444832732900977
lite,gmp,GestureMidAirD3,322,0.3153846263885498,0.31538456678390503,5.794413089752197,1.0,1.0,0.00032265004119835794
lite,gmp,Phoneme,209,0.17405062913894653,0.17405058443546295,6.174482345581055,1.0,1.0,5.05504067405127e-05
lite,gmp,InsectWingbeatSound,175,0.5904040336608887,0.5904039740562439,2.579864740371704,1.0,1.0,1.426174435437133e-06
lite,gmp,Computers,196,0.7319999933242798,0.731999933719635,1.4267077445983887,1.0,1.0,7.009497835497314e-07
lite,gmp,WordSynonyms,400,0.5579937100410461,0.5579936504364014,3.0692012310028076,1.0,1.0,6.6015554693876766e-06
lite,gmp,AllGestureWiimoteX,204,0.6800000071525574,0.6799999475479126,1.9547464847564697,1.0,1.0,3.6676686931969016e-07
lite,gmp,AllGestureWiimoteY,202,0.7114285826683044,0.7114285230636597,2.133901834487915,1.0,1.0,1.4106430512583756e-07
lite,gmp,AllGestureWiimoteZ,200,0.6585714221000671,0.6585713624954224,2.0716452598571777,1.0,1.0,1.3526242810257827e-06
lite,gmp,SemgHandGenderCh2,315,0.67166668176651,0.6716666221618652,2.1406350135803223,1.0,1.0,1.0772536143122124e-06
lite,gmp,Yoga,185,0.8366666436195374,0.8366665840148926,0.9078518152236938,1.0,1.0,1.2918285392515827e-06
lite,gmp,Earthquakes,212,0.7482014298439026,0.7482013702392578,2.6898226737976074,1.0,1.0,0.0
lite,gmp,EOGHorizontalSignal,333,0.5220994353294373,0.5220993757247925,4.07658576965332,1.0,1.0,1.009556399367284e-05
lite,gmp,EOGVerticalSignal,331,0.4364641010761261,0.4364640414714813,5.122398853302002,1.0,1.0,1.8105598428519443e-05
lite,gmp,LargeKitchenAppliances,259,0.8666666746139526,0.8666666150093079,1.5795056819915771,1.0,1.0,7.057187900727513e-08
lite,gmp,RefrigerationDevices,261,0.4880000054836273,0.48799994587898254,4.013217926025391,1.0,1.0,8.106231064175518e-08
lite,gmp,ScreenType,255,0.4533333480358124,0.4533332884311676,3.388629198074341,1.0,1.0,2.1808653400512412e-05
lite,gmp,SmallKitchenAppliances,251,0.6320000290870667,0.6319999694824219,1.6364879608154297,0.9893333315849304,0.9893332719802856,0.03036884218454361
lite,gmp,MedicalImages,504,0.6736842393875122,0.6736841797828674,2.07075572013855,1.0,1.0,4.3284417188260704e-05
lite,gmp,Adiac,298,0.7928388714790344,0.7928388714790344,1.1040960550308228,1.0,1.0,0.00043345795711502433
lite,gmp,CricketX,207,0.7307692170143127,0.730769157409668,1.5568010807037354,1.0,1.0,6.082725576561643e-07
lite,gmp,CricketY,204,0.735897421836853,0.7358973622322083,1.197082281112671,1.0,1.0,5.398036933002004e-07
lite,gmp,CricketZ,206,0.7102563977241516,0.7102563381195068,1.597721815109253,1.0,1.0,6.544278221554123e-07
lite,gmp,MiddlePhalanxTW,496,0.5194805264472961,0.5194804668426514,3.8453211784362793,1.0,1.0,1.0128289886779385e-06
lite,gmp,DistalPhalanxOutlineAgeGroup,494,0.6834532618522644,0.6834532022476196,2.127410411834717,1.0,1.0,6.088600912335096e-07
