model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,mipvH,Fish,135,0.7542856931686401,0.7542856335639954,1.0392647981643677,0.9200000166893005,0.9199999570846558,0.28108733892440796
lite,mipvH,PowerCons,345,0.8888888955116272,0.8888888359069824,0.6107162237167358,1.0,1.0,0.000733166525606066
lite,mipvH,Worms,164,0.350649356842041,0.35064929723739624,13.014996528625488,0.9558011293411255,0.9558010697364807,0.14622971415519714
lite,mipvH,WormsTwoClass,162,0.701298713684082,0.7012986540794373,3.9999396800994873,1.0,1.0,0.0020715349819511175
lite,mipvH,FacesUCR,371,0.8697561025619507,0.8697560429573059,0.8200240135192871,1.0,1.0,0.001721437438391149
lite,mipvH,OSULeaf,148,0.40909090638160706,0.4090908467769623,4.969940662384033,0.9850000143051147,0.98499995470047,0.06281457841396332
lite,mipvH,GestureMidAirD1,309,0.5538461804389954,0.5538461208343506,5.021514415740967,0.9519230723381042,0.9519230127334595,0.18349100649356842
lite,mipvH,GestureMidAirD2,296,0.4692307710647583,0.4692307114601135,2.4850800037384033,0.7596153616905212,0.7596153020858765,0.7031080722808838
lite,mipvH,GestureMidAirD3,306,0.2538461685180664,0.25384610891342163,9.055974006652832,0.7740384340286255,0.7740383744239807,0.6579561829566956
lite,mipvH,Phoneme,198,0.125,0.12499995529651642,19.161718368530273,0.8738317489624023,0.8738316893577576,0.3601594865322113
lite,mipvH,InsectWingbeatSound,162,0.5060606002807617,0.5060605406761169,2.1638619899749756,0.918181836605072,0.9181817770004272,0.282919317483902
lite,mipvH,Computers,191,0.5960000157356262,0.5959999561309814,2.235118865966797,0.8240000009536743,0.8239999413490295,0.3824000954627991
lite,mipvH,WordSynonyms,387,0.5250783562660217,0.525078296661377,4.1261186599731445,1.0,1.0,0.021674582734704018
lite,mipvH,AllGestureWiimoteX,195,0.6157143115997314,0.6157142519950867,2.076692819595337,0.9566666483879089,0.9566665887832642,0.17298464477062225
lite,mipvH,AllGestureWiimoteY,229,0.6485714316368103,0.6485713720321655,1.642985463142395,0.9433333277702332,0.9433333277702332,0.17109985649585724
lite,mipvH,AllGestureWiimoteZ,201,0.4985714256763458,0.49857136607170105,1.867938756942749,0.6933333277702332,0.6933332681655884,0.755215585231781
lite,mipvH,SemgHandGenderCh2,303,0.8383333086967468,0.838333249092102,2.326699733734131,0.996666669845581,0.9966666102409363,0.00469649862498045
lite,mipvH,Yoga,177,0.762333333492279,0.762333333492279,1.0506118535995483,0.9833333492279053,0.9833332896232605,0.06747594475746155
lite,mipvH,Earthquakes,192,0.7050359845161438,0.705035924911499,2.1103012561798096,1.0,1.0,0.0041337283328175545
lite,mipvH,EOGHorizontalSignal,330,0.45303866267204285,0.45303860306739807,8.420402526855469,0.8618784546852112,0.8618783950805664,0.37462443113327026
lite,mipvH,EOGVerticalSignal,326,0.32044199109077454,0.32044193148612976,5.781045436859131,0.6961326003074646,0.6961325407028198,1.0973747968673706
lite,mipvH,LargeKitchenAppliances,256,0.781333327293396,0.7813332080841064,3.676517963409424,0.9573333263397217,0.9573332667350769,0.10464465618133545
lite,mipvH,RefrigerationDevices,256,0.42133334279060364,0.42133328318595886,5.70283317565918,0.8533333539962769,0.8533332347869873,0.4295720160007477
lite,mipvH,ScreenType,251,0.4346666634082794,0.43466657400131226,2.329557180404663,0.5600000023841858,0.559999942779541,0.9717589616775513
lite,mipvH,SmallKitchenAppliances,256,0.6293333172798157,0.6293332576751709,1.5384129285812378,0.8080000281333923,0.8079999685287476,0.526884913444519
lite,mipvH,MedicalImages,473,0.6578947305679321,0.6578946709632874,1.1558732986450195,0.874015748500824,0.874015748500824,0.35440343618392944
lite,mipvH,Adiac,405,0.18925830721855164,0.18925826251506805,3.3366849422454834,0.25641027092933655,0.2564102113246918,2.7803361415863037
lite,mipvH,CricketX,205,0.6358974575996399,0.6358973979949951,2.084426164627075,0.9846153855323792,0.9846153259277344,0.0668456181883812
lite,mipvH,CricketY,202,0.6102564334869385,0.6102563738822937,2.269198417663574,0.9666666388511658,0.966666579246521,0.12809880077838898
lite,mipvH,CricketZ,203,0.6230769157409668,0.623076856136322,1.973989486694336,0.9769230484962463,0.9769229888916016,0.10767757892608643
lite,mipvH,MiddlePhalanxTW,481,0.5,0.4999999403953552,1.1119126081466675,0.664160430431366,0.6641603708267212,0.882746696472168
lite,mipvH,DistalPhalanxOutlineAgeGroup,468,0.7266187071800232,0.7266186475753784,0.6974974870681763,0.8849999904632568,0.8849999308586121,0.32035377621650696
