model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,mipvS,Fish,136,0.2971428632736206,0.29714280366897583,3.8874316215515137,0.3028571307659149,0.30285707116127014,3.2671449184417725
lite,mipvS,PowerCons,287,0.7777777910232544,0.7777776718139648,1.1077264547348022,0.8611111044883728,0.861111044883728,0.6508802771568298
lite,mipvS,Worms,167,0.27272728085517883,0.27272722125053406,13.681496620178223,0.2596684992313385,0.2596684396266937,12.713930130004883
lite,mipvS,WormsTwoClass,162,0.5974025726318359,0.5974025130271912,5.799292087554932,0.5966851115226746,0.5966850519180298,5.7092204093933105
lite,mipvS,FacesUCR,338,0.4253658652305603,0.4253658056259155,2.375178098678589,0.4699999988079071,0.46999993920326233,1.7580796480178833
lite,mipvS,OSULeaf,148,0.23553718626499176,0.23553714156150818,7.8693647384643555,0.2800000011920929,0.2799999415874481,7.182610988616943
lite,mipvS,GestureMidAirD1,248,0.3692307770252228,0.369230717420578,6.979831695556641,0.4759615361690521,0.47596147656440735,3.280724048614502
lite,mipvS,GestureMidAirD2,247,0.23846153914928436,0.23846149444580078,5.680212020874023,0.25,0.24999994039535522,4.532667636871338
lite,mipvS,GestureMidAirD3,299,0.11538461595773697,0.11538456380367279,12.60456371307373,0.20673076808452606,0.20673072338104248,7.047966957092285
lite,mipvS,Phoneme,203,0.08597046136856079,0.08597040921449661,34.08384704589844,0.19158878922462463,0.19158874452114105,17.472431182861328
lite,mipvS,InsectWingbeatSound,163,0.3267676830291748,0.32676762342453003,5.6440300941467285,0.33181819319725037,0.3318181335926056,4.423352241516113
lite,mipvS,Computers,189,0.5040000081062317,0.5039999485015869,3.973066806793213,0.4959999918937683,0.49599993228912354,4.056349754333496
lite,mipvS,WordSynonyms,382,0.3432601988315582,0.34326013922691345,6.358860492706299,0.40449437499046326,0.4044943153858185,3.165137529373169
lite,mipvS,AllGestureWiimoteX,195,0.3285714387893677,0.3285713791847229,2.243350028991699,0.4000000059604645,0.3999999761581421,1.6459813117980957
lite,mipvS,AllGestureWiimoteY,185,0.32428571581840515,0.3242856562137604,4.362589359283447,0.4566666781902313,0.45666658878326416,2.917679786682129
lite,mipvS,AllGestureWiimoteZ,195,0.1614285707473755,0.1614285260438919,3.4318418502807617,0.2133333384990692,0.21333327889442444,2.6638288497924805
lite,mipvS,SemgHandGenderCh2,303,0.6233333349227905,0.6233332753181458,6.069530487060547,0.5533333420753479,0.5533332824707031,8.335426330566406
lite,mipvS,Yoga,173,0.5889999866485596,0.5889999270439148,1.6000945568084717,0.6366666555404663,0.6366665959358215,1.29694402217865
lite,mipvS,Earthquakes,198,0.7050359845161438,0.705035924911499,1.9819074869155884,0.6863353848457336,0.6863353252410889,2.052841901779175
lite,mipvS,EOGHorizontalSignal,332,0.20994475483894348,0.2099447101354599,19.61595916748047,0.32044199109077454,0.32044193148612976,9.523679733276367
lite,mipvS,EOGVerticalSignal,332,0.20441989600658417,0.20441985130310059,8.962401390075684,0.2983425557613373,0.2983424961566925,3.9967257976531982
lite,mipvS,LargeKitchenAppliances,254,0.5093333125114441,0.5093332529067993,2.011793851852417,0.4506666660308838,0.450666606426239,1.9530720710754395
lite,mipvS,RefrigerationDevices,250,0.3786666691303253,0.37866660952568054,9.35929012298584,0.36000001430511475,0.3599999248981476,7.719764232635498
lite,mipvS,ScreenType,257,0.36266666650772095,0.36266660690307617,2.5526866912841797,0.3466666638851166,0.3466666042804718,2.5427114963531494
lite,mipvS,SmallKitchenAppliances,251,0.4880000054836273,0.48799994587898254,2.9078285694122314,0.437333345413208,0.43733328580856323,3.2143054008483887
lite,mipvS,MedicalImages,472,0.5249999761581421,0.5249999165534973,1.7331163883209229,0.595800518989563,0.5958004593849182,1.172785997390747
lite,mipvS,Adiac,365,0.14833760261535645,0.14833755791187286,3.4243314266204834,0.15128205716609955,0.15128201246261597,3.226306676864624
lite,mipvS,CricketX,205,0.31794872879981995,0.31794866919517517,3.061753511428833,0.3512820601463318,0.351282000541687,2.582688331604004
lite,mipvS,CricketY,195,0.2974359095096588,0.29743584990501404,3.7472105026245117,0.37948718667030334,0.37948712706565857,2.5335848331451416
lite,mipvS,CricketZ,202,0.29230770468711853,0.29230764508247375,3.3093111515045166,0.31794872879981995,0.31794866919517517,2.5384349822998047
lite,mipvS,MiddlePhalanxTW,487,0.4740259647369385,0.4740259051322937,1.6251038312911987,0.5463659167289734,0.5463658571243286,1.3910869359970093
lite,mipvS,DistalPhalanxOutlineAgeGroup,475,0.5539568066596985,0.5539567470550537,1.031372308731079,0.7599999904632568,0.7599999308586121,0.6532714366912842
