model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,ppvHste,Fish,138,0.977142870426178,0.9771428108215332,0.07134976983070374,1.0,1.0,0.001762112253345549
lite,ppvHste,PowerCons,259,0.9333333373069763,0.9333332777023315,0.14919164776802063,1.0,1.0,0.0006806741002947092
lite,ppvHste,Worms,162,0.7792207598686218,0.779220700263977,0.6462339162826538,0.9944751262664795,0.9944750666618347,0.05815550684928894
lite,ppvHste,WormsTwoClass,161,0.8051947951316833,0.8051947355270386,0.6488319039344788,1.0,1.0,0.00763233145698905
lite,ppvHste,FacesUCR,325,0.9575609564781189,0.9575608968734741,0.15822647511959076,1.0,1.0,9.754749044077471e-05
lite,ppvHste,OSULeaf,177,0.9710744023323059,0.9710743427276611,0.08444813638925552,1.0,1.0,0.0003607683756854385
lite,ppvHste,GestureMidAirD1,146,0.7076923251152039,0.7076922655105591,1.0261696577072144,0.9663461446762085,0.9663460850715637,0.28783369064331055
lite,ppvHste,GestureMidAirD2,143,0.6692307591438293,0.6692306995391846,0.9062712788581848,0.875,0.8749999403953552,0.4276328384876251
lite,ppvHste,GestureMidAirD3,145,0.35384616255760193,0.35384610295295715,2.0683863162994385,0.9230769276618958,0.923076868057251,0.6028541326522827
lite,ppvHste,Phoneme,201,0.3127637207508087,0.31276366114616394,3.197612762451172,1.0,1.0,0.08204767107963562
lite,ppvHste,InsectWingbeatSound,161,0.5934343338012695,0.5934342741966248,1.4799602031707764,1.0,1.0,0.0049314540810883045
lite,ppvHste,Computers,187,0.7799999713897705,0.779999852180481,0.8440230488777161,1.0,1.0,0.05657603219151497
lite,ppvHste,WordSynonyms,324,0.6896551847457886,0.6896551251411438,1.2896455526351929,1.0,1.0,0.0067182620987296104
lite,ppvHste,AllGestureWiimoteX,194,0.7314285635948181,0.7314285039901733,0.9353753924369812,0.996666669845581,0.9966666102409363,0.18528756499290466
lite,ppvHste,AllGestureWiimoteY,185,0.7400000095367432,0.7399999499320984,0.8534851670265198,1.0,1.0,0.15877699851989746
lite,ppvHste,AllGestureWiimoteZ,187,0.691428542137146,0.6914284825325012,0.982621431350708,0.9666666388511658,0.966666579246521,0.4489930272102356
lite,ppvHste,SemgHandGenderCh2,304,0.7766666412353516,0.776666522026062,0.5215737819671631,1.0,1.0,0.0066460855305194855
lite,ppvHste,Yoga,175,0.8970000147819519,0.8969999551773071,0.3281487822532654,1.0,1.0,0.001912949257530272
lite,ppvHste,Earthquakes,202,0.7482014298439026,0.7482013702392578,1.1075505018234253,1.0,1.0,0.0007707783370278776
lite,ppvHste,EOGHorizontalSignal,334,0.5165745615959167,0.516574501991272,1.3173216581344604,0.9530386924743652,0.9530386328697205,0.3432508111000061
lite,ppvHste,EOGVerticalSignal,329,0.31491711735725403,0.31491705775260925,2.530651092529297,0.9171270728111267,0.9171270132064819,0.42123374342918396
lite,ppvHste,LargeKitchenAppliances,254,0.890666663646698,0.8906666040420532,0.36233285069465637,1.0,1.0,0.008513391949236393
lite,ppvHste,RefrigerationDevices,256,0.5146666765213013,0.5146666169166565,3.416126012802124,1.0,1.0,0.0011061172699555755
lite,ppvHste,ScreenType,250,0.5386666655540466,0.5386666059494019,1.5391072034835815,0.9760000109672546,0.9759999513626099,0.1457984298467636
lite,ppvHste,SmallKitchenAppliances,256,0.7146666646003723,0.7146666049957275,0.6184059381484985,0.9173333048820496,0.9173332452774048,0.26145973801612854
lite,ppvHste,MedicalImages,419,0.7513157725334167,0.7513157725334167,0.9400485157966614,1.0,1.0,0.004421114455908537
lite,ppvHste,Adiac,222,0.8132992386817932,0.8132991790771484,0.5627235770225525,0.9589743614196777,0.958974301815033,0.17082206904888153
lite,ppvHste,CricketX,202,0.807692289352417,0.8076922297477722,0.6015978455543518,1.0,1.0,0.0023990666959434748
lite,ppvHste,CricketY,198,0.8256410360336304,0.8256409764289856,0.5594444274902344,1.0,1.0,0.00395975960418582
lite,ppvHste,CricketZ,198,0.8256410360336304,0.8256409764289856,0.5168758034706116,1.0,1.0,0.0018328462028875947
lite,ppvHste,MiddlePhalanxTW,446,0.551948070526123,0.5519480109214783,2.4432332515716553,1.0,1.0,0.0010636309161782265
lite,ppvHste,DistalPhalanxOutlineAgeGroup,430,0.7410072088241577,0.7410071492195129,1.5025242567062378,1.0,1.0,0.000263432739302516
