model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,ppvS,Fish,146,0.954285740852356,0.9542856812477112,0.1063987985253334,1.0,1.0,0.01630472205579281
lite,ppvS,PowerCons,303,0.9666666388511658,0.966666579246521,0.08721701055765152,1.0,1.0,0.00465787248685956
lite,ppvS,Worms,163,0.7662337422370911,0.7662336826324463,0.5697287917137146,0.90055251121521,0.9005524516105652,0.3456202447414398
lite,ppvS,WormsTwoClass,161,0.7662337422370911,0.7662336826324463,0.5812238454818726,0.9723756909370422,0.9723756313323975,0.10811503231525421
lite,ppvS,FacesUCR,344,0.938048779964447,0.9380487203598022,0.25217005610466003,1.0,1.0,0.0014669087249785662
lite,ppvS,OSULeaf,149,0.9586777091026306,0.9586776494979858,0.11418913304805756,1.0,1.0,0.005564181134104729
lite,ppvS,GestureMidAirD1,254,0.5769230723381042,0.5769230127334595,1.2337685823440552,0.7596153616905212,0.7596153020858765,0.8957459330558777
lite,ppvS,GestureMidAirD2,243,0.5307692289352417,0.5307691693305969,1.1321077346801758,0.682692289352417,0.6826922297477722,0.8972915410995483
lite,ppvS,GestureMidAirD3,257,0.3076923191547394,0.3076922595500946,2.1122078895568848,0.567307710647583,0.5673076510429382,1.5970293283462524
lite,ppvS,Phoneme,202,0.3280590772628784,0.32805901765823364,2.8985047340393066,0.8785046935081482,0.8785046339035034,0.5610911250114441
lite,ppvS,InsectWingbeatSound,160,0.6131312847137451,0.6131312251091003,0.9949784874916077,0.8999999761581421,0.8999999165534973,0.3754039406776428
lite,ppvS,Computers,181,0.7360000014305115,0.7359999418258667,0.645792543888092,0.871999979019165,0.8719999194145203,0.32031434774398804
lite,ppvS,WordSynonyms,395,0.6332288384437561,0.6332287788391113,1.5045198202133179,0.9625468254089355,0.9625467658042908,0.2340695708990097
lite,ppvS,AllGestureWiimoteX,203,0.631428599357605,0.6314285397529602,1.125296950340271,0.7833333611488342,0.7833333015441895,0.7839407324790955
lite,ppvS,AllGestureWiimoteY,198,0.645714282989502,0.6457142233848572,0.984257698059082,0.8333333134651184,0.8333332538604736,0.6204841136932373
lite,ppvS,AllGestureWiimoteZ,196,0.4828571379184723,0.4828570783138275,1.2135637998580933,0.6333333253860474,0.6333332657814026,1.002854824066162
lite,ppvS,SemgHandGenderCh2,302,0.8616666793823242,0.8616666197776794,0.46641066670417786,1.0,1.0,0.00017204557661898434
lite,ppvS,Yoga,180,0.8696666955947876,0.8696666359901428,0.33560216426849365,0.9866666793823242,0.9866666197776794,0.10294599086046219
lite,ppvS,Earthquakes,193,0.7410072088241577,0.7410071492195129,1.134670376777649,1.0,1.0,0.002031143521890044
lite,ppvS,EOGHorizontalSignal,335,0.5248618721961975,0.5248618125915527,1.3531103134155273,0.9530386924743652,0.9530386328697205,0.26827359199523926
lite,ppvS,EOGVerticalSignal,333,0.31491711735725403,0.31491705775260925,2.7561557292938232,0.919889509677887,0.9198894500732422,0.3967680037021637
lite,ppvS,LargeKitchenAppliances,242,0.6693333387374878,0.669333279132843,0.7074475884437561,0.7226666808128357,0.7226666212081909,0.6258001923561096
lite,ppvS,RefrigerationDevices,246,0.527999997138977,0.5279999375343323,3.1786322593688965,1.0,1.0,0.019494861364364624
lite,ppvS,ScreenType,245,0.47999998927116394,0.47999992966651917,1.0463145971298218,0.7039999961853027,0.703999936580658,0.6349765658378601
lite,ppvS,SmallKitchenAppliances,245,0.7946666479110718,0.794666588306427,0.5000252723693848,0.8373333215713501,0.8373332619667053,0.419273316860199
lite,ppvS,MedicalImages,502,0.7552631497383118,0.755263090133667,0.703801691532135,0.9107611775398254,0.9107610583305359,0.26291242241859436
lite,ppvS,Adiac,424,0.7468030452728271,0.7468029260635376,0.9417510032653809,0.8461538553237915,0.8461537957191467,0.6641473174095154
lite,ppvS,CricketX,203,0.7820512652397156,0.782051146030426,0.644366979598999,1.0,1.0,0.06463189423084259
lite,ppvS,CricketY,207,0.807692289352417,0.8076922297477722,0.5361397862434387,1.0,1.0,0.030872860923409462
lite,ppvS,CricketZ,200,0.7923076748847961,0.7923076152801514,0.6087291836738586,0.9846153855323792,0.9846153259277344,0.1285339891910553
lite,ppvS,MiddlePhalanxTW,530,0.5844155550003052,0.5844154953956604,1.0375404357910156,0.664160430431366,0.6641603708267212,0.8693013191223145
lite,ppvS,DistalPhalanxOutlineAgeGroup,531,0.7553957104682922,0.7553956508636475,0.5706793665885925,0.8725000023841858,0.872499942779541,0.2851029932498932
