model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap,Fish,158,0.9828571677207947,0.9828571081161499,0.05375731363892555,1.0,1.0,6.682527100565494e-07
resnet,gap,PowerCons,151,0.8666666746139526,0.8666666150093079,0.7220972776412964,1.0,1.0,1.1969479601248167e-05
resnet,gap,Worms,222,0.7792207598686218,0.779220700263977,1.0472667217254639,1.0,1.0,7.832929259166121e-05
resnet,gap,WormsTwoClass,213,0.7142857313156128,0.7142856121063232,1.4499692916870117,1.0,1.0,3.975026265834458e-05
resnet,gap,FacesUCR,179,0.9575609564781189,0.9575608968734741,0.2111801654100418,1.0,1.0,8.523462469156584e-08
resnet,gap,OSULeaf,176,0.9917355179786682,0.9917354583740234,0.08239708095788956,1.0,1.0,1.201627583213849e-06
resnet,gap,GestureMidAirD1,165,0.6846153736114502,0.6846153140068054,1.7581219673156738,1.0,1.0,6.655040124314837e-06
resnet,gap,GestureMidAirD2,171,0.6846153736114502,0.6846153140068054,2.0874431133270264,1.0,1.0,1.6068679542513564e-05
resnet,gap,GestureMidAirD3,162,0.36153846979141235,0.3615384101867676,4.214259624481201,1.0,1.0,9.688533282314893e-06
resnet,gap,Phoneme,266,0.3486286997795105,0.3486286401748657,4.846550941467285,1.0,1.0,1.4753267350897659e-05
resnet,gap,InsectWingbeatSound,170,0.5095959305763245,0.5095958709716797,2.4438817501068115,1.0,1.0,1.0013570772571256e-06
resnet,gap,Computers,245,0.800000011920929,0.800000011920929,2.522817611694336,1.0,1.0,3.384031742825755e-06
resnet,gap,WordSynonyms,190,0.6112852692604065,0.6112852096557617,2.22053599357605,1.0,1.0,5.996179197609308e-07
resnet,gap,AllGestureWiimoteX,241,0.741428554058075,0.7414284944534302,1.4919159412384033,1.0,1.0,7.927409342300962e-07
resnet,gap,AllGestureWiimoteY,237,0.772857129573822,0.7728570699691772,1.2593952417373657,1.0,1.0,4.823999688596814e-07
resnet,gap,AllGestureWiimoteZ,239,0.7342857122421265,0.7342856526374817,1.361707091331482,1.0,1.0,2.4409996512986254e-06
resnet,gap,SemgHandGenderCh2,413,0.8166666626930237,0.8166666030883789,0.8587620854377747,1.0,1.0,1.782555045792833e-06
resnet,gap,Yoga,222,0.874666690826416,0.8746666312217712,0.6319959163665771,1.0,1.0,6.878365184093127e-07
resnet,gap,Earthquakes,252,0.7050359845161438,0.705035924911499,1.8690921068191528,1.0,1.0,5.3124404075788334e-05
resnet,gap,EOGHorizontalSignal,448,0.6160221099853516,0.6160220503807068,2.5048630237579346,1.0,1.0,6.3805905483604874e-06
resnet,gap,EOGVerticalSignal,441,0.43370166420936584,0.43370160460472107,4.864531517028809,1.0,1.0,2.0993297766835894e-06
resnet,gap,LargeKitchenAppliances,333,0.9013333320617676,0.9013332724571228,0.9562609791755676,1.0,1.0,1.8586958958621835e-06
resnet,gap,RefrigerationDevices,338,0.5360000133514404,0.5359999537467957,5.520145893096924,1.0,1.0,1.47310117881716e-06
resnet,gap,ScreenType,332,0.6186666488647461,0.6186665892601013,3.372905969619751,1.0,1.0,2.9973216442158446e-06
resnet,gap,SmallKitchenAppliances,332,0.7973333597183228,0.7973332405090332,1.9403223991394043,1.0,1.0,0.003631654428318143
resnet,gap,MedicalImages,215,0.7802631855010986,0.7802631855010986,1.566267490386963,1.0,1.0,1.4188984778229496e-06
resnet,gap,Adiac,233,0.8312020301818848,0.83120197057724,0.9548327326774597,1.0,1.0,8.36621256894432e-06
resnet,gap,CricketX,250,0.7948718070983887,0.7948718070983887,1.087807059288025,1.0,1.0,1.7636745042182156e-06
resnet,gap,CricketY,245,0.8256410360336304,0.8256409764289856,0.7998436689376831,1.0,1.0,1.8272520492246258e-06
resnet,gap,CricketZ,245,0.8307692408561707,0.8307692408561707,0.763655424118042,1.0,1.0,8.390487096221477e-07
resnet,gap,MiddlePhalanxTW,218,0.551948070526123,0.5519480109214783,4.003756523132324,1.0,1.0,1.305625119130127e-07
resnet,gap,DistalPhalanxOutlineAgeGroup,208,0.7050359845161438,0.705035924911499,2.811887741088867,1.0,1.0,7.748602115498215e-08
