model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_gmp,Fish,166,0.9428571462631226,0.9428570866584778,1.0370371341705322,1.0,1.0,2.6566632982394367e-07
resnet,gap_gmp,PowerCons,196,0.8722222447395325,0.8722221851348877,0.7127625346183777,1.0,1.0,0.0
resnet,gap_gmp,Worms,223,0.8051947951316833,0.8051947355270386,1.2561960220336914,1.0,1.0,1.1334742566759815e-06
resnet,gap_gmp,WormsTwoClass,216,0.701298713684082,0.7012986540794373,1.7859117984771729,1.0,1.0,3.8002048086127616e-07
resnet,gap_gmp,FacesUCR,210,0.8956097364425659,0.8956096768379211,0.4723872244358063,1.0,1.0,0.0
resnet,gap_gmp,OSULeaf,182,0.8719007968902588,0.871900737285614,0.5879471302032471,1.0,1.0,2.2292130097412155e-07
resnet,gap_gmp,GestureMidAirD1,169,0.6692307591438293,0.6692306995391846,3.6718428134918213,1.0,1.0,1.1089886129411752e-06
resnet,gap_gmp,GestureMidAirD2,167,0.6461538672447205,0.6461538076400757,2.3178629875183105,1.0,1.0,9.299630619352683e-06
resnet,gap_gmp,GestureMidAirD3,165,0.38461539149284363,0.38461533188819885,6.069224834442139,1.0,1.0,8.568032171751838e-06
resnet,gap_gmp,Phoneme,261,0.24419830739498138,0.2441982626914978,5.954833984375,1.0,1.0,8.288936896860832e-07
resnet,gap_gmp,InsectWingbeatSound,178,0.38131314516067505,0.3813130855560303,4.8451361656188965,1.0,1.0,8.723952049649597e-08
resnet,gap_gmp,Computers,244,0.7559999823570251,0.7559998631477356,1.725116491317749,1.0,1.0,6.561263603543921e-07
resnet,gap_gmp,WordSynonyms,196,0.5235109925270081,0.5235109329223633,3.948777437210083,1.0,1.0,3.799515582159074e-07
resnet,gap_gmp,AllGestureWiimoteX,248,0.6742857098579407,0.6742856502532959,2.9200918674468994,1.0,1.0,0.0
resnet,gap_gmp,AllGestureWiimoteY,243,0.7300000190734863,0.7299999594688416,1.9683914184570312,1.0,1.0,1.5894570992713852e-08
resnet,gap_gmp,AllGestureWiimoteZ,243,0.6757143139839172,0.6757142543792725,2.1997780799865723,1.0,1.0,2.384185515680315e-09
resnet,gap_gmp,SemgHandGenderCh2,426,0.7916666865348816,0.7916666269302368,1.2428593635559082,1.0,1.0,1.3907748730446201e-08
resnet,gap_gmp,Yoga,239,0.8493333458900452,0.8493332862854004,1.0381865501403809,1.0,1.0,1.3113020003174825e-08
resnet,gap_gmp,Earthquakes,275,0.7266187071800232,0.7266186475753784,2.8414146900177,1.0,1.0,0.0
resnet,gap_gmp,EOGHorizontalSignal,445,0.5165745615959167,0.516574501991272,5.284849643707275,1.0,1.0,1.476277930123615e-06
resnet,gap_gmp,EOGVerticalSignal,447,0.4116021990776062,0.4116021394729614,8.539813995361328,1.0,1.0,1.915239863592433e-06
resnet,gap_gmp,LargeKitchenAppliances,331,0.8880000114440918,0.887999951839447,2.054121971130371,1.0,1.0,2.3206048638257926e-08
resnet,gap_gmp,RefrigerationDevices,334,0.5333333611488342,0.5333333015441895,3.868929386138916,1.0,1.0,9.187061777993222e-08
resnet,gap_gmp,ScreenType,329,0.5733333230018616,0.5733332633972168,3.8951940536499023,1.0,1.0,3.916419757388212e-07
resnet,gap_gmp,SmallKitchenAppliances,331,0.7680000066757202,0.7679999470710754,1.6889524459838867,0.9946666955947876,0.9946666359901428,0.014407515525817871
resnet,gap_gmp,MedicalImages,223,0.7868421077728271,0.7868419885635376,1.638982892036438,1.0,1.0,1.1895793932126253e-06
resnet,gap_gmp,Adiac,227,0.8030690550804138,0.8030690550804138,1.3022102117538452,1.0,1.0,3.2751734124758514e-06
resnet,gap_gmp,CricketX,261,0.656410276889801,0.6564102172851562,1.8669224977493286,1.0,1.0,1.1706961799973215e-07
resnet,gap_gmp,CricketY,262,0.6641025543212891,0.6641024947166443,1.772310495376587,1.0,1.0,8.436348508666924e-08
resnet,gap_gmp,CricketZ,261,0.7205128073692322,0.7205127477645874,1.4209518432617188,1.0,1.0,5.501966438004047e-09
resnet,gap_gmp,MiddlePhalanxTW,231,0.48701298236846924,0.48701292276382446,6.0115861892700195,1.0,1.0,0.0
resnet,gap_gmp,DistalPhalanxOutlineAgeGroup,216,0.769784152507782,0.7697840929031372,2.235708475112915,1.0,1.0,0.0
