model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_map2_map4_map8,Fish,168,0.9828571677207947,0.9828571081161499,0.24860696494579315,1.0,1.0,8.555812769373006e-07
resnet,gap_map2_map4_map8,PowerCons,159,0.9777777791023254,0.9777777194976807,0.07649707049131393,1.0,1.0,1.0397695149322317e-07
resnet,gap_map2_map4_map8,Worms,228,0.649350643157959,0.6493505835533142,3.0350353717803955,1.0,1.0,5.119869456393644e-06
resnet,gap_map2_map4_map8,WormsTwoClass,228,0.7272727489471436,0.7272726893424988,2.312589406967163,1.0,1.0,4.79005075249006e-06
resnet,gap_map2_map4_map8,FacesUCR,189,0.9653658270835876,0.9653657674789429,0.13903836905956268,1.0,1.0,0.0
resnet,gap_map2_map4_map8,OSULeaf,179,0.7438016533851624,0.7438015937805176,1.5077837705612183,1.0,1.0,7.951243787829299e-07
resnet,gap_map2_map4_map8,GestureMidAirD1,172,0.7230769395828247,0.7230768799781799,3.3201096057891846,1.0,1.0,1.2110020861655357e-06
resnet,gap_map2_map4_map8,GestureMidAirD2,165,0.6538461446762085,0.6538460850715637,4.332380294799805,1.0,1.0,8.971764145826455e-06
resnet,gap_map2_map4_map8,GestureMidAirD3,167,0.42307692766189575,0.423076868057251,7.714632511138916,1.0,1.0,2.603675739010214e-06
resnet,gap_map2_map4_map8,Phoneme,275,0.3264767825603485,0.32647672295570374,7.938183784484863,1.0,1.0,5.319848810358963e-07
resnet,gap_map2_map4_map8,InsectWingbeatSound,187,0.5813131332397461,0.5813130736351013,3.3453352451324463,1.0,1.0,3.088604216827662e-08
resnet,gap_map2_map4_map8,Computers,261,0.7400000095367432,0.7399999499320984,3.280857563018799,1.0,1.0,1.5806917872396298e-06
resnet,gap_map2_map4_map8,WordSynonyms,203,0.6927899718284607,0.6927899122238159,4.1235432624816895,1.0,1.0,0.0
resnet,gap_map2_map4_map8,AllGestureWiimoteX,250,0.7357142567634583,0.7357141375541687,2.2118656635284424,1.0,1.0,3.453093029293086e-07
resnet,gap_map2_map4_map8,AllGestureWiimoteY,244,0.7485714554786682,0.7485713958740234,2.3889851570129395,1.0,1.0,9.854633020722758e-08
resnet,gap_map2_map4_map8,AllGestureWiimoteZ,244,0.7242857217788696,0.7242856025695801,2.1914851665496826,1.0,1.0,1.5521004570473451e-06
resnet,gap_map2_map4_map8,SemgHandGenderCh2,485,0.9183333516120911,0.9183332920074463,0.30899959802627563,1.0,1.0,3.9736428036896143e-10
resnet,gap_map2_map4_map8,Yoga,242,0.875,0.8749999403953552,0.8650739789009094,1.0,1.0,7.585672960885859e-07
resnet,gap_map2_map4_map8,Earthquakes,288,0.7266187071800232,0.7266186475753784,3.8409080505371094,1.0,1.0,2.961721312644272e-09
resnet,gap_map2_map4_map8,EOGHorizontalSignal,510,0.5469613075256348,0.54696124792099,6.763923645019531,1.0,1.0,8.575137258048926e-07
resnet,gap_map2_map4_map8,EOGVerticalSignal,504,0.4558010995388031,0.4558010399341583,10.137221336364746,1.0,1.0,8.051516715568141e-07
resnet,gap_map2_map4_map8,LargeKitchenAppliances,358,0.8586666584014893,0.8586665987968445,1.7477167844772339,1.0,1.0,2.2284112333181838e-07
resnet,gap_map2_map4_map8,RefrigerationDevices,362,0.4933333396911621,0.49333328008651733,6.611968040466309,1.0,1.0,3.814696825088504e-08
resnet,gap_map2_map4_map8,ScreenType,355,0.562666654586792,0.5626665949821472,4.999279499053955,1.0,1.0,1.093539253815834e-06
resnet,gap_map2_map4_map8,SmallKitchenAppliances,356,0.8053333163261414,0.8053333163261414,2.85351824760437,1.0,1.0,0.00013571504678111523
resnet,gap_map2_map4_map8,MedicalImages,217,0.7671052813529968,0.767105221748352,2.6046717166900635,1.0,1.0,3.3634074725341634e-07
resnet,gap_map2_map4_map8,Adiac,249,0.7723785042762756,0.7723783850669861,2.1645286083221436,1.0,1.0,8.512744784638926e-07
resnet,gap_map2_map4_map8,CricketX,259,0.7410256266593933,0.7410255670547485,2.748694896697998,1.0,1.0,2.0173876791318435e-08
resnet,gap_map2_map4_map8,CricketY,260,0.7769230604171753,0.7769230008125305,1.861727237701416,1.0,1.0,2.4239190565822355e-07
resnet,gap_map2_map4_map8,CricketZ,257,0.7743589878082275,0.7743589282035828,2.5103182792663574,1.0,1.0,4.034775358263687e-08
resnet,gap_map2_map4_map8,MiddlePhalanxTW,230,0.5259740352630615,0.5259739756584167,5.96607780456543,1.0,1.0,0.0
resnet,gap_map2_map4_map8,DistalPhalanxOutlineAgeGroup,252,0.7625899314880371,0.7625898718833923,3.601938009262085,1.0,1.0,0.0
