model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_mpvH_ppvHste,Fish,159,0.9885714054107666,0.9885713458061218,0.388518363237381,1.0,1.0,1.8848646732294583e-06
resnet,gap_mpvH_ppvHste,PowerCons,169,0.8888888955116272,0.8888888359069824,0.5949488282203674,1.0,1.0,2.55502936852281e-06
resnet,gap_mpvH_ppvHste,Worms,212,0.7922077775001526,0.7922077178955078,0.8536975383758545,1.0,1.0,4.420114419190213e-05
resnet,gap_mpvH_ppvHste,WormsTwoClass,206,0.701298713684082,0.7012986540794373,1.638879656791687,1.0,1.0,3.663398092612624e-05
resnet,gap_mpvH_ppvHste,FacesUCR,182,0.9502438902854919,0.9502438306808472,0.2067520022392273,1.0,1.0,1.1384485532062172e-07
resnet,gap_mpvH_ppvHste,OSULeaf,174,0.9917355179786682,0.9917354583740234,0.04884114861488342,1.0,1.0,3.8742990682294476e-07
resnet,gap_mpvH_ppvHste,GestureMidAirD1,171,0.7076923251152039,0.7076922655105591,1.6567955017089844,1.0,1.0,1.4472155271505471e-05
resnet,gap_mpvH_ppvHste,GestureMidAirD2,163,0.6538461446762085,0.6538460850715637,1.8462305068969727,1.0,1.0,5.599235009867698e-05
resnet,gap_mpvH_ppvHste,GestureMidAirD3,164,0.2846153974533081,0.28461533784866333,4.535054683685303,1.0,1.0,1.8134920537704602e-05
resnet,gap_mpvH_ppvHste,Phoneme,265,0.33386075496673584,0.33386069536209106,5.172912120819092,1.0,1.0,2.2149355572764762e-05
resnet,gap_mpvH_ppvHste,InsectWingbeatSound,169,0.4939393997192383,0.4939393401145935,2.5804615020751953,1.0,1.0,1.1281516663075308e-06
resnet,gap_mpvH_ppvHste,Computers,251,0.8080000281333923,0.8079999685287476,2.0553536415100098,1.0,1.0,5.999645054544089e-06
resnet,gap_mpvH_ppvHste,WordSynonyms,202,0.6018808484077454,0.6018807888031006,2.404850482940674,1.0,1.0,1.0295743777533062e-06
resnet,gap_mpvH_ppvHste,AllGestureWiimoteX,235,0.7314285635948181,0.7314285039901733,1.901883840560913,1.0,1.0,4.753963821713114e-06
resnet,gap_mpvH_ppvHste,AllGestureWiimoteY,240,0.7785714268684387,0.778571367263794,1.6662323474884033,1.0,1.0,2.081339971482521e-06
resnet,gap_mpvH_ppvHste,AllGestureWiimoteZ,232,0.7228571176528931,0.7228569984436035,1.8799253702163696,1.0,1.0,1.4445742635871284e-05
resnet,gap_mpvH_ppvHste,SemgHandGenderCh2,409,0.7666666507720947,0.76666659116745,1.1207047700881958,1.0,1.0,6.701453457935713e-06
resnet,gap_mpvH_ppvHste,Yoga,227,0.8663333058357239,0.8663332462310791,0.7906580567359924,1.0,1.0,7.764461997794569e-07
resnet,gap_mpvH_ppvHste,Earthquakes,251,0.7122302055358887,0.7122301459312439,1.906050682067871,1.0,1.0,2.349902206333354e-05
resnet,gap_mpvH_ppvHste,EOGHorizontalSignal,441,0.591160237789154,0.5911601781845093,2.834017038345337,1.0,1.0,5.497398433362832e-06
resnet,gap_mpvH_ppvHste,EOGVerticalSignal,442,0.4226519465446472,0.42265188694000244,5.275895595550537,1.0,1.0,3.1969029805622995e-06
resnet,gap_mpvH_ppvHste,LargeKitchenAppliances,331,0.9013333320617676,0.9013332724571228,1.097704529762268,1.0,1.0,1.1509566320455633e-05
resnet,gap_mpvH_ppvHste,RefrigerationDevices,333,0.4933333396911621,0.49333328008651733,6.046504020690918,1.0,1.0,1.8863416926251375e-06
resnet,gap_mpvH_ppvHste,ScreenType,330,0.6320000290870667,0.6319999694824219,3.5365824699401855,1.0,1.0,1.4371985344041605e-05
resnet,gap_mpvH_ppvHste,SmallKitchenAppliances,331,0.7919999957084656,0.7919999957084656,1.704166054725647,0.9893333315849304,0.9893332719802856,0.016579201444983482
resnet,gap_mpvH_ppvHste,MedicalImages,218,0.7815789580345154,0.7815788984298706,1.6958261728286743,1.0,1.0,2.684429773580632e-06
resnet,gap_mpvH_ppvHste,Adiac,222,0.8286445140838623,0.8286444544792175,0.8740627765655518,1.0,1.0,8.261098628281616e-06
resnet,gap_mpvH_ppvHste,CricketX,255,0.7871794700622559,0.7871794104576111,1.1069945096969604,1.0,1.0,2.0396828404045664e-06
resnet,gap_mpvH_ppvHste,CricketY,246,0.8025640845298767,0.8025640249252319,1.0481306314468384,1.0,1.0,1.543893290545384e-06
resnet,gap_mpvH_ppvHste,CricketZ,246,0.7846153974533081,0.7846153378486633,1.0015053749084473,1.0,1.0,1.4702426369694876e-06
resnet,gap_mpvH_ppvHste,MiddlePhalanxTW,227,0.5194805264472961,0.5194804668426514,4.642001152038574,1.0,1.0,2.2527258636273473e-07
resnet,gap_mpvH_ppvHste,DistalPhalanxOutlineAgeGroup,208,0.7050359845161438,0.705035924911499,3.035308599472046,1.0,1.0,1.6838302485666645e-07
