model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gmp,Fish,162,0.9485714435577393,0.9485713839530945,1.5046592950820923,1.0,1.0,1.8249189679409028e-06
resnet,gmp,PowerCons,159,0.9166666865348816,0.9166666269302368,0.5565255284309387,1.0,1.0,1.3907748552810517e-07
resnet,gmp,Worms,216,0.8311688303947449,0.8311687707901001,1.6353206634521484,1.0,1.0,1.554330708586349e-07
resnet,gmp,WormsTwoClass,216,0.7922077775001526,0.7922077178955078,0.9172868728637695,1.0,1.0,1.2579542385537934e-07
resnet,gmp,FacesUCR,174,0.8965853452682495,0.89658522605896,0.5036636590957642,1.0,1.0,0.0
resnet,gmp,OSULeaf,178,0.8677685856819153,0.8677685260772705,0.5430868268013,1.0,1.0,4.070995771598973e-07
resnet,gmp,GestureMidAirD1,168,0.6538461446762085,0.6538460850715637,3.228239059448242,1.0,1.0,3.3584913694539864e-07
resnet,gmp,GestureMidAirD2,162,0.6769230961799622,0.6769230365753174,2.478817939758301,1.0,1.0,2.2981597794569097e-05
resnet,gmp,GestureMidAirD3,163,0.3461538553237915,0.34615379571914673,7.114180088043213,1.0,1.0,1.9594958757807035e-06
resnet,gmp,Phoneme,264,0.22415611147880554,0.22415606677532196,6.930483341217041,1.0,1.0,1.1308168268442387e-07
resnet,gmp,InsectWingbeatSound,199,0.37020203471183777,0.3702019453048706,4.8010573387146,1.0,1.0,2.7147200398758287e-07
resnet,gmp,Computers,248,0.7519999742507935,0.7519999146461487,2.30983829498291,1.0,1.0,1.2016295158900903e-07
resnet,gmp,WordSynonyms,195,0.5235109925270081,0.5235109329223633,4.116502285003662,1.0,1.0,1.6876818165201257e-07
resnet,gmp,AllGestureWiimoteX,246,0.6700000166893005,0.6699999570846558,3.0304739475250244,1.0,1.0,3.127255467916257e-07
resnet,gmp,AllGestureWiimoteY,238,0.75,0.7499999403953552,2.168220043182373,1.0,1.0,2.702076358218619e-07
resnet,gmp,AllGestureWiimoteZ,241,0.6742857098579407,0.6742856502532959,2.477315902709961,1.0,1.0,1.0371206826675916e-07
resnet,gmp,SemgHandGenderCh2,438,0.7433333396911621,0.7433332800865173,1.7185089588165283,1.0,1.0,2.781549879316003e-09
resnet,gmp,Yoga,230,0.8510000109672546,0.8509999513626099,0.9792320728302002,1.0,1.0,1.192092824453539e-08
resnet,gmp,Earthquakes,264,0.7553957104682922,0.7553956508636475,2.2943286895751953,1.0,1.0,0.0
resnet,gmp,EOGHorizontalSignal,445,0.5635359287261963,0.5635358691215515,3.83219575881958,1.0,1.0,5.2988061725045554e-06
resnet,gmp,EOGVerticalSignal,446,0.4447513818740845,0.4447513222694397,8.412825584411621,1.0,1.0,3.919048594980268e-06
resnet,gmp,LargeKitchenAppliances,335,0.8799999952316284,0.8799999356269836,1.5220359563827515,1.0,1.0,4.482267002003937e-08
resnet,gmp,RefrigerationDevices,341,0.5546666383743286,0.5546665787696838,4.522635459899902,1.0,1.0,1.147587980199205e-07
resnet,gmp,ScreenType,337,0.5973333120346069,0.5973332524299622,3.9635446071624756,1.0,1.0,4.2724579429886944e-07
resnet,gmp,SmallKitchenAppliances,328,0.7893333435058594,0.7893332839012146,1.6427291631698608,0.9946666955947876,0.9946666359901428,0.016090715304017067
resnet,gmp,MedicalImages,215,0.7749999761581421,0.7749999165534973,1.7314685583114624,1.0,1.0,8.857687134877779e-07
resnet,gmp,Adiac,248,0.7979539632797241,0.7979539632797241,1.2989667654037476,1.0,1.0,3.2672253382770577e-06
resnet,gmp,CricketX,258,0.7076923251152039,0.7076922655105591,1.8930989503860474,1.0,1.0,4.554405563794717e-08
resnet,gmp,CricketY,249,0.6897435784339905,0.6897435188293457,1.8405407667160034,1.0,1.0,1.4182846541643812e-07
resnet,gmp,CricketZ,248,0.692307710647583,0.6923076510429382,2.043131113052368,1.0,1.0,4.798937425221084e-08
resnet,gmp,MiddlePhalanxTW,234,0.5389610528945923,0.5389609932899475,4.158056259155273,1.0,1.0,0.0
resnet,gmp,DistalPhalanxOutlineAgeGroup,229,0.7266187071800232,0.7266186475753784,2.6067323684692383,1.0,1.0,0.0
