model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gmp_mmp2_mmp4_mmp8,Fish,182,0.954285740852356,0.9542856812477112,0.4163166284561157,1.0,1.0,1.2261526016743574e-08
resnet,gmp_mmp2_mmp4_mmp8,PowerCons,238,0.9611111283302307,0.9611110687255859,0.1087413802742958,1.0,1.0,6.556509646316044e-08
resnet,gmp_mmp2_mmp4_mmp8,Worms,226,0.701298713684082,0.7012986540794373,2.1170108318328857,1.0,1.0,2.700319612358726e-07
resnet,gmp_mmp2_mmp4_mmp8,WormsTwoClass,217,0.7532467246055603,0.7532466650009155,1.4694857597351074,1.0,1.0,9.776256774784997e-06
resnet,gmp_mmp2_mmp4_mmp8,FacesUCR,259,0.942926824092865,0.9429267644882202,0.2586643695831299,1.0,1.0,0.0
resnet,gmp_mmp2_mmp4_mmp8,OSULeaf,196,0.7768595218658447,0.7768594622612,1.4440542459487915,1.0,1.0,0.0
resnet,gmp_mmp2_mmp4_mmp8,GestureMidAirD1,168,0.7153846025466919,0.7153845429420471,3.1321001052856445,1.0,1.0,9.98375298877363e-07
resnet,gmp_mmp2_mmp4_mmp8,GestureMidAirD2,168,0.6384615302085876,0.6384614706039429,4.41834020614624,1.0,1.0,7.625127636856632e-06
resnet,gmp_mmp2_mmp4_mmp8,GestureMidAirD3,164,0.4307692348957062,0.4307691752910614,7.381951808929443,1.0,1.0,1.5554420542684966e-06
resnet,gmp_mmp2_mmp4_mmp8,Phoneme,266,0.35654008388519287,0.3565400540828705,8.696257591247559,1.0,1.0,1.1586693204890253e-07
resnet,gmp_mmp2_mmp4_mmp8,InsectWingbeatSound,187,0.5954545736312866,0.5954545140266418,3.444561243057251,1.0,1.0,5.418603898910135e-10
resnet,gmp_mmp2_mmp4_mmp8,Computers,246,0.7480000257492065,0.7479999661445618,1.6449296474456787,1.0,1.0,1.2593205838129506e-06
resnet,gmp_mmp2_mmp4_mmp8,WordSynonyms,203,0.7163009643554688,0.7163009643554688,2.938148260116577,1.0,1.0,0.0
resnet,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteX,242,0.6957142949104309,0.6957142353057861,2.9369406700134277,1.0,1.0,4.927316865632747e-08
resnet,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteY,244,0.7442857027053833,0.7442856431007385,2.5726723670959473,1.0,1.0,3.9736428036896143e-10
resnet,gmp_mmp2_mmp4_mmp8,AllGestureWiimoteZ,237,0.6842857003211975,0.6842856407165527,2.819735527038574,1.0,1.0,2.83320531480058e-07
resnet,gmp_mmp2_mmp4_mmp8,SemgHandGenderCh2,447,0.8550000190734863,0.8549999594688416,0.8899903297424316,1.0,1.0,0.0
resnet,gmp_mmp2_mmp4_mmp8,Yoga,241,0.8693333268165588,0.8693332076072693,0.8652660846710205,1.0,1.0,1.3113020003174825e-08
resnet,gmp_mmp2_mmp4_mmp8,Earthquakes,278,0.7553957104682922,0.7553956508636475,3.1510767936706543,1.0,1.0,3.70215164080534e-10
resnet,gmp_mmp2_mmp4_mmp8,EOGHorizontalSignal,451,0.6022099256515503,0.6022098660469055,6.174180030822754,1.0,1.0,2.535662986247189e-07
resnet,gmp_mmp2_mmp4_mmp8,EOGVerticalSignal,448,0.5082873106002808,0.508287250995636,9.14181137084961,1.0,1.0,1.1229373342303006e-07
resnet,gmp_mmp2_mmp4_mmp8,LargeKitchenAppliances,333,0.8773333430290222,0.8773332834243774,2.254199981689453,1.0,1.0,1.271565630567295e-09
resnet,gmp_mmp2_mmp4_mmp8,RefrigerationDevices,344,0.5120000243186951,0.5119999647140503,4.17808723449707,1.0,1.0,1.3351439065445447e-08
resnet,gmp_mmp2_mmp4_mmp8,ScreenType,339,0.6000000238418579,0.5999999642372131,3.0423781871795654,1.0,1.0,6.453195311451054e-08
resnet,gmp_mmp2_mmp4_mmp8,SmallKitchenAppliances,330,0.7973333597183228,0.7973332405090332,2.5386083126068115,0.9973333477973938,0.997333288192749,0.003463102038949728
resnet,gmp_mmp2_mmp4_mmp8,MedicalImages,220,0.7592105269432068,0.759210467338562,2.384810447692871,1.0,1.0,6.401543828360445e-07
resnet,gmp_mmp2_mmp4_mmp8,Adiac,295,0.8081841468811035,0.8081841468811035,2.0192480087280273,1.0,1.0,3.729103354999097e-07
resnet,gmp_mmp2_mmp4_mmp8,CricketX,254,0.7512820363044739,0.7512819766998291,2.1382575035095215,1.0,1.0,5.929896929046663e-08
resnet,gmp_mmp2_mmp4_mmp8,CricketY,253,0.7846153974533081,0.7846153378486633,1.4753671884536743,1.0,1.0,1.0148072249194229e-07
resnet,gmp_mmp2_mmp4_mmp8,CricketZ,257,0.7461538314819336,0.7461537718772888,1.809951901435852,1.0,1.0,0.0
resnet,gmp_mmp2_mmp4_mmp8,MiddlePhalanxTW,250,0.48051947355270386,0.4805194139480591,5.7292704582214355,1.0,1.0,1.1950804790217262e-09
resnet,gmp_mmp2_mmp4_mmp8,DistalPhalanxOutlineAgeGroup,235,0.7482014298439026,0.7482013702392578,2.9525623321533203,1.0,1.0,0.0
