model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gru128,Fish,3333,0.6228571534156799,0.6228570938110352,2.6083104610443115,1.0,1.0,1.585455538588576e-05
resnet,gru128,PowerCons,2285,0.8777777552604675,0.8777776956558228,1.4819488525390625,1.0,1.0,6.622737913630772e-10
resnet,gru128,Worms,1386,0.4545454680919647,0.45454540848731995,4.714288234710693,0.9944751262664795,0.9944750666618347,0.010466309264302254
resnet,gru128,WormsTwoClass,1406,0.5844155550003052,0.5844154953956604,4.064370155334473,1.0,1.0,2.3808834157534875e-06
resnet,gru128,FacesUCR,2412,0.7790243625640869,0.7790243029594421,1.4405136108398438,1.0,1.0,1.6564102907068445e-06
resnet,gru128,OSULeaf,3412,0.5619834661483765,0.5619834065437317,3.9282195568084717,1.0,1.0,1.7011079762596637e-06
resnet,gru128,GestureMidAirD1,3142,0.5,0.4999999403953552,4.241988182067871,1.0,1.0,0.00013960558862891048
resnet,gru128,GestureMidAirD2,2297,0.6230769157409668,0.623076856136322,2.957289457321167,1.0,1.0,0.0003568406100384891
resnet,gru128,GestureMidAirD3,826,0.23846153914928436,0.23846149444580078,7.142119407653809,1.0,1.0,0.0005635574925690889
resnet,gru128,Phoneme,1784,0.11339662224054337,0.11339657008647919,7.634028434753418,1.0,1.0,3.131183575533214e-06
resnet,gru128,InsectWingbeatSound,3379,0.4550504982471466,0.45505043864250183,4.2944464683532715,1.0,1.0,3.6834808270214126e-05
resnet,gru128,Computers,1642,0.7360000014305115,0.7359999418258667,2.894305944442749,1.0,1.0,2.1266916405693337e-07
resnet,gru128,WordSynonyms,4108,0.5282131433486938,0.5282130837440491,3.7758774757385254,1.0,1.0,4.452246230357559e-06
resnet,gru128,AllGestureWiimoteX,1619,0.23000000417232513,0.22999995946884155,3.229529857635498,0.6133333444595337,0.6133332848548889,1.0330755710601807
resnet,gru128,AllGestureWiimoteY,1624,0.5600000023841858,0.559999942779541,3.8261287212371826,1.0,1.0,0.00033527074265293777
resnet,gru128,AllGestureWiimoteZ,1616,0.4928571283817291,0.49285706877708435,5.054048538208008,1.0,1.0,2.1121268218848854e-05
resnet,gru128,SemgHandGenderCh2,3060,0.625,0.6249999403953552,4.522264003753662,1.0,1.0,0.0
resnet,gru128,Yoga,1699,0.8176666498184204,0.8176665902137756,1.612061858177185,1.0,1.0,1.92839411283785e-06
resnet,gru128,Earthquakes,1809,0.7625899314880371,0.7625898718833923,3.0743231773376465,1.0,1.0,5.812377779079725e-08
resnet,gru128,EOGHorizontalSignal,3253,0.5331491827964783,0.5331491231918335,4.682273864746094,1.0,1.0,9.125229553319514e-06
resnet,gru128,EOGVerticalSignal,3264,0.32596686482429504,0.32596680521965027,8.099032402038574,1.0,1.0,4.347131380200153e-06
resnet,gru128,LargeKitchenAppliances,2434,0.8799999952316284,0.8799999356269836,1.775953769683838,1.0,1.0,6.357828152836476e-10
resnet,gru128,RefrigerationDevices,2454,0.4480000138282776,0.4479999542236328,7.8812689781188965,1.0,1.0,6.357828152836476e-10
resnet,gru128,ScreenType,2415,0.5306666493415833,0.5306665897369385,4.953064441680908,1.0,1.0,1.4120524838290294e-06
resnet,gru128,SmallKitchenAppliances,2414,0.7946666479110718,0.794666588306427,1.5680638551712036,0.9973333477973938,0.997333288192749,0.0038017367478460073
resnet,gru128,MedicalImages,4108,0.7302631735801697,0.7302631139755249,2.4060158729553223,1.0,1.0,2.740873128459498e-07
resnet,gru128,Adiac,4741,0.6598465442657471,0.6598464846611023,2.2639267444610596,1.0,1.0,2.6125699150725268e-05
resnet,gru128,CricketX,3322,0.264102578163147,0.2641025185585022,5.639147758483887,1.0,1.0,1.0663330613169819e-05
resnet,gru128,CricketY,3308,0.23589743673801422,0.23589739203453064,7.195776462554932,1.0,1.0,1.889008416355864e-07
resnet,gru128,CricketZ,4243,0.25128206610679626,0.2512820065021515,6.5253682136535645,1.0,1.0,4.099866600881796e-06
resnet,gru128,MiddlePhalanxTW,4129,0.5,0.4999999403953552,4.73585319519043,1.0,1.0,1.1604199698922457e-06
resnet,gru128,DistalPhalanxOutlineAgeGroup,4110,0.7122302055358887,0.7122301459312439,3.247171640396118,1.0,1.0,4.8577774691693776e-08
