model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,map4,Fish,173,0.9828571677207947,0.9828571081161499,0.3582097589969635,1.0,1.0,6.130763097189629e-08
resnet,map4,PowerCons,163,0.9777777791023254,0.9777777194976807,0.06215755268931389,1.0,1.0,1.3245474939083124e-08
resnet,map4,Worms,218,0.649350643157959,0.6493505835533142,1.902909278869629,1.0,1.0,3.0236180464271456e-05
resnet,map4,WormsTwoClass,214,0.701298713684082,0.7012986540794373,1.8790209293365479,1.0,1.0,1.2090529708075337e-05
resnet,map4,FacesUCR,212,0.9648780226707458,0.9648779630661011,0.15615314245224,1.0,1.0,0.0
resnet,map4,OSULeaf,185,0.9008264541625977,0.9008263349533081,0.3739457130432129,1.0,1.0,3.1948076184562524e-07
resnet,map4,GestureMidAirD1,167,0.6769230961799622,0.6769230365753174,3.1207101345062256,1.0,1.0,1.3485512226907304e-06
resnet,map4,GestureMidAirD2,164,0.6692307591438293,0.6692306995391846,2.9616689682006836,1.0,1.0,2.1346419089240953e-05
resnet,map4,GestureMidAirD3,164,0.39230769872665405,0.3923076391220093,6.300362586975098,1.0,1.0,2.8696069875877583e-06
resnet,map4,Phoneme,267,0.3554852306842804,0.3554851710796356,6.551841735839844,1.0,1.0,2.851540784831741e-06
resnet,map4,InsectWingbeatSound,209,0.54747474193573,0.5474746823310852,2.4661080837249756,1.0,1.0,3.1698829161541653e-07
resnet,map4,Computers,254,0.7720000147819519,0.7719999551773071,2.1723525524139404,1.0,1.0,3.888335413648747e-06
resnet,map4,WordSynonyms,207,0.7131661176681519,0.7131660580635071,2.7975070476531982,1.0,1.0,4.911243856042802e-09
resnet,map4,AllGestureWiimoteX,244,0.727142870426178,0.7271428108215332,1.6615225076675415,1.0,1.0,2.9404954915435155e-08
resnet,map4,AllGestureWiimoteY,239,0.772857129573822,0.7728570699691772,1.8163453340530396,1.0,1.0,5.483626708269185e-08
resnet,map4,AllGestureWiimoteZ,241,0.6971428394317627,0.6971427798271179,1.933975100517273,1.0,1.0,1.404280737915542e-06
resnet,map4,SemgHandGenderCh2,438,0.8083333373069763,0.8083332777023315,0.6986226439476013,1.0,1.0,0.0
resnet,map4,Yoga,240,0.8930000066757202,0.8929999470710754,0.682357668876648,1.0,1.0,0.0
resnet,map4,Earthquakes,271,0.7338129281997681,0.7338128685951233,2.7581374645233154,1.0,1.0,0.0
resnet,map4,EOGHorizontalSignal,466,0.5828729271888733,0.5828728675842285,3.9930992126464844,1.0,1.0,7.244752850965597e-07
resnet,map4,EOGVerticalSignal,462,0.4419889450073242,0.44198888540267944,8.171049118041992,1.0,1.0,3.012149363712524e-06
resnet,map4,LargeKitchenAppliances,341,0.8853333592414856,0.8853332996368408,0.9871983528137207,1.0,1.0,2.6107989015144994e-06
resnet,map4,RefrigerationDevices,349,0.527999997138977,0.5279999375343323,4.933011531829834,1.0,1.0,3.814697180359872e-08
resnet,map4,ScreenType,345,0.6266666650772095,0.6266666054725647,3.552778720855713,1.0,1.0,1.90033347280405e-06
resnet,map4,SmallKitchenAppliances,346,0.7946666479110718,0.794666588306427,2.6720993518829346,1.0,1.0,4.567289215628989e-05
resnet,map4,MedicalImages,213,0.7763158082962036,0.7763158082962036,1.9205622673034668,1.0,1.0,7.268199624377303e-07
resnet,map4,Adiac,234,0.8030690550804138,0.8030690550804138,1.3666926622390747,1.0,1.0,3.050208079002914e-06
resnet,map4,CricketX,262,0.7615384459495544,0.7615383863449097,1.6025874614715576,1.0,1.0,2.6012060061475495e-07
resnet,map4,CricketY,252,0.8205128312110901,0.8205127716064453,1.1886593103408813,1.0,1.0,3.010796376656799e-07
resnet,map4,CricketZ,253,0.7692307829856873,0.7692307233810425,1.3541101217269897,1.0,1.0,4.786706426784804e-07
resnet,map4,MiddlePhalanxTW,284,0.4610389471054077,0.46103888750076294,4.950586318969727,1.0,1.0,1.5386660834337818e-07
resnet,map4,DistalPhalanxOutlineAgeGroup,223,0.7050359845161438,0.705035924911499,3.326641321182251,1.0,1.0,0.0
