model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,mpvH,Fish,164,0.954285740852356,0.9542856812477112,1.008741855621338,1.0,1.0,2.0967177079000976e-06
resnet,mpvH,PowerCons,250,0.855555534362793,0.8555554747581482,0.8174453973770142,1.0,1.0,3.984151589975227e-06
resnet,mpvH,Worms,214,0.8311688303947449,0.8311687707901001,0.6459383964538574,1.0,1.0,5.653153857565485e-05
resnet,mpvH,WormsTwoClass,209,0.7272727489471436,0.7272726893424988,0.848442792892456,1.0,1.0,3.780972110689618e-05
resnet,mpvH,FacesUCR,223,0.9360975623130798,0.9360975027084351,0.3239714503288269,1.0,1.0,1.674890199865331e-07
resnet,mpvH,OSULeaf,177,0.9628099203109741,0.9628098607063293,0.17010743916034698,1.0,1.0,1.3619639958051266e-06
resnet,mpvH,GestureMidAirD1,162,0.6461538672447205,0.6461538076400757,1.950776219367981,1.0,1.0,6.609542469959706e-05
resnet,mpvH,GestureMidAirD2,160,0.6461538672447205,0.6461538076400757,2.095665454864502,1.0,1.0,0.0010394527344033122
resnet,mpvH,GestureMidAirD3,161,0.23076923191547394,0.23076918721199036,4.513068675994873,1.0,1.0,9.695976768853143e-05
resnet,mpvH,Phoneme,260,0.31592828035354614,0.31592822074890137,4.782772064208984,1.0,1.0,1.6477801182190888e-05
resnet,mpvH,InsectWingbeatSound,188,0.4555555582046509,0.4555554986000061,2.6498379707336426,1.0,1.0,1.46139609569218e-06
resnet,mpvH,Computers,237,0.800000011920929,0.800000011920929,2.5683796405792236,1.0,1.0,1.0503435987629928e-05
resnet,mpvH,WordSynonyms,196,0.5673981308937073,0.5673980712890625,2.6468520164489746,1.0,1.0,7.308820499929425e-07
resnet,mpvH,AllGestureWiimoteX,241,0.6899999976158142,0.6899999380111694,2.7561721801757812,1.0,1.0,2.465249963279348e-05
resnet,mpvH,AllGestureWiimoteY,236,0.699999988079071,0.6999999284744263,2.369471549987793,1.0,1.0,2.2926276869839057e-05
resnet,mpvH,AllGestureWiimoteZ,233,0.6328571438789368,0.632857084274292,3.081195831298828,1.0,1.0,0.00015048013301566243
resnet,mpvH,SemgHandGenderCh2,411,0.7433333396911621,0.7433332800865173,1.1292520761489868,1.0,1.0,1.9990648070233874e-06
resnet,mpvH,Yoga,227,0.8500000238418579,0.8499999642372131,0.7810073494911194,1.0,1.0,6.838614012849575e-07
resnet,mpvH,Earthquakes,250,0.7410072088241577,0.7410071492195129,1.913068413734436,1.0,1.0,3.594507143134251e-05
resnet,mpvH,EOGHorizontalSignal,436,0.5524861812591553,0.5524861216545105,2.744523286819458,1.0,1.0,3.080119495280087e-05
resnet,mpvH,EOGVerticalSignal,436,0.4475138187408447,0.44751375913619995,4.92288064956665,1.0,1.0,1.3503217815014068e-05
resnet,mpvH,LargeKitchenAppliances,326,0.8960000276565552,0.8959999680519104,1.4058891534805298,1.0,1.0,7.371466381300706e-06
resnet,mpvH,RefrigerationDevices,326,0.5386666655540466,0.5386666059494019,4.633449077606201,1.0,1.0,4.803330853064836e-07
resnet,mpvH,ScreenType,322,0.6346666812896729,0.6346666216850281,3.67159366607666,1.0,1.0,1.1207458555873018e-05
resnet,mpvH,SmallKitchenAppliances,323,0.746666669845581,0.7466665506362915,2.2350845336914062,0.9919999837875366,0.9919999241828918,0.019754761829972267
resnet,mpvH,MedicalImages,235,0.7657894492149353,0.7657893896102905,1.8096235990524292,1.0,1.0,7.662531515961746e-07
resnet,mpvH,Adiac,237,0.8030690550804138,0.8030690550804138,1.0125735998153687,1.0,1.0,1.426167455065297e-05
resnet,mpvH,CricketX,252,0.7769230604171753,0.7769230008125305,1.1752525568008423,1.0,1.0,1.209817696690152e-06
resnet,mpvH,CricketY,248,0.764102578163147,0.7641025185585022,1.000659704208374,1.0,1.0,9.545892680762336e-07
resnet,mpvH,CricketZ,248,0.7435897588729858,0.7435896396636963,1.299745798110962,1.0,1.0,3.6098998634770396e-07
resnet,mpvH,MiddlePhalanxTW,243,0.5064935088157654,0.5064934492111206,3.988034725189209,1.0,1.0,1.0397199190492756e-07
resnet,mpvH,DistalPhalanxOutlineAgeGroup,271,0.7194244861602783,0.7194243669509888,3.1479666233062744,1.0,1.0,5.27500958469318e-08
