model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvHste_mpvH_mipvH,Fish,152,0.9085714221000671,0.9085713624954224,1.6859067678451538,1.0,1.0,0.0023597003892064095
resnet,ppvHste_mpvH_mipvH,PowerCons,230,0.8500000238418579,0.8499999642372131,2.45886492729187,1.0,1.0,2.913997221298814e-08
resnet,ppvHste_mpvH_mipvH,Worms,212,0.7792207598686218,0.779220700263977,3.241626024246216,0.9944751262664795,0.9944750666618347,0.10935240983963013
resnet,ppvHste_mpvH_mipvH,WormsTwoClass,207,0.7402597665786743,0.7402597069740295,3.5268590450286865,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,FacesUCR,165,0.8707317113876343,0.8707316517829895,1.4301848411560059,1.0,1.0,5.9538660934777e-06
resnet,ppvHste_mpvH_mipvH,OSULeaf,173,0.93388432264328,0.9338842630386353,1.1014790534973145,1.0,1.0,5.477387503560749e-07
resnet,ppvHste_mpvH_mipvH,GestureMidAirD1,160,0.4000000059604645,0.3999999761581421,11.091513633728027,0.6442307829856873,0.6442307233810425,3.3001527786254883
resnet,ppvHste_mpvH_mipvH,GestureMidAirD2,154,0.4692307710647583,0.4692307114601135,10.187737464904785,0.5721153616905212,0.5721153020858765,4.272706508636475
resnet,ppvHste_mpvH_mipvH,GestureMidAirD3,158,0.2153846174478531,0.2153845727443695,12.696297645568848,0.6730769276618958,0.673076868057251,1.544307827949524
resnet,ppvHste_mpvH_mipvH,Phoneme,256,0.22679324448108673,0.22679319977760315,33.460243225097656,0.9205607771873474,0.9205607175827026,0.9673611521720886
resnet,ppvHste_mpvH_mipvH,InsectWingbeatSound,166,0.41818180680274963,0.41818174719810486,5.984250068664551,1.0,1.0,0.0015644015511497855
resnet,ppvHste_mpvH_mipvH,Computers,240,0.8040000200271606,0.8039999604225159,10.198575019836426,1.0,1.0,1.6161855000973446e-06
resnet,ppvHste_mpvH_mipvH,WordSynonyms,186,0.5109717845916748,0.51097172498703,8.9955472946167,1.0,1.0,0.0014642283786088228
resnet,ppvHste_mpvH_mipvH,AllGestureWiimoteX,246,0.6600000262260437,0.6599999666213989,6.944206714630127,1.0,1.0,1.6563003555347677e-06
resnet,ppvHste_mpvH_mipvH,AllGestureWiimoteY,237,0.6828571557998657,0.682857096195221,4.579855442047119,1.0,1.0,0.0009536567376926541
resnet,ppvHste_mpvH_mipvH,AllGestureWiimoteZ,238,0.5971428751945496,0.5971428155899048,2.399022102355957,0.9800000190734863,0.9799999594688416,0.05959759280085564
resnet,ppvHste_mpvH_mipvH,SemgHandGenderCh2,413,0.7933333516120911,0.7933332324028015,6.514530181884766,1.0,1.0,7.947285052267716e-10
resnet,ppvHste_mpvH_mipvH,Yoga,231,0.8476666808128357,0.8476666212081909,1.9183284044265747,1.0,1.0,3.9736428036896143e-10
resnet,ppvHste_mpvH_mipvH,Earthquakes,255,0.6978417038917542,0.6978416442871094,19.451631546020508,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,EOGHorizontalSignal,441,0.4060773551464081,0.4060772955417633,13.081582069396973,0.7734806537628174,0.7734805941581726,1.958367943763733
resnet,ppvHste_mpvH_mipvH,EOGVerticalSignal,437,0.38397789001464844,0.38397783041000366,22.796653747558594,0.7762430906295776,0.7762429714202881,3.177645683288574
resnet,ppvHste_mpvH_mipvH,LargeKitchenAppliances,332,0.9013333320617676,0.9013332724571228,4.356118202209473,1.0,1.0,4.4504428586833455e-08
resnet,ppvHste_mpvH_mipvH,RefrigerationDevices,328,0.5066666603088379,0.5066666007041931,21.65387725830078,1.0,1.0,4.45047820818445e-09
resnet,ppvHste_mpvH_mipvH,ScreenType,329,0.6133333444595337,0.6133332848548889,11.114506721496582,0.981333315372467,0.9813332557678223,0.11687441170215607
resnet,ppvHste_mpvH_mipvH,SmallKitchenAppliances,329,0.7573333382606506,0.7573332786560059,6.150554656982422,0.9546666741371155,0.9546666145324707,0.24363741278648376
resnet,ppvHste_mpvH_mipvH,MedicalImages,220,0.7631579041481018,0.763157844543457,2.5971059799194336,1.0,1.0,1.7117092738772044e-06
resnet,ppvHste_mpvH_mipvH,Adiac,229,0.6803069114685059,0.6803068518638611,1.926421880722046,0.9179487228393555,0.9179486632347107,0.2596498429775238
resnet,ppvHste_mpvH_mipvH,CricketX,244,0.7205128073692322,0.7205127477645874,5.3008198738098145,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,CricketY,240,0.764102578163147,0.7641025185585022,4.0739006996154785,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,CricketZ,239,0.7205128073692322,0.7205127477645874,6.8732171058654785,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,MiddlePhalanxTW,222,0.5584415793418884,0.5584415197372437,3.7218844890594482,1.0,1.0,0.0005809302674606442
resnet,ppvHste_mpvH_mipvH,DistalPhalanxOutlineAgeGroup,229,0.7122302055358887,0.7122301459312439,2.436335802078247,1.0,1.0,6.85349186824169e-06
