model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvS,Fish,170,0.8399999737739563,0.8399999141693115,0.39301353693008423,0.9371428489685059,0.9371427893638611,0.26071861386299133
resnet,ppvS,PowerCons,186,0.8666666746139526,0.8666666150093079,0.5859744548797607,1.0,1.0,0.0016539068892598152
resnet,ppvS,Worms,217,0.7922077775001526,0.7922077178955078,0.7719041109085083,0.9944751262664795,0.9944750666618347,0.03770056366920471
resnet,ppvS,WormsTwoClass,213,0.7662337422370911,0.7662336826324463,0.8382030129432678,1.0,1.0,0.002405951963737607
resnet,ppvS,FacesUCR,173,0.8585366010665894,0.8585365414619446,0.5681236386299133,1.0,1.0,0.003709518350660801
resnet,ppvS,OSULeaf,185,0.9545454382896423,0.9545453786849976,0.14448130130767822,1.0,1.0,0.0026272437535226345
resnet,ppvS,GestureMidAirD1,170,0.3384615480899811,0.3384614884853363,2.025390625,0.48557692766189575,0.485576868057251,1.6868782043457031
resnet,ppvS,GestureMidAirD2,162,0.3384615480899811,0.3384614884853363,1.7451001405715942,0.45673078298568726,0.4567307233810425,1.4851248264312744
resnet,ppvS,GestureMidAirD3,164,0.11538461595773697,0.11538456380367279,2.8513801097869873,0.32211539149284363,0.32211533188819885,2.339806079864502
resnet,ppvS,Phoneme,266,0.34493669867515564,0.34493663907051086,3.2979226112365723,0.9953271150588989,0.9953270554542542,0.1340898722410202
resnet,ppvS,InsectWingbeatSound,180,0.48838382959365845,0.48838376998901367,1.4031007289886475,0.8363636136054993,0.8363635540008545,0.6145915389060974
resnet,ppvS,Computers,236,0.6959999799728394,0.6959999203681946,0.6223462820053101,0.7120000123977661,0.7119999527931213,0.5500917434692383
resnet,ppvS,WordSynonyms,195,0.4514106512069702,0.45141059160232544,2.0630340576171875,0.7940074801445007,0.794007420539856,0.8366236686706543
resnet,ppvS,AllGestureWiimoteX,251,0.6014285683631897,0.6014285087585449,1.091080904006958,0.8166666626930237,0.8166666030883789,0.6522648334503174
resnet,ppvS,AllGestureWiimoteY,242,0.6271428465843201,0.6271427869796753,1.1461459398269653,0.8666666746139526,0.8666666150093079,0.4451950490474701
resnet,ppvS,AllGestureWiimoteZ,237,0.4471428692340851,0.4471428096294403,1.3965935707092285,0.5600000023841858,0.559999942779541,1.1898314952850342
resnet,ppvS,SemgHandGenderCh2,422,0.7933333516120911,0.7933332324028015,0.7839722037315369,1.0,1.0,1.3679208677785937e-05
resnet,ppvS,Yoga,232,0.5046666860580444,0.5046666264533997,1.3950729370117188,0.5133333206176758,0.513333261013031,1.2923049926757812
resnet,ppvS,Earthquakes,254,0.7050359845161438,0.705035924911499,1.2767239809036255,1.0,1.0,0.003772547235712409
resnet,ppvS,EOGHorizontalSignal,453,0.3977900445461273,0.39778998494148254,3.26588773727417,0.6215469837188721,0.6215469241142273,1.3568590879440308
resnet,ppvS,EOGVerticalSignal,447,0.4116021990776062,0.4116021394729614,2.8898186683654785,0.8011049628257751,0.8011049032211304,0.574842095375061
resnet,ppvS,LargeKitchenAppliances,333,0.8640000224113464,0.8639999628067017,0.4544011354446411,0.9253333210945129,0.9253332614898682,0.2650725543498993
resnet,ppvS,RefrigerationDevices,340,0.5386666655540466,0.5386666059494019,3.9753429889678955,1.0,1.0,0.002850181655958295
resnet,ppvS,ScreenType,331,0.4320000112056732,0.43199995160102844,1.0657877922058105,0.6586666703224182,0.6586666107177734,0.7381207942962646
resnet,ppvS,SmallKitchenAppliances,326,0.7120000123977661,0.7119999527931213,0.6514970064163208,0.7226666808128357,0.7226666212081909,0.6094788312911987
resnet,ppvS,MedicalImages,220,0.7302631735801697,0.7302631139755249,0.7271605730056763,0.8897637724876404,0.8897637128829956,0.32674440741539
resnet,ppvS,Adiac,235,0.7289002537727356,0.7289001941680908,0.824167788028717,0.8358974456787109,0.8358974456787109,0.5605743527412415
resnet,ppvS,CricketX,255,0.7538461685180664,0.7538461089134216,0.8342190980911255,0.9974358677864075,0.9974358081817627,0.03419746086001396
resnet,ppvS,CricketY,246,0.692307710647583,0.6923076510429382,0.9000524878501892,0.9974358677864075,0.9974358081817627,0.073919378221035
resnet,ppvS,CricketZ,243,0.7512820363044739,0.7512819766998291,0.7568494081497192,1.0,1.0,0.03673895448446274
resnet,ppvS,MiddlePhalanxTW,211,0.5779221057891846,0.5779220461845398,1.0207945108413696,0.6441102623939514,0.6441102027893066,0.8775176405906677
resnet,ppvS,DistalPhalanxOutlineAgeGroup,210,0.7410072088241577,0.7410071492195129,0.5612383484840393,0.887499988079071,0.8874999284744263,0.29293182492256165
