model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap,ArticularyWordRecognition,156,0.9800000190734863,0.9799999594688416,0.0623864121735096,1.0,1.0,2.0603909433702938e-05
fcn,gap,AtrialFibrillation,200,0.3333333432674408,0.333333283662796,1.4274163246154785,0.0,0.0,3.7855677604675293
fcn,gap,BasicMotions,101,1.0,1.0,0.0008561268332414329,1.0,1.0,3.4242693800479174e-06
fcn,gap,Cricket,171,0.9861111044883728,0.986111044883728,0.03558359295129776,1.0,1.0,9.271831657997609e-08
fcn,gap,DuckDuckGeese,186,0.5600000023841858,0.559999942779541,1.7711559534072876,1.0,1.0,1.7809829842008185e-06
fcn,gap,EigenWorms,938,0.9160305261611938,0.9160304665565491,0.28201550245285034,1.0,1.0,1.2728062756650615e-05
fcn,gap,Epilepsy,124,0.9927536249160767,0.9927535653114319,0.02054581604897976,1.0,1.0,9.72815996647114e-07
fcn,gap,EthanolConcentration,305,0.3041824996471405,0.3041824400424957,3.9129624366760254,1.0,1.0,0.029021380469202995
fcn,gap,ERing,98,0.8629629611968994,0.8629629015922546,0.46658334136009216,1.0,1.0,2.780680006253533e-05
fcn,gap,FaceDetection,1646,0.5547673106193542,0.5547672510147095,3.351356267929077,1.0,1.0,7.409340128106123e-07
fcn,gap,FingerMovements,153,0.550000011920929,0.5499999523162842,3.6970250606536865,1.0,1.0,3.093405354093193e-08
fcn,gap,HandMovementDirection,132,0.4189189076423645,0.4189188480377197,2.785982370376587,1.0,1.0,3.30805676185264e-07
fcn,gap,Handwriting,118,0.5870588421821594,0.5870587825775146,1.7887277603149414,1.0,1.0,2.334114469704218e-06
fcn,gap,Heartbeat,172,0.7268292903900146,0.7268291711807251,1.6657123565673828,1.0,1.0,2.5127446789952046e-08
fcn,gap,Libras,120,0.8833333253860474,0.8833332657814026,0.6557840704917908,1.0,1.0,3.064640986849554e-05
fcn,gap,LSST,631,0.6119221448898315,0.6119220852851868,4.79072904586792,1.0,1.0,1.0665327510039901e-09
fcn,gap,MotorImagery,584,0.5600000023841858,0.559999942779541,2.5797600746154785,1.0,1.0,7.758768333587795e-06
fcn,gap,NATOPS,122,0.8999999761581421,0.8999999165534973,0.4645189642906189,1.0,1.0,2.40544159169076e-05
fcn,gap,PenDigits,1544,0.9882790446281433,0.9882789850234985,0.10469654202461243,1.0,1.0,3.181459262702191e-11
fcn,gap,PEMS-SF,281,0.8265895843505859,0.8265895843505859,1.2168523073196411,1.0,1.0,0.0
fcn,gap,PhonemeSpectra,1059,0.2881002128124237,0.28810015320777893,5.691934108734131,1.0,1.0,0.00013164909614715725
fcn,gap,RacketSports,113,0.8486841917037964,0.8486841320991516,0.9312306642532349,1.0,1.0,2.2846957108413335e-06
fcn,gap,SelfRegulationSCP1,229,0.7508532404899597,0.7508531808853149,1.1662404537200928,1.0,1.0,1.1721457667590585e-05
fcn,gap,SelfRegulationSCP2,211,0.5111111402511597,0.5111110806465149,2.504058837890625,1.0,1.0,6.76630879752338e-05
fcn,gap,StandWalkJump,160,0.13333334028720856,0.13333329558372498,2.8525307178497314,0.3333333432674408,0.333333283662796,2.086376190185547
fcn,gap,UWaveGestureLibrary,117,0.8843749761581421,0.8843749165534973,0.6992552876472473,1.0,1.0,1.5656128198315855e-06
