model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap_gmp,ArticularyWordRecognition,160,0.9766666889190674,0.9766666293144226,0.07100857049226761,1.0,1.0,1.7170391402032692e-06
fcn,gap_gmp,AtrialFibrillation,179,0.13333334028720856,0.13333329558372498,4.644215106964111,1.0,1.0,0.020128751173615456
fcn,gap_gmp,BasicMotions,105,0.925000011920929,0.9249999523162842,0.17843195796012878,1.0,1.0,0.0
fcn,gap_gmp,Cricket,181,0.9861111044883728,0.986111044883728,0.01974949613213539,1.0,1.0,0.0
fcn,gap_gmp,DuckDuckGeese,197,0.4399999976158142,0.43999993801116943,2.114452838897705,1.0,1.0,0.0
fcn,gap_gmp,EigenWorms,949,0.8320610523223877,0.8320609927177429,0.7858915328979492,1.0,1.0,1.8626450382086546e-09
fcn,gap_gmp,Epilepsy,130,0.9492753744125366,0.9492753148078918,0.13622738420963287,1.0,1.0,0.0
fcn,gap_gmp,EthanolConcentration,314,0.31178706884384155,0.3117870092391968,5.666444778442383,1.0,1.0,9.972118277801201e-05
fcn,gap_gmp,ERing,103,0.9259259104728699,0.9259258508682251,0.3668113052845001,1.0,1.0,7.947285496356926e-09
fcn,gap_gmp,FaceDetection,1694,0.5595913529396057,0.5595912933349609,5.690272808074951,1.0,1.0,0.0
fcn,gap_gmp,FingerMovements,157,0.5400000214576721,0.5399999618530273,1.906272530555725,1.0,1.0,0.0
fcn,gap_gmp,HandMovementDirection,148,0.2567567527294159,0.2567566931247711,2.3129494190216064,1.0,1.0,2.1606682665264998e-08
fcn,gap_gmp,Handwriting,124,0.4058823585510254,0.4058822989463806,3.064314126968384,1.0,1.0,2.4636584328163735e-08
fcn,gap_gmp,Heartbeat,181,0.6487804651260376,0.6487804055213928,2.3116462230682373,1.0,1.0,0.0
fcn,gap_gmp,Libras,121,0.855555534362793,0.8555554747581482,0.7822431921958923,1.0,1.0,1.4536877870341414e-06
fcn,gap_gmp,LSST,648,0.5985401272773743,0.5985400676727295,4.1724019050598145,1.0,1.0,0.0
fcn,gap_gmp,MotorImagery,590,0.5,0.4999999403953552,2.0611252784729004,1.0,1.0,0.0
fcn,gap_gmp,NATOPS,120,0.8833333253860474,0.8833332657814026,0.5528188347816467,1.0,1.0,3.7484662129827484e-07
fcn,gap_gmp,PenDigits,1546,0.9822756052017212,0.9822755455970764,0.15280941128730774,1.0,1.0,1.5907296313510955e-11
fcn,gap_gmp,PEMS-SF,282,0.8208092451095581,0.8208091855049133,0.8927820324897766,1.0,1.0,0.0
fcn,gap_gmp,PhonemeSpectra,1078,0.23203101754188538,0.2320309728384018,10.482745170593262,1.0,1.0,3.6320173535386857e-09
fcn,gap_gmp,RacketSports,120,0.8157894611358643,0.8157894015312195,1.1165528297424316,1.0,1.0,0.0
fcn,gap_gmp,SelfRegulationSCP1,242,0.80887371301651,0.8088736534118652,1.8156040906906128,1.0,1.0,0.0
fcn,gap_gmp,SelfRegulationSCP2,227,0.47777777910232544,0.47777771949768066,3.1142375469207764,1.0,1.0,2.38418573772492e-09
fcn,gap_gmp,StandWalkJump,180,0.4000000059604645,0.3999999761581421,5.815167427062988,0.75,0.7499999403953552,0.48124194145202637
fcn,gap_gmp,UWaveGestureLibrary,123,0.809374988079071,0.8093749284744263,1.506582260131836,1.0,1.0,1.9868213740892315e-09
