model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap_map2_map4_map8,ArticularyWordRecognition,195,0.9866666793823242,0.9866666197776794,0.06418590992689133,1.0,1.0,0.0
fcn,gap_map2_map4_map8,AtrialFibrillation,203,0.20000000298023224,0.19999997317790985,3.2535696029663086,1.0,1.0,0.0039350916631519794
fcn,gap_map2_map4_map8,BasicMotions,105,1.0,1.0,0.0005861645331606269,1.0,1.0,0.0
fcn,gap_map2_map4_map8,Cricket,475,1.0,1.0,0.0113876573741436,1.0,1.0,7.72652786196204e-09
fcn,gap_map2_map4_map8,DuckDuckGeese,228,0.30000001192092896,0.2999999523162842,2.1448419094085693,1.0,1.0,0.0
fcn,gap_map2_map4_map8,EigenWorms,79847,0.8549618124961853,0.8549617528915405,0.7220922708511353,1.0,1.0,9.229383977071848e-07
fcn,gap_map2_map4_map8,Epilepsy,141,0.9637681245803833,0.9637680649757385,0.1338152289390564,1.0,1.0,2.2623657613962678e-08
fcn,gap_map2_map4_map8,EthanolConcentration,2046,0.2851710915565491,0.2851710319519043,7.25974178314209,1.0,1.0,0.0005564551101997495
fcn,gap_map2_map4_map8,ERing,104,0.9518518447875977,0.9518517851829529,0.25110089778900146,1.0,1.0,0.0
fcn,gap_map2_map4_map8,FaceDetection,2046,0.661464273929596,0.6614642143249512,5.691802024841309,1.0,1.0,0.0
fcn,gap_map2_map4_map8,FingerMovements,173,0.5199999809265137,0.5199999213218689,3.5576791763305664,1.0,1.0,0.0
fcn,gap_map2_map4_map8,HandMovementDirection,214,0.6486486196517944,0.6486485600471497,1.9610261917114258,1.0,1.0,1.192092824453539e-08
fcn,gap_map2_map4_map8,Handwriting,141,0.5494117736816406,0.5494117140769958,2.890660524368286,1.0,1.0,3.6557512572699125e-08
fcn,gap_map2_map4_map8,Heartbeat,263,0.7463414669036865,0.7463414669036865,1.2554991245269775,1.0,1.0,0.0
fcn,gap_map2_map4_map8,Libras,129,0.8166666626930237,0.8166666030883789,1.827782392501831,1.0,1.0,3.006720419307385e-07
fcn,gap_map2_map4_map8,LSST,743,0.584347128868103,0.5843470692634583,5.099549770355225,1.0,1.0,0.0
fcn,gap_map2_map4_map8,MotorImagery,5679,0.5299999713897705,0.5299999117851257,4.632258415222168,1.0,1.0,4.2881037609632244e-10
fcn,gap_map2_map4_map8,NATOPS,130,0.8388888835906982,0.8388888239860535,1.210309624671936,1.0,1.0,1.5894570992713852e-08
fcn,gap_map2_map4_map8,PenDigits,1770,0.9765580296516418,0.9765579700469971,0.42109769582748413,1.0,1.0,1.5907296313510955e-11
fcn,gap_map2_map4_map8,PEMS-SF,356,0.8208092451095581,0.8208091855049133,0.7530348300933838,1.0,1.0,0.0
fcn,gap_map2_map4_map8,PhonemeSpectra,1652,0.23620638251304626,0.23620633780956268,9.750117301940918,1.0,1.0,7.184900709944486e-07
fcn,gap_map2_map4_map8,RacketSports,122,0.8684210777282715,0.8684210181236267,1.5184677839279175,1.0,1.0,3.947326909781168e-09
fcn,gap_map2_map4_map8,SelfRegulationSCP1,862,0.7815699577331543,0.7815698981285095,1.5201694965362549,1.0,1.0,0.0
fcn,gap_map2_map4_map8,SelfRegulationSCP2,1002,0.42222222685813904,0.42222216725349426,2.500326633453369,1.0,1.0,4.7564498117935727e-07
fcn,gap_map2_map4_map8,StandWalkJump,352,0.20000000298023224,0.19999997317790985,3.318229913711548,1.0,1.0,0.026376821100711823
fcn,gap_map2_map4_map8,UWaveGestureLibrary,168,0.9125000238418579,0.9124999046325684,0.8043106198310852,1.0,1.0,1.9868213740892315e-09
