model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap_mpvH,ArticularyWordRecognition,174,0.9733333587646484,0.9733332991600037,0.08656308799982071,1.0,1.0,5.876728664588882e-06
fcn,gap_mpvH,AtrialFibrillation,191,0.46666666865348816,0.4666666090488434,1.5197126865386963,0.0,0.0,4.443822383880615
fcn,gap_mpvH,BasicMotions,100,1.0,1.0,0.0012073952239006758,1.0,1.0,6.374673830578104e-06
fcn,gap_mpvH,Cricket,197,1.0,1.0,0.0076531716622412205,1.0,1.0,8.499178960619247e-08
fcn,gap_mpvH,DuckDuckGeese,216,0.5799999833106995,0.5799999237060547,1.603699803352356,1.0,1.0,2.534383611418889e-06
fcn,gap_mpvH,EigenWorms,1365,0.9083969593048096,0.9083968997001648,0.4783279299736023,1.0,1.0,1.3318640412762761e-05
fcn,gap_mpvH,Epilepsy,132,0.9927536249160767,0.9927535653114319,0.009555372409522533,1.0,1.0,3.5327701652931864e-07
fcn,gap_mpvH,EthanolConcentration,392,0.2927756607532501,0.29277560114860535,4.197019100189209,1.0,1.0,0.020199310034513474
fcn,gap_mpvH,ERing,101,0.855555534362793,0.8555554747581482,0.46507030725479126,1.0,1.0,2.0241419406374916e-05
fcn,gap_mpvH,FaceDetection,1966,0.5479568839073181,0.5479568243026733,3.5708906650543213,1.0,1.0,1.0224195534647151e-07
fcn,gap_mpvH,FingerMovements,158,0.5799999833106995,0.5799999237060547,3.752598762512207,1.0,1.0,6.941297669982305e-08
fcn,gap_mpvH,HandMovementDirection,140,0.37837839126586914,0.37837833166122437,2.4942383766174316,1.0,1.0,2.786516688502161e-07
fcn,gap_mpvH,Handwriting,125,0.5752941370010376,0.5752940773963928,1.9004936218261719,1.0,1.0,1.054604126693448e-06
fcn,gap_mpvH,Heartbeat,187,0.7609755992889404,0.7609755396842957,1.456438660621643,1.0,1.0,1.2797464421510085e-07
fcn,gap_mpvH,Libras,121,0.8777777552604675,0.8777776956558228,0.6720878481864929,1.0,1.0,1.5186187738436274e-05
fcn,gap_mpvH,LSST,714,0.6127331852912903,0.6127331256866455,4.491367340087891,1.0,1.0,7.756602027342296e-10
fcn,gap_mpvH,MotorImagery,779,0.5600000023841858,0.559999942779541,3.0012271404266357,1.0,1.0,5.163637979421765e-06
fcn,gap_mpvH,NATOPS,122,0.894444465637207,0.8944444060325623,0.4822961986064911,1.0,1.0,8.553112820663955e-06
fcn,gap_mpvH,PenDigits,1752,0.9874213933944702,0.9874213337898254,0.11996907740831375,1.0,1.0,9.544376400327792e-11
fcn,gap_mpvH,PEMS-SF,334,0.8150289058685303,0.8150288462638855,1.2635852098464966,1.0,1.0,0.0
fcn,gap_mpvH,PhonemeSpectra,1329,0.30002981424331665,0.3000297546386719,5.264421463012695,1.0,1.0,8.63368040882051e-05
fcn,gap_mpvH,RacketSports,109,0.8486841917037964,0.8486841320991516,1.1164073944091797,1.0,1.0,1.143143322224205e-06
fcn,gap_mpvH,SelfRegulationSCP1,266,0.7406143546104431,0.7406142354011536,1.1921427249908447,1.0,1.0,4.674481260735774e-06
fcn,gap_mpvH,SelfRegulationSCP2,253,0.5111111402511597,0.5111110806465149,2.6274516582489014,1.0,1.0,2.3664668333367445e-05
fcn,gap_mpvH,StandWalkJump,151,0.2666666805744171,0.26666662096977234,2.7264814376831055,0.25,0.24999994039535522,2.7486391067504883
fcn,gap_mpvH,UWaveGestureLibrary,128,0.878125011920929,0.8781249523162842,0.6138749718666077,1.0,1.0,4.386884938867297e-06
