model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gap_mpvH_ppvHste,ArticularyWordRecognition,183,0.9900000095367432,0.9899999499320984,0.04528354853391647,1.0,1.0,7.012387413851684e-06
fcn,gap_mpvH_ppvHste,AtrialFibrillation,228,0.46666666865348816,0.4666666090488434,1.7861578464508057,0.0,0.0,4.394869327545166
fcn,gap_mpvH_ppvHste,BasicMotions,134,1.0,1.0,0.002936758566647768,1.0,1.0,1.5199157132883556e-06
fcn,gap_mpvH_ppvHste,Cricket,170,0.9861111044883728,0.986111044883728,0.024940170347690582,1.0,1.0,6.070842317740244e-08
fcn,gap_mpvH_ppvHste,DuckDuckGeese,189,0.5199999809265137,0.5199999213218689,2.0323679447174072,1.0,1.0,5.865094294676965e-07
fcn,gap_mpvH_ppvHste,EigenWorms,368,0.885496199131012,0.8854961395263672,0.4646168649196625,1.0,1.0,1.105840510717826e-05
fcn,gap_mpvH_ppvHste,Epilepsy,150,1.0,1.0,0.00399147579446435,1.0,1.0,1.0267598327118321e-06
fcn,gap_mpvH_ppvHste,EthanolConcentration,234,0.32699620723724365,0.3269961476325989,4.535653114318848,0.9501915574073792,0.9501914978027344,0.13026687502861023
fcn,gap_mpvH_ppvHste,ERing,133,0.8777777552604675,0.8777776956558228,0.4275144338607788,1.0,1.0,9.151222002401482e-06
fcn,gap_mpvH_ppvHste,FaceDetection,1564,0.5490919351577759,0.5490918755531311,4.283325672149658,1.0,1.0,4.946427267782383e-08
fcn,gap_mpvH_ppvHste,FingerMovements,184,0.550000011920929,0.5499999523162842,4.435609817504883,1.0,1.0,1.433529117633725e-08
fcn,gap_mpvH_ppvHste,HandMovementDirection,147,0.36486485600471497,0.3648647964000702,2.814737319946289,1.0,1.0,1.0721378203015774e-06
fcn,gap_mpvH_ppvHste,Handwriting,148,0.551764726638794,0.5517646670341492,2.0448386669158936,1.0,1.0,1.3589855996087863e-07
fcn,gap_mpvH_ppvHste,Heartbeat,178,0.7268292903900146,0.7268291711807251,1.8510489463806152,1.0,1.0,2.395872833460544e-08
fcn,gap_mpvH_ppvHste,Libras,153,0.8777777552604675,0.8777776956558228,0.6549847722053528,1.0,1.0,1.5189361874945462e-05
fcn,gap_mpvH_ppvHste,LSST,660,0.6086780428886414,0.6086779832839966,4.899669170379639,1.0,1.0,8.24138268740171e-09
fcn,gap_mpvH_ppvHste,MotorImagery,365,0.5899999737739563,0.5899999141693115,3.054838180541992,1.0,1.0,1.3618976026918972e-06
fcn,gap_mpvH_ppvHste,NATOPS,151,0.9111111164093018,0.911111056804657,0.5202053189277649,1.0,1.0,8.168283784470987e-06
fcn,gap_mpvH_ppvHste,PenDigits,1746,0.9879931211471558,0.987993061542511,0.12100367993116379,1.0,1.0,0.0
fcn,gap_mpvH_ppvHste,PEMS-SF,275,0.7919074892997742,0.7919074296951294,1.118442416191101,1.0,1.0,6.027434551469923e-08
fcn,gap_mpvH_ppvHste,PhonemeSpectra,907,0.2800477147102356,0.2800476551055908,5.565822124481201,1.0,1.0,0.00011745918891392648
fcn,gap_mpvH_ppvHste,RacketSports,146,0.8618420958518982,0.8618420362472534,1.191741704940796,1.0,1.0,1.209452989314741e-06
fcn,gap_mpvH_ppvHste,SelfRegulationSCP1,205,0.7269624471664429,0.7269623875617981,1.3414446115493774,1.0,1.0,9.562813829688821e-06
fcn,gap_mpvH_ppvHste,SelfRegulationSCP2,185,0.5277777910232544,0.5277777314186096,2.4638710021972656,1.0,1.0,3.611663123592734e-05
fcn,gap_mpvH_ppvHste,StandWalkJump,177,0.4000000059604645,0.3999999761581421,3.2369163036346436,0.3333333432674408,0.333333283662796,2.613760232925415
fcn,gap_mpvH_ppvHste,UWaveGestureLibrary,142,0.8843749761581421,0.8843749165534973,0.6781078577041626,1.0,1.0,1.5854814137128415e-06
