model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gmp,ArticularyWordRecognition,159,0.9833333492279053,0.9833332896232605,0.06868325173854828,1.0,1.0,1.9030130715691485e-07
fcn,gmp,AtrialFibrillation,179,0.2666666805744171,0.26666662096977234,4.389699459075928,0.9333333373069763,0.9333332777023315,0.18796952068805695
fcn,gmp,BasicMotions,106,0.9750000238418579,0.9749999642372131,0.09933103621006012,1.0,1.0,0.0
fcn,gmp,Cricket,179,0.9861111044883728,0.986111044883728,0.03846099227666855,1.0,1.0,0.0
fcn,gmp,DuckDuckGeese,199,0.46000000834465027,0.4599999487400055,2.5308051109313965,1.0,1.0,0.0
fcn,gmp,EigenWorms,878,0.8091602921485901,0.8091602325439453,0.9597467184066772,1.0,1.0,6.51925757821914e-09
fcn,gmp,Epilepsy,128,0.9492753744125366,0.9492753148078918,0.13491642475128174,1.0,1.0,0.0
fcn,gmp,EthanolConcentration,297,0.24334600567817688,0.2433459609746933,5.703994274139404,1.0,1.0,0.0001847772509790957
fcn,gmp,ERing,103,0.8888888955116272,0.8888888359069824,0.4214875102043152,1.0,1.0,0.0
fcn,gmp,FaceDetection,1657,0.5471055507659912,0.5471054911613464,6.90117883682251,1.0,1.0,0.0
fcn,gmp,FingerMovements,162,0.5,0.4999999403953552,2.0555553436279297,1.0,1.0,0.0
fcn,gmp,HandMovementDirection,149,0.31081080436706543,0.31081074476242065,2.37397837638855,1.0,1.0,2.1606682665264998e-08
fcn,gmp,Handwriting,126,0.41294118762016296,0.4129411280155182,3.1355249881744385,1.0,1.0,1.5894570992713852e-08
fcn,gmp,Heartbeat,181,0.6926829218864441,0.6926828622817993,2.115476131439209,1.0,1.0,5.843592276733034e-10
fcn,gmp,Libras,125,0.8833333253860474,0.8833332657814026,0.8275232911109924,1.0,1.0,1.1702358051479678e-06
fcn,gmp,LSST,631,0.5904298424720764,0.5904297828674316,4.34003210067749,1.0,1.0,0.0
fcn,gmp,MotorImagery,572,0.47999998927116394,0.47999992966651917,1.737654447555542,1.0,1.0,4.2881037609632244e-10
fcn,gmp,NATOPS,122,0.9111111164093018,0.911111056804657,0.4069676995277405,1.0,1.0,4.0729796069172153e-07
fcn,gmp,PenDigits,1544,0.9851343631744385,0.9851343035697937,0.1550118327140808,1.0,1.0,0.0
fcn,gmp,PEMS-SF,274,0.8323699235916138,0.832369863986969,1.1388565301895142,1.0,1.0,0.0
fcn,gmp,PhonemeSpectra,1032,0.22994333505630493,0.22994327545166016,10.493765830993652,1.0,1.0,1.0896051172437637e-08
fcn,gmp,RacketSports,118,0.7960526347160339,0.7960525751113892,0.938970148563385,1.0,1.0,3.947326909781168e-09
fcn,gmp,SelfRegulationSCP1,232,0.7713310718536377,0.7713310122489929,2.262117862701416,1.0,1.0,0.0
fcn,gmp,SelfRegulationSCP2,217,0.46666666865348816,0.4666666090488434,2.6182188987731934,1.0,1.0,7.15255676908555e-09
fcn,gmp,StandWalkJump,163,0.2666666805744171,0.26666662096977234,6.4643707275390625,0.6666666865348816,0.6666666269302368,2.0049684047698975
fcn,gmp,UWaveGestureLibrary,120,0.809374988079071,0.8093749284744263,1.4059916734695435,1.0,1.0,1.9868213740892315e-09
