model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gmp_mmp2_mmp4_mmp8,ArticularyWordRecognition,174,0.9866666793823242,0.9866666197776794,0.04302797093987465,1.0,1.0,4.3348830081058054e-10
fcn,gmp_mmp2_mmp4_mmp8,AtrialFibrillation,191,0.3333333432674408,0.333333283662796,5.565001010894775,1.0,1.0,1.9446200894890353e-05
fcn,gmp_mmp2_mmp4_mmp8,BasicMotions,107,1.0,1.0,0.006408220622688532,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,Cricket,186,0.9722222089767456,0.9722221493721008,0.07478564977645874,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,DuckDuckGeese,204,0.2199999988079071,0.21999995410442352,3.371366024017334,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,EigenWorms,1013,0.8320610523223877,0.8320609927177429,0.9088278412818909,1.0,1.0,1.76019938180616e-07
fcn,gmp_mmp2_mmp4_mmp8,Epilepsy,130,0.97826087474823,0.9782608151435852,0.09644726663827896,1.0,1.0,8.701407372413428e-10
fcn,gmp_mmp2_mmp4_mmp8,EthanolConcentration,336,0.2471482902765274,0.24714824557304382,7.860157489776611,1.0,1.0,6.334285717457533e-05
fcn,gmp_mmp2_mmp4_mmp8,ERing,107,0.9296296238899231,0.9296295642852783,0.2938251197338104,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,FaceDetection,1699,0.6640181541442871,0.6640180945396423,4.492681980133057,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,FingerMovements,170,0.5099999904632568,0.5099999308586121,2.5111727714538574,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,HandMovementDirection,169,0.5135135054588318,0.513513445854187,1.3428348302841187,1.0,1.0,2.0116566190608864e-08
fcn,gmp_mmp2_mmp4_mmp8,Handwriting,132,0.4964706003665924,0.49647054076194763,3.1076362133026123,1.0,1.0,5.563099758632006e-09
fcn,gmp_mmp2_mmp4_mmp8,Heartbeat,196,0.707317054271698,0.7073169946670532,1.8367218971252441,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,Libras,131,0.8611111044883728,0.861111044883728,1.1122485399246216,1.0,1.0,2.42392133031899e-07
fcn,gmp_mmp2_mmp4_mmp8,LSST,648,0.5831305980682373,0.5831305384635925,4.598447322845459,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,MotorImagery,632,0.6100000143051147,0.60999995470047,1.3295402526855469,1.0,1.0,1.286431072777816e-09
fcn,gmp_mmp2_mmp4_mmp8,NATOPS,131,0.8500000238418579,0.8499999642372131,0.6436756253242493,1.0,1.0,1.5232297201350775e-08
fcn,gmp_mmp2_mmp4_mmp8,PenDigits,1582,0.9777015447616577,0.9777014851570129,0.4200638234615326,1.0,1.0,1.5907296313510955e-11
fcn,gmp_mmp2_mmp4_mmp8,PEMS-SF,296,0.849711000919342,0.8497109413146973,0.7132362127304077,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,PhonemeSpectra,1108,0.24545183777809143,0.24545179307460785,12.805265426635742,1.0,1.0,3.596056785681867e-11
fcn,gmp_mmp2_mmp4_mmp8,RacketSports,124,0.8552631735801697,0.8552631139755249,0.9975848197937012,1.0,1.0,0.0
fcn,gmp_mmp2_mmp4_mmp8,SelfRegulationSCP1,253,0.8225256204605103,0.8225256204605103,1.4010214805603027,1.0,1.0,8.89621487587533e-10
fcn,gmp_mmp2_mmp4_mmp8,SelfRegulationSCP2,249,0.4611110985279083,0.46111103892326355,2.9066877365112305,1.0,1.0,5.364417354769557e-09
fcn,gmp_mmp2_mmp4_mmp8,StandWalkJump,201,0.3333333432674408,0.333333283662796,3.2641005516052246,1.0,1.0,0.000556181650608778
fcn,gmp_mmp2_mmp4_mmp8,UWaveGestureLibrary,130,0.8999999761581421,0.8999999165534973,0.6864170432090759,1.0,1.0,0.0
