model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,gru128,ArticularyWordRecognition,392,0.8700000047683716,0.8699999451637268,1.0491961240768433,1.0,1.0,8.669766016211611e-10
fcn,gru128,AtrialFibrillation,605,0.2666666805744171,0.26666662096977234,4.835077285766602,0.9333333373069763,0.9333332777023315,0.10650410503149033
fcn,gru128,BasicMotions,208,0.7749999761581421,0.7749999165534973,1.8128468990325928,1.0,1.0,2.9802320611338473e-09
fcn,gru128,Cricket,749,0.9583333134651184,0.9583332538604736,0.2431151270866394,1.0,1.0,9.569848771207035e-07
fcn,gru128,DuckDuckGeese,369,0.25999999046325684,0.25999993085861206,5.922365665435791,1.0,1.0,1.43051135381711e-08
fcn,gru128,EigenWorms,9416,0.4198473393917084,0.4198472499847412,7.861351490020752,1.0,1.0,1.0244547432591844e-08
fcn,gru128,Epilepsy,272,0.8260869383811951,0.8260869383811951,1.1481846570968628,1.0,1.0,1.2634430959224119e-06
fcn,gru128,EthanolConcentration,1690,0.258555144071579,0.2585550844669342,1.729385495185852,0.3256705105304718,0.325670450925827,1.5559576749801636
fcn,gru128,ERing,190,0.8111110925674438,0.8111110329627991,1.531248927116394,1.0,1.0,1.311301929263209e-07
fcn,gru128,FaceDetection,4622,0.5629965662956238,0.562996506690979,7.004526615142822,1.0,1.0,2.2263180188275555e-10
fcn,gru128,FingerMovements,331,0.47999998927116394,0.47999992966651917,5.008796215057373,1.0,1.0,0.0
fcn,gru128,HandMovementDirection,379,0.2567567527294159,0.2567566931247711,7.851227760314941,1.0,1.0,2.086162353975851e-08
fcn,gru128,Handwriting,231,0.4647058844566345,0.46470582485198975,4.6141557693481445,1.0,1.0,5.617907845589798e-06
fcn,gru128,Heartbeat,465,0.6048780679702759,0.6048780083656311,5.32930326461792,1.0,1.0,5.843592276733034e-10
fcn,gru128,Libras,227,0.8166666626930237,0.8166666030883789,1.4277688264846802,1.0,1.0,8.79951949173119e-06
fcn,gru128,LSST,1831,0.6070559620857239,0.6070559024810791,4.807442665100098,1.0,1.0,0.0
fcn,gru128,MotorImagery,3019,0.5199999809265137,0.5199999213218689,7.034614086151123,1.0,1.0,2.144051824970461e-09
fcn,gru128,NATOPS,236,0.8388888835906982,0.8388888239860535,1.4033833742141724,1.0,1.0,6.622737469541562e-09
fcn,gru128,PenDigits,5038,0.987707257270813,0.9877071976661682,0.11535414308309555,1.0,1.0,0.0
fcn,gru128,PEMS-SF,439,0.8959537744522095,0.8959537148475647,1.1030219793319702,1.0,1.0,1.6858938352015684e-06
fcn,gru128,PhonemeSpectra,3837,0.2195049226284027,0.21950486302375793,8.78339958190918,1.0,1.0,2.2543638067418215e-07
fcn,gru128,RacketSports,216,0.8552631735801697,0.8552631139755249,1.3617852926254272,1.0,1.0,4.184166968457248e-08
fcn,gru128,SelfRegulationSCP1,978,0.5904436707496643,0.5904436111450195,4.482748031616211,1.0,1.0,8.89621487587533e-10
fcn,gru128,SelfRegulationSCP2,942,0.5388888716697693,0.5388888120651245,6.56921911239624,1.0,1.0,5.9604643443123e-10
fcn,gru128,StandWalkJump,1294,0.2666666805744171,0.26666662096977234,8.860817909240723,1.0,1.0,0.00014798690972384065
fcn,gru128,UWaveGestureLibrary,297,0.675000011920929,0.6749999523162842,2.3366262912750244,1.0,1.0,5.971368864265969e-06
