model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,map8,ArticularyWordRecognition,183,0.9833333492279053,0.9833332896232605,0.050213608890771866,1.0,1.0,0.0
fcn,map8,AtrialFibrillation,181,0.20000000298023224,0.19999997317790985,3.684504747390747,1.0,1.0,0.008720854297280312
fcn,map8,BasicMotions,102,1.0,1.0,0.0013202243717387319,1.0,1.0,0.0
fcn,map8,Cricket,240,1.0,1.0,0.012437093071639538,1.0,1.0,5.518947965299503e-09
fcn,map8,DuckDuckGeese,226,0.36000001430511475,0.3599999248981476,2.020432233810425,1.0,1.0,0.0
fcn,map8,EigenWorms,12726,0.8320610523223877,0.8320609927177429,1.0321036577224731,1.0,1.0,7.608896339661442e-07
fcn,map8,Epilepsy,129,0.9710144996643066,0.9710144400596619,0.12370429933071136,1.0,1.0,8.962448561078418e-08
fcn,map8,EthanolConcentration,630,0.2623574137687683,0.26235735416412354,7.435187339782715,1.0,1.0,0.0005999811110086739
fcn,map8,ERing,103,0.9518518447875977,0.9518517851829529,0.201878622174263,1.0,1.0,0.0
fcn,map8,FaceDetection,1942,0.6728149652481079,0.6728149056434631,5.407951354980469,1.0,1.0,0.0
fcn,map8,FingerMovements,166,0.5899999737739563,0.5899999141693115,3.2619338035583496,1.0,1.0,0.0
fcn,map8,HandMovementDirection,167,0.6081081032752991,0.6081080436706543,2.141120195388794,1.0,1.0,1.4901159417490817e-08
fcn,map8,Handwriting,134,0.525882363319397,0.5258823037147522,2.782886266708374,1.0,1.0,5.24520800126993e-08
fcn,map8,Heartbeat,204,0.7317073345184326,0.7317072749137878,1.1308263540267944,1.0,1.0,0.0
fcn,map8,Libras,127,0.8277778029441833,0.8277777433395386,1.7108193635940552,1.0,1.0,2.4504123530277866e-07
fcn,map8,LSST,704,0.5579886436462402,0.5579885840415955,5.162206649780273,1.0,1.0,0.0
fcn,map8,MotorImagery,1491,0.5799999833106995,0.5799999237060547,3.9269278049468994,1.0,1.0,0.0
fcn,map8,NATOPS,127,0.8166666626930237,0.8166666030883789,0.86976158618927,1.0,1.0,0.0
fcn,map8,PenDigits,1740,0.9757003784179688,0.975700318813324,0.533231794834137,1.0,1.0,1.5907296313510955e-11
fcn,map8,PEMS-SF,342,0.8381502628326416,0.8381502032279968,0.8846862316131592,1.0,1.0,0.0
fcn,map8,PhonemeSpectra,1362,0.21861019730567932,0.21861015260219574,10.140854835510254,1.0,1.0,1.201257191496552e-06
fcn,map8,RacketSports,117,0.8552631735801697,0.8552631139755249,1.509341835975647,1.0,1.0,0.0
fcn,map8,SelfRegulationSCP1,346,0.8020477890968323,0.8020477890968323,1.2192091941833496,1.0,1.0,4.2257020993474725e-08
fcn,map8,SelfRegulationSCP2,354,0.4833333194255829,0.4833332598209381,2.130911350250244,1.0,1.0,8.821482424536953e-07
fcn,map8,StandWalkJump,199,0.4000000059604645,0.3999999761581421,2.1279549598693848,1.0,1.0,0.028323857113718987
fcn,map8,UWaveGestureLibrary,139,0.887499988079071,0.8874999284744263,0.7164624929428101,1.0,1.0,8.940696183401542e-09
