model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,mipvH,ArticularyWordRecognition,184,0.8799999952316284,0.8799999356269836,2.1477530002593994,1.0,1.0,1.1231024927838007e-06
fcn,mipvH,AtrialFibrillation,168,0.3333333432674408,0.333333283662796,24.588550567626953,0.8666666746139526,0.8666666150093079,1.2881196737289429
fcn,mipvH,BasicMotions,131,0.699999988079071,0.6999999284744263,1.5449998378753662,1.0,1.0,7.743372407276183e-05
fcn,mipvH,Cricket,162,0.8472222089767456,0.8472221493721008,11.37745475769043,1.0,1.0,2.0274399048503255e-06
fcn,mipvH,DuckDuckGeese,184,0.23999999463558197,0.2399999499320984,18.654102325439453,1.0,1.0,0.00021907399059273303
fcn,mipvH,EigenWorms,363,0.3358778655529022,0.33587780594825745,550.8809204101562,0.984375,0.9843749403953552,0.16923654079437256
fcn,mipvH,Epilepsy,150,0.3478260934352875,0.3478260338306427,5.500248432159424,1.0,1.0,0.0006323294364847243
fcn,mipvH,EthanolConcentration,228,0.31178706884384155,0.3117870092391968,3.584928512573242,0.37164750695228577,0.371647447347641,2.697885274887085
fcn,mipvH,ERing,131,0.8037037253379822,0.8037037253379822,2.1749584674835205,1.0,1.0,1.802365659386851e-05
fcn,mipvH,FaceDetection,1552,0.536889910697937,0.5368898510932922,14.561450004577637,1.0,1.0,2.460269286075345e-07
fcn,mipvH,FingerMovements,184,0.5699999928474426,0.5699999332427979,1.762739658355713,0.9936708807945251,0.9936708211898804,0.06036379933357239
fcn,mipvH,HandMovementDirection,145,0.2702702581882477,0.2702701985836029,6.8457350730896,1.0,1.0,0.0018486829940229654
fcn,mipvH,Handwriting,142,0.3952941298484802,0.39529407024383545,3.8653531074523926,1.0,1.0,0.003782784566283226
fcn,mipvH,Heartbeat,176,0.5902438759803772,0.5902438163757324,4.341075897216797,1.0,1.0,4.451080530998297e-05
fcn,mipvH,Libras,151,0.7444444298744202,0.7444443702697754,1.7368284463882446,1.0,1.0,0.029737351462244987
fcn,mipvH,LSST,660,0.5218977928161621,0.5218977332115173,1.6106958389282227,0.7478649616241455,0.747864842414856,0.7583773136138916
fcn,mipvH,MotorImagery,344,0.47999998927116394,0.47999992966651917,49.871891021728516,1.0,1.0,8.576206966814937e-10
fcn,mipvH,NATOPS,154,0.7777777910232544,0.7777776718139648,0.9253636002540588,1.0,1.0,0.005923745222389698
fcn,mipvH,PenDigits,1716,0.9819896817207336,0.9819896221160889,0.0969611331820488,0.9995996952056885,0.9995996356010437,0.002802883740514517
fcn,mipvH,PEMS-SF,275,0.8901734352111816,0.8901733756065369,0.4790465831756592,1.0,1.0,0.016778765246272087
fcn,mipvH,PhonemeSpectra,865,0.08052490651607513,0.08052485436201096,4.042185306549072,0.13333334028720856,0.13333329558372498,3.4898288249969482
fcn,mipvH,RacketSports,148,0.8552631735801697,0.8552631139755249,0.8429698944091797,1.0,1.0,0.0003216018376406282
fcn,mipvH,SelfRegulationSCP1,203,0.6723549365997314,0.6723548769950867,5.754876613616943,0.996268630027771,0.9962685704231262,0.013160180300474167
fcn,mipvH,SelfRegulationSCP2,185,0.4611110985279083,0.46111103892326355,9.281085014343262,0.9700000286102295,0.9699999690055847,0.15820899605751038
fcn,mipvH,StandWalkJump,142,0.4000000059604645,0.3999999761581421,152.79412841796875,0.8333333134651184,0.8333332538604736,12.152000427246094
fcn,mipvH,UWaveGestureLibrary,140,0.684374988079071,0.6843749284744263,13.250514030456543,1.0,1.0,3.24590910167899e-05
