model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,mipvS,ArticularyWordRecognition,182,0.6733333468437195,0.6733332872390747,4.230278491973877,0.9309090971946716,0.9309090375900269,0.24760031700134277
fcn,mipvS,AtrialFibrillation,148,0.2666666805744171,0.26666662096977234,21.596094131469727,0.7333333492279053,0.7333332896232605,3.0840117931365967
fcn,mipvS,BasicMotions,131,0.2750000059604645,0.2749999463558197,2.1159446239471436,0.5,0.4999999403953552,1.6053590774536133
fcn,mipvS,Cricket,165,0.6111111044883728,0.611111044883728,21.454187393188477,0.8148148059844971,0.8148147463798523,7.562337398529053
fcn,mipvS,DuckDuckGeese,186,0.18000000715255737,0.1799999475479126,16.487714767456055,0.36000001430511475,0.3599999248981476,6.3355278968811035
fcn,mipvS,EigenWorms,374,0.4198473393917084,0.4198472499847412,437.220458984375,0.4296875,0.4296874403953552,428.6025695800781
fcn,mipvS,Epilepsy,151,0.3695652186870575,0.3695651590824127,3.47768497467041,0.46715328097343445,0.4671532213687897,2.491574764251709
fcn,mipvS,EthanolConcentration,228,0.2623574137687683,0.26235735416412354,6.0676798820495605,0.27969348430633545,0.2796934247016907,5.789556503295898
fcn,mipvS,ERing,128,0.6629629731178284,0.6629629135131836,2.382345199584961,0.9666666388511658,0.966666579246521,0.05981654301285744
fcn,mipvS,FaceDetection,1571,0.5070942044258118,0.507094144821167,0.7003217339515686,0.5487266778945923,0.5487266182899475,0.6861098408699036
fcn,mipvS,FingerMovements,181,0.550000011920929,0.5499999523162842,0.7417834997177124,0.5822784900665283,0.5822784304618835,0.6861965656280518
fcn,mipvS,HandMovementDirection,144,0.3513513505458832,0.3513512909412384,5.119143486022949,0.3125,0.3124999403953552,4.886504650115967
fcn,mipvS,Handwriting,140,0.13058823347091675,0.13058818876743317,5.833817005157471,0.30000001192092896,0.2999999523162842,3.0771334171295166
fcn,mipvS,Heartbeat,174,0.6536585092544556,0.6536584496498108,2.7772250175476074,0.6715686321258545,0.6715685725212097,2.23856782913208
fcn,mipvS,Libras,150,0.5055555701255798,0.5055555105209351,2.256108045578003,0.6611111164093018,0.661111056804657,0.9616361856460571
fcn,mipvS,LSST,654,0.3669910728931427,0.3669910132884979,1.9967519044876099,0.4038226902484894,0.4038226306438446,1.8146263360977173
fcn,mipvS,MotorImagery,353,0.49000000953674316,0.4899999499320984,38.73060989379883,0.5431654453277588,0.543165385723114,18.227270126342773
fcn,mipvS,NATOPS,149,0.5,0.4999999403953552,1.8623826503753662,0.6722221970558167,0.6722221374511719,0.9995664954185486
fcn,mipvS,PenDigits,1741,0.7961692214012146,0.7961691617965698,0.6305884122848511,0.8376033902168274,0.8376033306121826,0.5316843390464783
fcn,mipvS,PEMS-SF,268,0.6069363951683044,0.6069363355636597,1.0256537199020386,0.5917602777481079,0.5917602181434631,0.9805296659469604
fcn,mipvS,PhonemeSpectra,911,0.056367430835962296,0.056367382407188416,4.375626564025879,0.08567119389772415,0.08565822243690491,3.8659698963165283
fcn,mipvS,RacketSports,146,0.6710526347160339,0.6710525751113892,0.8282358050346375,0.7814569473266602,0.7814568877220154,0.5617559552192688
fcn,mipvS,SelfRegulationSCP1,201,0.7167235612869263,0.7167235016822815,3.4882490634918213,0.6716417670249939,0.6716417074203491,4.588107109069824
fcn,mipvS,SelfRegulationSCP2,186,0.44999998807907104,0.44999992847442627,8.049812316894531,0.550000011920929,0.5499999523162842,6.0264081954956055
fcn,mipvS,StandWalkJump,145,0.4000000059604645,0.3999999761581421,51.606685638427734,0.5833333134651184,0.5833332538604736,16.9191837310791
fcn,mipvS,UWaveGestureLibrary,142,0.49687498807907104,0.49687492847442627,10.623659133911133,0.6000000238418579,0.5999999642372131,4.8294358253479
