model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,mpvS,ArticularyWordRecognition,162,0.9733333587646484,0.9733332991600037,0.11252325773239136,1.0,1.0,7.595310307806358e-05
fcn,mpvS,AtrialFibrillation,175,0.4000000059604645,0.3999999761581421,9.298460006713867,0.800000011920929,0.800000011920929,0.6146149039268494
fcn,mpvS,BasicMotions,102,1.0,1.0,0.007369266357272863,1.0,1.0,1.0949195711873472e-05
fcn,mpvS,Cricket,175,1.0,1.0,0.009785718284547329,1.0,1.0,3.86326348689181e-08
fcn,mpvS,DuckDuckGeese,190,0.3799999952316284,0.37999993562698364,2.908510684967041,1.0,1.0,1.3470619251165772e-06
fcn,mpvS,EigenWorms,933,0.8778625726699829,0.8778625130653381,0.8123524785041809,1.0,1.0,6.873154916320345e-07
fcn,mpvS,Epilepsy,127,0.97826087474823,0.9782608151435852,0.07063635438680649,1.0,1.0,2.1881487555219792e-05
fcn,mpvS,EthanolConcentration,310,0.23574145138263702,0.23574140667915344,1.7573341131210327,0.6245210766792297,0.624521017074585,0.9227561950683594
fcn,mpvS,ERing,100,0.7851851582527161,0.7851850986480713,1.1204760074615479,1.0,1.0,0.00010301829752279446
fcn,mpvS,FaceDetection,1682,0.5215663909912109,0.5215663313865662,4.758026599884033,1.0,1.0,4.891026492259698e-06
fcn,mpvS,FingerMovements,158,0.4699999988079071,0.46999993920326233,3.860595464706421,1.0,1.0,4.8819638323038816e-05
fcn,mpvS,HandMovementDirection,141,0.28378379344940186,0.2837837338447571,4.3524088859558105,1.0,1.0,0.0004961998201906681
fcn,mpvS,Handwriting,121,0.4847058951854706,0.4847058355808258,2.6449432373046875,1.0,1.0,0.027461281046271324
fcn,mpvS,Heartbeat,178,0.6926829218864441,0.6926828622817993,1.9603508710861206,1.0,1.0,7.1670424404146615e-06
fcn,mpvS,Libras,125,0.8222222328186035,0.8222221732139587,0.829767107963562,1.0,1.0,0.007835015654563904
fcn,mpvS,LSST,649,0.6058394312858582,0.6058393716812134,1.6677675247192383,0.9544530510902405,0.9544529914855957,0.17765408754348755
fcn,mpvS,MotorImagery,595,0.5799999833106995,0.5799999237060547,4.569233417510986,1.0,1.0,5.742585472034989e-06
fcn,mpvS,NATOPS,127,0.8833333253860474,0.8833332657814026,0.7858063578605652,1.0,1.0,0.00047094267210923135
fcn,mpvS,PenDigits,1571,0.9871355295181274,0.9871354699134827,0.08978510648012161,1.0,1.0,9.139122994383797e-06
fcn,mpvS,PEMS-SF,282,0.8034682273864746,0.8034682273864746,1.15679931640625,1.0,1.0,2.2270146473601926e-06
fcn,mpvS,PhonemeSpectra,1067,0.27318820357322693,0.27318814396858215,2.7508153915405273,0.5990950465202332,0.5990949869155884,1.343009114265442
fcn,mpvS,RacketSports,118,0.8421052694320679,0.8421052694320679,0.8302025198936462,1.0,1.0,0.0016667312011122704
fcn,mpvS,SelfRegulationSCP1,235,0.76450514793396,0.7645050883293152,1.3730742931365967,1.0,1.0,0.0031222745310515165
fcn,mpvS,SelfRegulationSCP2,217,0.46666666865348816,0.4666666090488434,2.2068490982055664,1.0,1.0,0.00442980183288455
fcn,mpvS,StandWalkJump,165,0.20000000298023224,0.19999997317790985,6.222931861877441,0.5,0.4999999403953552,3.1063878536224365
fcn,mpvS,UWaveGestureLibrary,122,0.7437499761581421,0.7437499165534973,1.6198383569717407,1.0,1.0,0.0001736048434395343
