model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,ppvH,ArticularyWordRecognition,191,0.9366666674613953,0.9366666078567505,0.24231913685798645,1.0,1.0,0.03090977668762207
fcn,ppvH,AtrialFibrillation,138,0.3333333432674408,0.333333283662796,1.9547597169876099,0.7333333492279053,0.7333332896232605,0.5533170104026794
fcn,ppvH,BasicMotions,105,1.0,1.0,0.20541134476661682,1.0,1.0,0.18990838527679443
fcn,ppvH,Cricket,217,0.9583333134651184,0.9583332538604736,0.17489555478096008,1.0,1.0,0.015862561762332916
fcn,ppvH,DuckDuckGeese,219,0.3799999952316284,0.37999993562698364,1.6443679332733154,0.5,0.4999999403953552,1.2750368118286133
fcn,ppvH,EigenWorms,1707,0.7938931584358215,0.7938930988311768,0.694153368473053,0.890625,0.8906249403953552,0.47830674052238464
fcn,ppvH,Epilepsy,143,0.9202898740768433,0.9202897548675537,0.3791402578353882,0.985401451587677,0.9854013919830322,0.24347145855426788
fcn,ppvH,EthanolConcentration,443,0.2319391667842865,0.23193912208080292,1.452994704246521,0.4291187822818756,0.42911872267723083,1.2642459869384766
fcn,ppvH,ERing,102,0.8148148059844971,0.8148147463798523,0.6079920530319214,1.0,1.0,0.2421683818101883
fcn,ppvH,FaceDetection,1943,0.5096481442451477,0.5096480846405029,0.7076243758201599,0.5684210658073425,0.5684210062026978,0.6779569387435913
fcn,ppvH,FingerMovements,165,0.49000000953674316,0.4899999499320984,0.7444738149642944,0.7151898741722107,0.7151898145675659,0.5705555081367493
fcn,ppvH,HandMovementDirection,152,0.37837839126586914,0.37837833166122437,1.3563060760498047,0.53125,0.5312499403953552,1.246148943901062
fcn,ppvH,Handwriting,132,0.2611764669418335,0.2611764073371887,2.943939208984375,0.7599999904632568,0.7599999308586121,1.3607701063156128
fcn,ppvH,Heartbeat,200,0.7219512462615967,0.7219511866569519,0.5267361402511597,0.720588207244873,0.7205881476402283,0.5080024003982544
fcn,ppvH,Libras,133,0.8833333253860474,0.8833332657814026,0.5224717855453491,1.0,1.0,0.10751334577798843
fcn,ppvH,LSST,712,0.510948896408081,0.5109488368034363,1.4717800617218018,0.5811305642127991,0.5811305046081543,1.1928571462631226
fcn,ppvH,MotorImagery,892,0.5699999928474426,0.5699999332427979,0.7017144560813904,0.633093535900116,0.6330934762954712,0.6562444567680359
fcn,ppvH,NATOPS,129,0.8055555820465088,0.8055555820465088,0.4955366849899292,0.9833333492279053,0.9833332896232605,0.21015743911266327
fcn,ppvH,PenDigits,1800,0.9611206650733948,0.9611205458641052,0.14858397841453552,0.9915933012962341,0.9915932416915894,0.03351238742470741
fcn,ppvH,PEMS-SF,353,0.6531791687011719,0.6531791090965271,0.8853622078895569,0.9026217460632324,0.9026216864585876,0.5076668858528137
fcn,ppvH,PhonemeSpectra,1427,0.2039964199066162,0.20399637520313263,2.8038134574890137,0.33182504773139954,0.33182498812675476,2.399484395980835
fcn,ppvH,RacketSports,121,0.8421052694320679,0.8421052694320679,0.4298969507217407,0.9470198750495911,0.9470198154449463,0.34718626737594604
fcn,ppvH,SelfRegulationSCP1,298,0.7167235612869263,0.7167235016822815,0.5793164968490601,0.753731369972229,0.753731369972229,0.4925939738750458
fcn,ppvH,SelfRegulationSCP2,282,0.5055555701255798,0.5055555105209351,0.693457305431366,0.6200000047683716,0.6199999451637268,0.677521824836731
fcn,ppvH,StandWalkJump,153,0.46666666865348816,0.4666666090488434,1.1124855279922485,0.8333333134651184,0.8333332538604736,0.4597291946411133
fcn,ppvH,UWaveGestureLibrary,140,0.5843750238418579,0.5843749642372131,1.3969146013259888,0.9833333492279053,0.9833332896232605,0.30677568912506104
