model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,ppvHste,ArticularyWordRecognition,161,0.9900000095367432,0.9899999499320984,0.04577735811471939,1.0,1.0,3.970072066294961e-05
fcn,ppvHste,AtrialFibrillation,121,0.46666666865348816,0.4666666090488434,1.0970065593719482,0.3333333432674408,0.333333283662796,1.073282241821289
fcn,ppvHste,BasicMotions,101,1.0,1.0,0.006090300157666206,1.0,1.0,2.919938924605958e-05
fcn,ppvHste,Cricket,171,0.9861111044883728,0.986111044883728,0.02593281865119934,1.0,1.0,6.40743155599921e-06
fcn,ppvHste,DuckDuckGeese,186,0.5600000023841858,0.559999942779541,1.4446709156036377,1.0,1.0,3.472588650765829e-05
fcn,ppvHste,EigenWorms,914,0.885496199131012,0.8854961395263672,0.265174925327301,1.0,1.0,0.0004103092651348561
fcn,ppvHste,Epilepsy,125,1.0,1.0,0.0033503719605505466,1.0,1.0,6.334580575639848e-06
fcn,ppvHste,EthanolConcentration,302,0.2889733910560608,0.288973331451416,2.0198419094085693,0.9578543901443481,0.9578543305397034,0.3713361918926239
fcn,ppvHste,ERing,98,0.8629629611968994,0.8629629015922546,0.37600281834602356,1.0,1.0,0.00013995762856211513
fcn,ppvHste,FaceDetection,1653,0.524971604347229,0.5249715447425842,2.57763671875,1.0,1.0,0.00014071891200728714
fcn,ppvHste,FingerMovements,153,0.5099999904632568,0.5099999308586121,3.1504735946655273,1.0,1.0,1.0483574897079961e-06
fcn,ppvHste,HandMovementDirection,136,0.37837839126586914,0.37837833166122437,2.0405328273773193,1.0,1.0,4.573898422677303e-06
fcn,ppvHste,Handwriting,114,0.4658823609352112,0.4658823013305664,2.1266860961914062,1.0,1.0,0.0007697553955949843
fcn,ppvHste,Heartbeat,174,0.7365853786468506,0.7365853190422058,1.2102758884429932,1.0,1.0,5.675226930179633e-06
fcn,ppvHste,Libras,120,0.9277777671813965,0.9277777075767517,0.4093303382396698,1.0,1.0,0.00010461514466442168
fcn,ppvHste,LSST,614,0.6050283908843994,0.6050283312797546,2.838240385055542,1.0,1.0,1.391646605952701e-06
fcn,ppvHste,MotorImagery,576,0.5699999928474426,0.5699999332427979,1.6574740409851074,1.0,1.0,2.8498394385678694e-05
fcn,ppvHste,NATOPS,123,0.9055555462837219,0.9055554866790771,0.413768470287323,1.0,1.0,6.235283217392862e-05
fcn,ppvHste,PenDigits,1553,0.987707257270813,0.9877071976661682,0.09462486952543259,1.0,1.0,9.544377788106573e-11
fcn,ppvHste,PEMS-SF,281,0.8150289058685303,0.8150288462638855,0.8782381415367126,1.0,1.0,4.161162792115647e-07
fcn,ppvHste,PhonemeSpectra,1069,0.24634654819965363,0.24634650349617004,3.7980430126190186,0.9990950226783752,0.9990949630737305,0.016803480684757233
fcn,ppvHste,RacketSports,113,0.8486841917037964,0.8486841320991516,0.5852503180503845,1.0,1.0,0.0004958411445841193
fcn,ppvHste,SelfRegulationSCP1,226,0.7372013926506042,0.7372013330459595,0.7510663866996765,1.0,1.0,0.0034547876566648483
fcn,ppvHste,SelfRegulationSCP2,209,0.5166666507720947,0.51666659116745,1.452782154083252,1.0,1.0,0.0003832139482256025
fcn,ppvHste,StandWalkJump,118,0.2666666805744171,0.26666662096977234,1.6733314990997314,0.1666666716337204,0.16666662693023682,1.6225639581680298
fcn,ppvHste,UWaveGestureLibrary,120,0.875,0.8749999403953552,0.5159178972244263,1.0,1.0,2.3029899239190854e-05
