model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
fcn,ppvHste_mpvH_mipvH,ArticularyWordRecognition,173,0.9333333373069763,0.9333332777023315,1.1022692918777466,1.0,1.0,3.0819947482996213e-07
fcn,ppvHste_mpvH_mipvH,AtrialFibrillation,166,0.4000000059604645,0.3999999761581421,22.83622932434082,1.0,1.0,0.03713948279619217
fcn,ppvHste_mpvH_mipvH,BasicMotions,103,1.0,1.0,0.006829492747783661,1.0,1.0,5.960459503739912e-08
fcn,ppvHste_mpvH_mipvH,Cricket,195,0.9166666865348816,0.9166666269302368,5.357741355895996,1.0,1.0,0.0
fcn,ppvHste_mpvH_mipvH,DuckDuckGeese,215,0.46000000834465027,0.4599999487400055,10.390284538269043,1.0,1.0,0.0
fcn,ppvHste_mpvH_mipvH,EigenWorms,1388,0.7480915784835815,0.7480915188789368,35.39460372924805,0.96875,0.9687499403953552,1.5066413879394531
fcn,ppvHste_mpvH_mipvH,Epilepsy,130,0.9927536249160767,0.9927535653114319,0.039045676589012146,1.0,1.0,0.0013289522612467408
fcn,ppvHste_mpvH_mipvH,EthanolConcentration,390,0.30038022994995117,0.3003801703453064,22.471294403076172,0.25287356972694397,0.2528735101222992,21.89711570739746
fcn,ppvHste_mpvH_mipvH,ERing,102,0.8037037253379822,0.8037037253379822,1.7347073554992676,1.0,1.0,5.086253054287226e-07
fcn,ppvHste_mpvH_mipvH,FaceDetection,1942,0.5215663909912109,0.5215663313865662,13.143078804016113,1.0,1.0,0.0
fcn,ppvHste_mpvH_mipvH,FingerMovements,162,0.5400000214576721,0.5399999618530273,5.888677597045898,1.0,1.0,1.4712526308358065e-08
fcn,ppvHste_mpvH_mipvH,HandMovementDirection,140,0.37837839126586914,0.37837833166122437,5.810229778289795,1.0,1.0,1.7793097867979668e-05
fcn,ppvHste_mpvH_mipvH,Handwriting,117,0.36941176652908325,0.3694117069244385,8.745509147644043,0.95333331823349,0.9533332586288452,0.13615871965885162
fcn,ppvHste_mpvH_mipvH,Heartbeat,188,0.712195098400116,0.7121950387954712,4.518653392791748,1.0,1.0,0.0
fcn,ppvHste_mpvH_mipvH,Libras,122,0.8277778029441833,0.8277777433395386,1.338631510734558,1.0,1.0,0.001084478572010994
fcn,ppvHste_mpvH_mipvH,LSST,716,0.6009732484817505,0.6009731888771057,7.530372619628906,1.0,1.0,9.695753228067261e-11
fcn,ppvHste_mpvH_mipvH,MotorImagery,789,0.5400000214576721,0.5399999618530273,47.348262786865234,1.0,1.0,7.718578665105724e-09
fcn,ppvHste_mpvH_mipvH,NATOPS,123,0.8888888955116272,0.8888888359069824,1.4069572687149048,1.0,1.0,3.3138514936581487e-06
fcn,ppvHste_mpvH_mipvH,PenDigits,1802,0.985706090927124,0.9857060313224792,0.17840711772441864,1.0,1.0,1.686090911334759e-08
fcn,ppvHste_mpvH_mipvH,PEMS-SF,331,0.7919074892997742,0.7919074296951294,1.8697260618209839,1.0,1.0,4.1968750252863174e-08
fcn,ppvHste_mpvH_mipvH,PhonemeSpectra,1324,0.2651357054710388,0.26513564586639404,17.790971755981445,0.9957767724990845,0.9957767128944397,0.013830247335135937
fcn,ppvHste_mpvH_mipvH,RacketSports,111,0.8486841917037964,0.8486841320991516,1.320885419845581,1.0,1.0,5.404944749898277e-05
fcn,ppvHste_mpvH_mipvH,SelfRegulationSCP1,267,0.7918089032173157,0.7918088436126709,2.4293384552001953,1.0,1.0,1.9571440645904659e-07
fcn,ppvHste_mpvH_mipvH,SelfRegulationSCP2,254,0.47777777910232544,0.47777771949768066,5.942789077758789,1.0,1.0,9.884285645966884e-06
fcn,ppvHste_mpvH_mipvH,StandWalkJump,126,0.3333333432674408,0.333333283662796,106.07658386230469,0.9166666865348816,0.9166666269302368,3.6337993144989014
fcn,ppvHste_mpvH_mipvH,UWaveGestureLibrary,126,0.7749999761581421,0.7749999165534973,4.0747809410095215,1.0,1.0,5.7489185564918444e-05
