model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap,ArticularyWordRecognition,314,0.9866666793823242,0.9866666197776794,0.04496119171380997,1.0,1.0,6.289356861088891e-06
inception,gap,AtrialFibrillation,466,0.2666666805744171,0.26666662096977234,1.8808196783065796,0.9333333373069763,0.9333332777023315,0.15660221874713898
inception,gap,BasicMotions,173,1.0,1.0,0.007691906299442053,1.0,1.0,3.963707513321424e-07
inception,gap,Cricket,469,1.0,1.0,0.006912196055054665,1.0,1.0,1.3245475827261544e-08
inception,gap,DuckDuckGeese,270,0.4399999976158142,0.43999993801116943,2.482818126678467,1.0,1.0,2.3603435295171948e-07
inception,gap,EigenWorms,4030,0.9389312863349915,0.9389312267303467,0.38089054822921753,1.0,1.0,1.6614751530141803e-06
inception,gap,Epilepsy,233,0.9855072498321533,0.9855071902275085,0.05991421639919281,1.0,1.0,4.5247261937220173e-07
inception,gap,EthanolConcentration,1055,0.23954372107982635,0.23954367637634277,5.034302711486816,1.0,1.0,1.993485784623772e-05
inception,gap,ERing,162,0.9296296238899231,0.9296295642852783,0.26079872250556946,1.0,1.0,2.1060303367903543e-07
inception,gap,FaceDetection,4608,0.6739500761032104,0.6739500164985657,4.9249796867370605,1.0,1.0,0.0
inception,gap,FingerMovements,303,0.5199999809265137,0.5199999213218689,3.7806196212768555,1.0,1.0,1.5467024994109124e-08
inception,gap,HandMovementDirection,290,0.3243243098258972,0.32432425022125244,3.5386645793914795,1.0,1.0,3.9860583456174936e-07
inception,gap,Handwriting,214,0.6705882549285889,0.6705881953239441,1.7982548475265503,1.0,1.0,1.3828275768901221e-07
inception,gap,Heartbeat,411,0.712195098400116,0.7121950387954712,2.3483760356903076,1.0,1.0,1.7530776830199102e-09
inception,gap,Libras,204,0.8444444537162781,0.8444443941116333,1.217353343963623,1.0,1.0,4.553737198875751e-06
inception,gap,LSST,1702,0.5981346368789673,0.5981345772743225,5.702322959899902,1.0,1.0,0.0
inception,gap,MotorImagery,1984,0.5799999833106995,0.5799999237060547,2.117354154586792,1.0,1.0,6.077432317397324e-06
inception,gap,NATOPS,223,0.9055555462837219,0.9055554866790771,0.5394217371940613,1.0,1.0,3.2146274406841258e-06
inception,gap,PenDigits,3591,0.9828473329544067,0.982847273349762,0.1476229429244995,1.0,1.0,0.0
inception,gap,PEMS-SF,419,0.8728323578834534,0.8728322982788086,0.8904067873954773,1.0,1.0,1.2501347512738903e-08
inception,gap,PhonemeSpectra,3010,0.28452131152153015,0.2845212519168854,6.805644989013672,1.0,1.0,1.225841288032825e-06
inception,gap,RacketSports,206,0.875,0.8749999403953552,1.3085746765136719,1.0,1.0,0.0
inception,gap,SelfRegulationSCP1,692,0.7747440338134766,0.7747439742088318,1.1632463932037354,1.0,1.0,5.5601340420707857e-08
inception,gap,SelfRegulationSCP2,635,0.49444442987442017,0.4944443702697754,2.642383575439453,1.0,1.0,2.2148926746012876e-06
inception,gap,StandWalkJump,526,0.20000000298023224,0.19999997317790985,1.9085915088653564,0.4166666567325592,0.41666659712791443,1.2150810956954956
inception,gap,UWaveGestureLibrary,264,0.903124988079071,0.9031249284744263,0.6452971696853638,1.0,1.0,1.7484026670899766e-07
