model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap_gmp,ArticularyWordRecognition,279,0.9833333492279053,0.9833332896232605,0.05986272916197777,1.0,1.0,3.875380798490369e-07
inception,gap_gmp,AtrialFibrillation,410,0.20000000298023224,0.19999997317790985,5.1457719802856445,1.0,1.0,3.7842586607439443e-05
inception,gap_gmp,BasicMotions,224,0.9750000238418579,0.9749999642372131,0.13503336906433105,1.0,1.0,0.0
inception,gap_gmp,Cricket,326,0.9861111044883728,0.986111044883728,0.035321399569511414,1.0,1.0,0.0
inception,gap_gmp,DuckDuckGeese,282,0.46000000834465027,0.4599999487400055,1.8613146543502808,1.0,1.0,0.0
inception,gap_gmp,EigenWorms,1922,0.8625954389572144,0.8625953793525696,0.5990610718727112,1.0,1.0,0.0
inception,gap_gmp,Epilepsy,247,0.9637681245803833,0.9637680649757385,0.1849365085363388,1.0,1.0,0.0
inception,gap_gmp,EthanolConcentration,563,0.21292775869369507,0.21292772889137268,7.749354362487793,1.0,1.0,8.471542059851345e-06
inception,gap_gmp,ERing,219,0.914814829826355,0.9148147702217102,0.251635879278183,1.0,1.0,0.0
inception,gap_gmp,FaceDetection,3506,0.6611804962158203,0.6611804366111755,5.244390487670898,1.0,1.0,0.0
inception,gap_gmp,FingerMovements,299,0.49000000953674316,0.4899999499320984,3.213284492492676,1.0,1.0,0.0
inception,gap_gmp,HandMovementDirection,278,0.29729729890823364,0.29729723930358887,1.980368971824646,1.0,1.0,0.0
inception,gap_gmp,Handwriting,269,0.5129411816596985,0.5129411220550537,2.225735902786255,1.0,1.0,0.0
inception,gap_gmp,Heartbeat,323,0.7365853786468506,0.7365853190422058,1.8340237140655518,1.0,1.0,0.0
inception,gap_gmp,Libras,255,0.8222222328186035,0.8222221732139587,1.3118704557418823,1.0,1.0,1.2358008234514273e-06
inception,gap_gmp,LSST,1372,0.6001622080802917,0.600162148475647,4.106119632720947,1.0,1.0,0.0
inception,gap_gmp,MotorImagery,942,0.5600000023841858,0.559999942779541,1.883682370185852,1.0,1.0,1.1149069223392871e-08
inception,gap_gmp,NATOPS,255,0.8888888955116272,0.8888888359069824,0.7322190403938293,1.0,1.0,5.033280103816651e-08
inception,gap_gmp,PenDigits,3565,0.9905660152435303,0.9905659556388855,0.09752576053142548,1.0,1.0,0.0
inception,gap_gmp,PEMS-SF,405,0.8092485666275024,0.8092485070228577,0.9377300143241882,1.0,1.0,0.0
inception,gap_gmp,PhonemeSpectra,2266,0.2749776244163513,0.27497756481170654,7.7388153076171875,1.0,1.0,2.876844318322469e-10
inception,gap_gmp,RacketSports,255,0.8947368264198303,0.8947367668151855,1.045871615409851,1.0,1.0,0.0
inception,gap_gmp,SelfRegulationSCP1,415,0.7679181098937988,0.7679179906845093,1.7747517824172974,1.0,1.0,0.0
inception,gap_gmp,SelfRegulationSCP2,390,0.46666666865348816,0.4666666090488434,3.2511065006256104,1.0,1.0,5.9604643443123e-10
inception,gap_gmp,StandWalkJump,463,0.4000000059604645,0.3999999761581421,4.262765407562256,0.75,0.7499999403953552,0.547736644744873
inception,gap_gmp,UWaveGestureLibrary,228,0.8843749761581421,0.8843749165534973,0.7088666558265686,1.0,1.0,0.0
