model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap_map2_map4_map8,ArticularyWordRecognition,354,0.9866666793823242,0.9866666197776794,0.03778236731886864,1.0,1.0,0.0
inception,gap_map2_map4_map8,AtrialFibrillation,407,0.2666666805744171,0.26666662096977234,4.537275314331055,1.0,1.0,0.00019985831750091165
inception,gap_map2_map4_map8,BasicMotions,185,1.0,1.0,0.016791770234704018,1.0,1.0,0.0
inception,gap_map2_map4_map8,Cricket,567,0.9861111044883728,0.986111044883728,0.016555406153202057,1.0,1.0,0.0
inception,gap_map2_map4_map8,DuckDuckGeese,298,0.2199999988079071,0.21999995410442352,2.957237482070923,1.0,1.0,0.0
inception,gap_map2_map4_map8,EigenWorms,30426,0.8931297659873962,0.8931297063827515,0.7491118311882019,1.0,1.0,1.5366812533557095e-07
inception,gap_map2_map4_map8,Epilepsy,243,0.9855072498321533,0.9855071902275085,0.08112458884716034,1.0,1.0,6.090984605577887e-09
inception,gap_map2_map4_map8,EthanolConcentration,1635,0.20912547409534454,0.20912542939186096,7.319766998291016,1.0,1.0,1.1390064173610881e-05
inception,gap_map2_map4_map8,ERing,181,0.9370370507240295,0.93703693151474,0.28618350625038147,1.0,1.0,0.0
inception,gap_map2_map4_map8,FaceDetection,4713,0.6501135230064392,0.6501134634017944,5.616183757781982,1.0,1.0,0.0
inception,gap_map2_map4_map8,FingerMovements,329,0.5299999713897705,0.5299999117851257,3.320969820022583,1.0,1.0,0.0
inception,gap_map2_map4_map8,HandMovementDirection,354,0.6486486196517944,0.6486485600471497,1.7231677770614624,1.0,1.0,0.0
inception,gap_map2_map4_map8,Handwriting,249,0.5870588421821594,0.5870587825775146,2.539090394973755,1.0,1.0,0.0
inception,gap_map2_map4_map8,Heartbeat,457,0.70243901014328,0.7024389505386353,1.4763355255126953,1.0,1.0,0.0
inception,gap_map2_map4_map8,Libras,238,0.7944444417953491,0.7944443821907043,2.988659381866455,1.0,1.0,5.430644733905865e-08
inception,gap_map2_map4_map8,LSST,1760,0.5855636596679688,0.585563600063324,5.612899303436279,1.0,1.0,0.0
inception,gap_map2_map4_map8,MotorImagery,3638,0.5400000214576721,0.5399999618530273,4.199803352355957,1.0,1.0,0.0
inception,gap_map2_map4_map8,NATOPS,232,0.855555534362793,0.8555554747581482,0.8722853660583496,1.0,1.0,4.834597433500676e-08
inception,gap_map2_map4_map8,PenDigits,3642,0.9779874086380005,0.9779873490333557,0.40702033042907715,1.0,1.0,1.5907296313510955e-11
inception,gap_map2_map4_map8,PEMS-SF,455,0.8381502628326416,0.8381502032279968,1.208331823348999,1.0,1.0,0.0
inception,gap_map2_map4_map8,PhonemeSpectra,3146,0.24306590855121613,0.24306586384773254,10.007185935974121,1.0,1.0,3.1813485747989034e-06
inception,gap_map2_map4_map8,RacketSports,202,0.8552631735801697,0.8552631139755249,1.5129470825195312,1.0,1.0,1.5789308749347697e-09
inception,gap_map2_map4_map8,SelfRegulationSCP1,872,0.8361774682998657,0.836177408695221,1.0017023086547852,1.0,1.0,0.0
inception,gap_map2_map4_map8,SelfRegulationSCP2,872,0.5444444417953491,0.5444443821907043,2.0174152851104736,1.0,1.0,0.0
inception,gap_map2_map4_map8,StandWalkJump,485,0.2666666805744171,0.26666662096977234,2.7381937503814697,1.0,1.0,0.0412081815302372
inception,gap_map2_map4_map8,UWaveGestureLibrary,283,0.90625,0.9062499403953552,0.7696673274040222,1.0,1.0,0.0
