model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap_mpvH,ArticularyWordRecognition,357,0.9866666793823242,0.9866666197776794,0.050899818539619446,1.0,1.0,3.1427557587448973e-06
inception,gap_mpvH,AtrialFibrillation,488,0.20000000298023224,0.19999997317790985,2.740089178085327,1.0,1.0,0.06631545722484589
inception,gap_mpvH,BasicMotions,183,0.949999988079071,0.9499999284744263,0.1633455455303192,1.0,1.0,2.384185648907078e-08
inception,gap_mpvH,Cricket,559,0.9861111044883728,0.986111044883728,0.05669589340686798,1.0,1.0,6.622737913630772e-09
inception,gap_mpvH,DuckDuckGeese,304,0.46000000834465027,0.4599999487400055,2.212578535079956,1.0,1.0,1.049041600253986e-07
inception,gap_mpvH,EigenWorms,6004,0.9389312863349915,0.9389312267303467,0.38839173316955566,1.0,1.0,2.199767322963453e-06
inception,gap_mpvH,Epilepsy,250,0.9710144996643066,0.9710144400596619,0.11362456530332565,1.0,1.0,6.787096396010384e-08
inception,gap_mpvH,EthanolConcentration,1367,0.33840304613113403,0.33840298652648926,4.984243392944336,1.0,1.0,1.0118926184077282e-05
inception,gap_mpvH,ERing,170,0.9037036895751953,0.9037036299705505,0.4768933951854706,1.0,1.0,7.947285496356926e-09
inception,gap_mpvH,FaceDetection,5254,0.6586265563964844,0.6586264967918396,5.273262977600098,1.0,1.0,0.0
inception,gap_mpvH,FingerMovements,334,0.5400000214576721,0.5399999618530273,3.534071922302246,1.0,1.0,5.6586686447701595e-09
inception,gap_mpvH,HandMovementDirection,338,0.3243243098258972,0.32432425022125244,3.4467990398406982,1.0,1.0,2.086162353975851e-08
inception,gap_mpvH,Handwriting,238,0.677647054195404,0.6776469945907593,1.8509787321090698,1.0,1.0,0.0
inception,gap_mpvH,Heartbeat,472,0.7170731425285339,0.7170730829238892,1.994693636894226,1.0,1.0,1.1687184553466068e-09
inception,gap_mpvH,Libras,227,0.8444444537162781,0.8444443941116333,1.1742600202560425,1.0,1.0,2.0570112155837705e-06
inception,gap_mpvH,LSST,1948,0.6038118600845337,0.6038118004798889,5.2327141761779785,1.0,1.0,9.695753228067261e-11
inception,gap_mpvH,MotorImagery,2648,0.5199999809265137,0.5199999213218689,3.227030038833618,1.0,1.0,1.1161914699187037e-06
inception,gap_mpvH,NATOPS,236,0.8833333253860474,0.8833332657814026,0.7351630330085754,1.0,1.0,2.1881417069380404e-06
inception,gap_mpvH,PenDigits,4141,0.9905660152435303,0.9905659556388855,0.10496961325407028,1.0,1.0,0.0
inception,gap_mpvH,PEMS-SF,486,0.8612716794013977,0.8612716197967529,1.0662449598312378,1.0,1.0,0.0
inception,gap_mpvH,PhonemeSpectra,3604,0.29257380962371826,0.2925737500190735,6.5939621925354,1.0,1.0,3.206931069144048e-06
inception,gap_mpvH,RacketSports,217,0.8815789222717285,0.8815788626670837,1.2531603574752808,1.0,1.0,0.0
inception,gap_mpvH,SelfRegulationSCP1,849,0.7815699577331543,0.7815698981285095,1.0108896493911743,1.0,1.0,3.5362373296266014e-07
inception,gap_mpvH,SelfRegulationSCP2,789,0.4888888895511627,0.48888882994651794,2.94067120552063,1.0,1.0,9.024105338539812e-07
inception,gap_mpvH,StandWalkJump,557,0.46666666865348816,0.4666666090488434,2.635164499282837,0.4166666567325592,0.41666659712791443,1.5706425905227661
inception,gap_mpvH,UWaveGestureLibrary,284,0.8999999761581421,0.8999999165534973,0.6766177415847778,1.0,1.0,1.9272162887773447e-07
