model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap_mpvH_ppvHste,ArticularyWordRecognition,319,0.9800000190734863,0.9799999594688416,0.062117595225572586,1.0,1.0,2.9229740903247148e-06
inception,gap_mpvH_ppvHste,AtrialFibrillation,485,0.20000000298023224,0.19999997317790985,3.2244365215301514,0.7333333492279053,0.7333332896232605,0.6245529055595398
inception,gap_mpvH_ppvHste,BasicMotions,175,1.0,1.0,0.007791636977344751,1.0,1.0,2.02655698444687e-07
inception,gap_mpvH_ppvHste,Cricket,473,1.0,1.0,0.006960718892514706,1.0,1.0,0.0
inception,gap_mpvH_ppvHste,DuckDuckGeese,271,0.5,0.4999999403953552,2.339653968811035,1.0,1.0,6.961816438888491e-07
inception,gap_mpvH_ppvHste,EigenWorms,4049,0.9389312863349915,0.9389312267303467,0.46824535727500916,1.0,1.0,9.452900826545374e-07
inception,gap_mpvH_ppvHste,Epilepsy,232,0.97826087474823,0.9782608151435852,0.07966673374176025,1.0,1.0,2.601719870654051e-07
inception,gap_mpvH_ppvHste,EthanolConcentration,1056,0.4030418395996094,0.4030417799949646,3.9561002254486084,1.0,1.0,1.570559288666118e-05
inception,gap_mpvH_ppvHste,ERing,169,0.9444444179534912,0.9444443583488464,0.2692795991897583,1.0,1.0,0.0
inception,gap_mpvH_ppvHste,FaceDetection,4668,0.6625993251800537,0.6625992655754089,4.846315383911133,1.0,1.0,0.0
inception,gap_mpvH_ppvHste,FingerMovements,305,0.5899999737739563,0.5899999141693115,4.249757766723633,1.0,1.0,1.622150058722127e-08
inception,gap_mpvH_ppvHste,HandMovementDirection,294,0.4054054021835327,0.40540534257888794,3.7806754112243652,1.0,1.0,4.470347647611561e-08
inception,gap_mpvH_ppvHste,Handwriting,222,0.677647054195404,0.6776469945907593,2.0116283893585205,1.0,1.0,2.4636584328163735e-08
inception,gap_mpvH_ppvHste,Heartbeat,403,0.7219512462615967,0.7219511866569519,2.616469383239746,1.0,1.0,1.1102821773079086e-08
inception,gap_mpvH_ppvHste,Libras,209,0.8277778029441833,0.8277777433395386,1.4668128490447998,1.0,1.0,2.4033543013501912e-06
inception,gap_mpvH_ppvHste,LSST,1726,0.613544225692749,0.6135441660881042,5.330772876739502,1.0,1.0,2.4239382723223457e-10
inception,gap_mpvH_ppvHste,MotorImagery,1980,0.5400000214576721,0.5399999618530273,3.0932788848876953,1.0,1.0,4.85841155750677e-07
inception,gap_mpvH_ppvHste,NATOPS,218,0.8999999761581421,0.8999999165534973,0.610257089138031,1.0,1.0,2.473570702932193e-06
inception,gap_mpvH_ppvHste,PenDigits,3628,0.987707257270813,0.9877071976661682,0.1265190839767456,1.0,1.0,0.0
inception,gap_mpvH_ppvHste,PEMS-SF,430,0.8034682273864746,0.8034682273864746,0.9260005950927734,1.0,1.0,0.0
inception,gap_mpvH_ppvHste,PhonemeSpectra,3000,0.26662689447402954,0.26662683486938477,7.3703131675720215,1.0,1.0,2.6772845558298286e-06
inception,gap_mpvH_ppvHste,RacketSports,203,0.8881579041481018,0.888157844543457,1.540283203125,1.0,1.0,0.0
inception,gap_mpvH_ppvHste,SelfRegulationSCP1,695,0.76450514793396,0.7645050883293152,1.3498069047927856,1.0,1.0,3.9588147870972534e-08
inception,gap_mpvH_ppvHste,SelfRegulationSCP2,638,0.4833333194255829,0.4833332598209381,3.704357147216797,1.0,1.0,7.0562596192758065e-06
inception,gap_mpvH_ppvHste,StandWalkJump,529,0.3333333432674408,0.333333283662796,2.279176950454712,0.6666666865348816,0.6666666269302368,1.715355396270752
inception,gap_mpvH_ppvHste,UWaveGestureLibrary,254,0.903124988079071,0.9031249284744263,0.6079453825950623,1.0,1.0,6.75519231663202e-08
