model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gap_ppvHste,ArticularyWordRecognition,358,0.9866666793823242,0.9866666197776794,0.04251081869006157,1.0,1.0,7.900906894064974e-06
inception,gap_ppvHste,AtrialFibrillation,479,0.20000000298023224,0.19999997317790985,1.829774260520935,0.800000011920929,0.800000011920929,0.524418830871582
inception,gap_ppvHste,BasicMotions,181,1.0,1.0,0.005167418159544468,1.0,1.0,1.168250150840322e-06
inception,gap_ppvHste,Cricket,553,0.9861111044883728,0.986111044883728,0.021971270442008972,1.0,1.0,1.1037895930599007e-08
inception,gap_ppvHste,DuckDuckGeese,307,0.5199999809265137,0.5199999213218689,2.8021233081817627,1.0,1.0,6.055829544493463e-07
inception,gap_ppvHste,EigenWorms,5748,0.9389312863349915,0.9389312267303467,0.2195839136838913,1.0,1.0,2.7352530196367297e-06
inception,gap_ppvHste,Epilepsy,253,0.9710144996643066,0.9710144400596619,0.23243364691734314,1.0,1.0,2.914970025358343e-07
inception,gap_ppvHste,EthanolConcentration,1366,0.33840304613113403,0.33840298652648926,3.8873910903930664,1.0,1.0,3.2862648367881775e-05
inception,gap_ppvHste,ERing,173,0.9296296238899231,0.9296295642852783,0.2680421471595764,1.0,1.0,8.861217679623223e-07
inception,gap_ppvHste,FaceDetection,5327,0.6730987429618835,0.6730986833572388,5.096992492675781,1.0,1.0,0.0
inception,gap_ppvHste,FingerMovements,341,0.5,0.4999999403953552,4.249279975891113,1.0,1.0,1.5844251777252794e-07
inception,gap_ppvHste,HandMovementDirection,339,0.37837839126586914,0.37837833166122437,4.137226104736328,1.0,1.0,8.195637946073475e-09
inception,gap_ppvHste,Handwriting,239,0.6611764430999756,0.6611763834953308,2.055074453353882,1.0,1.0,4.609425729995564e-08
inception,gap_ppvHste,Heartbeat,479,0.707317054271698,0.7073169946670532,2.361969232559204,1.0,1.0,2.0394102762111288e-07
inception,gap_ppvHste,Libras,233,0.8111110925674438,0.8111110329627991,1.007200837135315,1.0,1.0,8.734587026992813e-06
inception,gap_ppvHste,LSST,1972,0.6062449216842651,0.6062448620796204,5.5094380378723145,1.0,1.0,0.0
inception,gap_ppvHste,MotorImagery,2644,0.6000000238418579,0.5999999642372131,2.5095627307891846,1.0,1.0,4.668822839448694e-06
inception,gap_ppvHste,NATOPS,240,0.894444465637207,0.8944444060325623,0.6663016676902771,1.0,1.0,3.021275006176438e-06
inception,gap_ppvHste,PenDigits,4159,0.989708423614502,0.9897083640098572,0.12605445086956024,1.0,1.0,7.953646768976697e-11
inception,gap_ppvHste,PEMS-SF,496,0.8265895843505859,0.8265895843505859,1.2017995119094849,1.0,1.0,1.3394301223712546e-09
inception,gap_ppvHste,PhonemeSpectra,3563,0.2693110704421997,0.26931101083755493,6.9285759925842285,0.9996983408927917,0.999698281288147,0.0003524085914250463
inception,gap_ppvHste,RacketSports,220,0.8947368264198303,0.8947367668151855,1.1031432151794434,1.0,1.0,1.5789307639124672e-08
inception,gap_ppvHste,SelfRegulationSCP1,850,0.7542662024497986,0.7542661428451538,1.2760822772979736,1.0,1.0,3.602960418902512e-07
inception,gap_ppvHste,SelfRegulationSCP2,786,0.5,0.4999999403953552,2.7258224487304688,1.0,1.0,4.021341283078073e-06
inception,gap_ppvHste,StandWalkJump,616,0.3333333432674408,0.333333283662796,1.8978224992752075,0.25,0.24999994039535522,1.4565948247909546
inception,gap_ppvHste,UWaveGestureLibrary,285,0.918749988079071,0.9187499284744263,0.5489535331726074,1.0,1.0,4.8677119224294074e-08
