model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gmp_mmp2_mmp4_mmp8,ArticularyWordRecognition,291,0.9866666793823242,0.9866666197776794,0.08400867134332657,1.0,1.0,4.3348830081058054e-10
inception,gmp_mmp2_mmp4_mmp8,AtrialFibrillation,347,0.4000000059604645,0.3999999761581421,6.355149745941162,1.0,1.0,8.72591590450611e-06
inception,gmp_mmp2_mmp4_mmp8,BasicMotions,226,0.9750000238418579,0.9749999642372131,0.038820333778858185,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,Cricket,332,0.9861111044883728,0.986111044883728,0.04881558194756508,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,DuckDuckGeese,286,0.25999999046325684,0.25999993085861206,2.761157274246216,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,EigenWorms,2006,0.8625954389572144,0.8625953793525696,1.0705188512802124,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,Epilepsy,249,0.9637681245803833,0.9637680649757385,0.08717718720436096,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,EthanolConcentration,584,0.3802281320095062,0.38022807240486145,6.420238971710205,1.0,1.0,2.3101872557163006e-06
inception,gmp_mmp2_mmp4_mmp8,ERing,226,0.9481481313705444,0.9481480121612549,0.19016699492931366,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,FaceDetection,3518,0.6711123585700989,0.6711122989654541,5.029254913330078,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,FingerMovements,311,0.5400000214576721,0.5399999618530273,2.983597993850708,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,HandMovementDirection,313,0.5270270109176636,0.5270269513130188,1.4788304567337036,1.0,1.0,1.4901160305669237e-09
inception,gmp_mmp2_mmp4_mmp8,Handwriting,282,0.5352941155433655,0.5352940559387207,2.3587419986724854,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,Heartbeat,340,0.6780487895011902,0.6780487298965454,1.4799968004226685,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,Libras,266,0.8055555820465088,0.8055555820465088,2.25453519821167,1.0,1.0,4.702143741042164e-08
inception,gmp_mmp2_mmp4_mmp8,LSST,1390,0.6050283908843994,0.6050283312797546,4.944675922393799,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,MotorImagery,979,0.5099999904632568,0.5099999308586121,2.107942819595337,1.0,1.0,8.576207521926449e-10
inception,gmp_mmp2_mmp4_mmp8,NATOPS,256,0.8500000238418579,0.8499999642372131,0.8071543574333191,1.0,1.0,1.2649425684685411e-07
inception,gmp_mmp2_mmp4_mmp8,PenDigits,3552,0.9811320900917053,0.9811320304870605,0.3003149926662445,1.0,1.0,3.181459262702191e-11
inception,gmp_mmp2_mmp4_mmp8,PEMS-SF,430,0.8323699235916138,0.832369863986969,0.9835160970687866,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,PhonemeSpectra,2284,0.26245152950286865,0.2624514698982239,10.603832244873047,1.0,1.0,1.4887308275035593e-08
inception,gmp_mmp2_mmp4_mmp8,RacketSports,258,0.8618420958518982,0.8618420362472534,1.338150978088379,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,SelfRegulationSCP1,440,0.8191125988960266,0.8191125392913818,1.2084964513778687,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,SelfRegulationSCP2,420,0.4833333194255829,0.4833332598209381,2.3519222736358643,1.0,1.0,0.0
inception,gmp_mmp2_mmp4_mmp8,StandWalkJump,441,0.46666666865348816,0.4666666090488434,3.8836915493011475,1.0,1.0,0.001227651839144528
inception,gmp_mmp2_mmp4_mmp8,UWaveGestureLibrary,241,0.9156249761581421,0.9156249165534973,0.6353145837783813,1.0,1.0,0.0
