model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,gru128,ArticularyWordRecognition,857,0.9233333468437195,0.9233332872390747,0.5156291723251343,1.0,1.0,8.669766016211611e-10
inception,gru128,AtrialFibrillation,1006,0.3333333432674408,0.333333283662796,6.045165061950684,1.0,1.0,4.6140186896082014e-05
inception,gru128,BasicMotions,457,0.8999999761581421,0.8999999165534973,0.5504305958747864,1.0,1.0,0.0
inception,gru128,Cricket,1078,0.9583333134651184,0.9583332538604736,0.33944180607795715,1.0,1.0,1.1479377235446009e-06
inception,gru128,DuckDuckGeese,643,0.25999999046325684,0.25999993085861206,5.2505269050598145,1.0,1.0,9.53674295089968e-09
inception,gru128,EigenWorms,11033,0.40458014607429504,0.40458008646965027,7.701469421386719,1.0,1.0,1.6763802790364934e-08
inception,gru128,Epilepsy,582,0.8550724387168884,0.8550723791122437,0.9322130680084229,1.0,1.0,0.0
inception,gru128,EthanolConcentration,2181,0.2471482902765274,0.24714824557304382,6.442391395568848,1.0,1.0,6.620728527195752e-05
inception,gru128,ERing,439,0.8777777552604675,0.8777776956558228,0.8805165886878967,1.0,1.0,1.9868213740892315e-08
inception,gru128,FaceDetection,13133,0.6623155474662781,0.6623154878616333,5.15941047668457,1.0,1.0,2.0239266859678473e-11
inception,gru128,FingerMovements,830,0.4699999988079071,0.46999993920326233,5.225108623504639,1.0,1.0,0.0
inception,gru128,HandMovementDirection,663,0.4189189076423645,0.4189188480377197,5.632073402404785,1.0,1.0,0.0
inception,gru128,Handwriting,533,0.5270588397979736,0.5270587801933289,3.9210331439971924,1.0,1.0,7.859862307668664e-07
inception,gru128,Heartbeat,822,0.6975609660148621,0.6975609064102173,3.152279853820801,1.0,1.0,5.843592276733034e-10
inception,gru128,Libras,550,0.7722222208976746,0.7722222208976746,2.2125933170318604,1.0,1.0,4.0332452044822276e-07
inception,gru128,LSST,5161,0.5859692096710205,0.5859691500663757,4.991982460021973,1.0,1.0,0.0
inception,gru128,MotorImagery,3729,0.5199999809265137,0.5199999213218689,6.228153705596924,1.0,1.0,8.576207521926449e-10
inception,gru128,NATOPS,524,0.855555534362793,0.8555554747581482,0.9819000959396362,1.0,1.0,1.8305224784853635e-06
inception,gru128,PenDigits,14866,0.9882790446281433,0.9882789850234985,0.1242978498339653,1.0,1.0,0.0
inception,gru128,PEMS-SF,922,0.8323699235916138,0.832369863986969,1.4561372995376587,1.0,1.0,0.0
inception,gru128,PhonemeSpectra,8660,0.21682076156139374,0.21682071685791016,8.948625564575195,0.9996983408927917,0.999698281288147,0.0012217276962473989
inception,gru128,RacketSports,511,0.8289473652839661,0.8289473056793213,2.2787702083587646,1.0,1.0,1.5789308749347697e-09
inception,gru128,SelfRegulationSCP1,1444,0.6450511813163757,0.645051121711731,4.449793338775635,1.0,1.0,0.0
inception,gru128,SelfRegulationSCP2,1345,0.5444444417953491,0.5444443821907043,6.080555438995361,1.0,1.0,5.9604643443123e-10
inception,gru128,StandWalkJump,1684,0.3333333432674408,0.333333283662796,7.823714256286621,1.0,1.0,3.2782509151729755e-07
inception,gru128,UWaveGestureLibrary,555,0.675000011920929,0.6749999523162842,2.9512786865234375,1.0,1.0,1.8298601389687974e-06
