model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,mipvS,ArticularyWordRecognition,269,0.8100000023841858,0.8099998831748962,1.8893173933029175,1.0,1.0,0.003358611837029457
inception,mipvS,AtrialFibrillation,204,0.4000000059604645,0.3999999761581421,11.384801864624023,0.5333333611488342,0.5333333015441895,6.23273229598999
inception,mipvS,BasicMotions,162,0.6499999761581421,0.6499999165534973,1.1369587182998657,0.7250000238418579,0.7249999642372131,0.7394242882728577
inception,mipvS,Cricket,416,0.6527777910232544,0.6527777314186096,16.154422760009766,0.7962962985038757,0.796296238899231,3.1738195419311523
inception,mipvS,DuckDuckGeese,240,0.1599999964237213,0.15999995172023773,11.344839096069336,0.41999998688697815,0.4199999272823334,3.406299352645874
inception,mipvS,EigenWorms,4435,0.35114502906799316,0.3511449694633484,329.89532470703125,0.421875,0.4218749403953552,367.6539306640625
inception,mipvS,Epilepsy,196,0.2753623127937317,0.2753622531890869,6.01704216003418,0.37956205010414124,0.37956199049949646,4.400234699249268
inception,mipvS,EthanolConcentration,993,0.22053231298923492,0.22053225338459015,19.229955673217773,0.20306512713432312,0.20306508243083954,16.180858612060547
inception,mipvS,ERing,153,0.7629629373550415,0.7629628777503967,1.832750916481018,1.0,1.0,0.007085989695042372
inception,mipvS,FaceDetection,3913,0.5150397419929504,0.5150396823883057,0.7136022448539734,0.5640068054199219,0.5640067458152771,0.6822922825813293
inception,mipvS,FingerMovements,260,0.41999998688697815,0.4199999272823334,0.9816333651542664,0.6234177350997925,0.6234176754951477,0.6657161712646484
inception,mipvS,HandMovementDirection,269,0.3918918967247009,0.39189186692237854,7.893415927886963,0.45625001192092896,0.4562499225139618,4.734049320220947
inception,mipvS,Handwriting,188,0.18941175937652588,0.1894117146730423,4.747665882110596,0.36666667461395264,0.36666661500930786,2.2364985942840576
inception,mipvS,Heartbeat,351,0.5414634346961975,0.5414633750915527,4.46151876449585,0.6127451062202454,0.6127450466156006,2.940699577331543
inception,mipvS,Libras,206,0.6777777671813965,0.6777777075767517,1.4041498899459839,0.8666666746139526,0.8666666150093079,0.40130096673965454
inception,mipvS,LSST,1310,0.4270072877407074,0.4270072281360626,1.7731266021728516,0.497356653213501,0.4973565936088562,1.4926849603652954
inception,mipvS,MotorImagery,1942,0.5299999713897705,0.5299999117851257,44.7508544921875,0.5323740839958191,0.5323740243911743,26.142244338989258
inception,mipvS,NATOPS,210,0.6000000238418579,0.5999999642372131,1.1881576776504517,0.7722222208976746,0.7722222208976746,0.5748271942138672
inception,mipvS,PenDigits,3207,0.9205260276794434,0.9205259680747986,0.27953141927719116,0.9587669968605042,0.9587669372558594,0.13532419502735138
inception,mipvS,PEMS-SF,367,0.6184971332550049,0.6184970736503601,1.0796533823013306,0.6067415475845337,0.6067414879798889,0.9480819702148438
inception,mipvS,PhonemeSpectra,2493,0.06829705089330673,0.06829699873924255,4.129685401916504,0.11432880908250809,0.11432875692844391,3.648097276687622
inception,mipvS,RacketSports,192,0.6842105388641357,0.684210479259491,0.7762055397033691,0.748344361782074,0.7483442425727844,0.6194210648536682
inception,mipvS,SelfRegulationSCP1,636,0.7679181098937988,0.7679179906845093,2.5387747287750244,0.6753731369972229,0.6753730773925781,3.6269922256469727
inception,mipvS,SelfRegulationSCP2,892,0.5333333611488342,0.5333333015441895,7.186956882476807,0.5400000214576721,0.5399999618530273,6.751898288726807
inception,mipvS,StandWalkJump,228,0.46666666865348816,0.4666666090488434,49.1527099609375,0.8333333134651184,0.8333332538604736,3.0452492237091064
inception,mipvS,UWaveGestureLibrary,224,0.581250011920929,0.5812499523162842,9.962270736694336,0.7583333253860474,0.7583332657814026,2.7048442363739014
