model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,mpvH,ArticularyWordRecognition,334,0.9866666793823242,0.9866666197776794,0.04524781554937363,1.0,1.0,3.476968686300097e-06
inception,mpvH,AtrialFibrillation,455,0.13333334028720856,0.13333329558372498,3.244771718978882,1.0,1.0,0.03088272362947464
inception,mpvH,BasicMotions,187,0.949999988079071,0.9499999284744263,0.07407417893409729,1.0,1.0,2.384185648907078e-08
inception,mpvH,Cricket,506,0.9861111044883728,0.986111044883728,0.029592640697956085,1.0,1.0,1.3245475827261544e-08
inception,mpvH,DuckDuckGeese,283,0.5199999809265137,0.5199999213218689,2.1873254776000977,1.0,1.0,2.903931999753695e-06
inception,mpvH,EigenWorms,5266,0.9160305261611938,0.9160304665565491,0.3346256911754608,1.0,1.0,4.9331883928971365e-06
inception,mpvH,Epilepsy,240,0.9855072498321533,0.9855071902275085,0.04728607460856438,1.0,1.0,3.297830915016675e-07
inception,mpvH,EthanolConcentration,1250,0.29657796025276184,0.29657790064811707,5.118524551391602,1.0,1.0,2.088611108774785e-05
inception,mpvH,ERing,165,0.9407407641410828,0.940740704536438,0.27851131558418274,1.0,1.0,3.973642748178463e-09
inception,mpvH,FaceDetection,4757,0.6586265563964844,0.6586264967918396,5.1860456466674805,1.0,1.0,0.0
inception,mpvH,FingerMovements,314,0.5400000214576721,0.5399999618530273,3.9314775466918945,1.0,1.0,9.808358569785014e-09
inception,mpvH,HandMovementDirection,313,0.36486485600471497,0.3648647964000702,3.0870864391326904,1.0,1.0,9.313224325069314e-08
inception,mpvH,Handwriting,233,0.6317647099494934,0.6317646503448486,1.9963053464889526,1.0,1.0,6.437301180994837e-08
inception,mpvH,Heartbeat,426,0.7219512462615967,0.7219511866569519,2.2993953227996826,1.0,1.0,1.7530775053842262e-08
inception,mpvH,Libras,217,0.8388888835906982,0.8388888239860535,1.1736277341842651,1.0,1.0,6.62068168821861e-06
inception,mpvH,LSST,1556,0.5875912308692932,0.5875911712646484,5.099734783172607,1.0,1.0,4.8478766140336305e-11
inception,mpvH,MotorImagery,2361,0.550000011920929,0.5499999523162842,2.707303047180176,1.0,1.0,7.191140980467026e-07
inception,mpvH,NATOPS,228,0.894444465637207,0.8944444060325623,0.6343041658401489,1.0,1.0,1.0172501561100944e-06
inception,mpvH,PenDigits,3482,0.9911378026008606,0.9911377429962158,0.0848204642534256,1.0,1.0,0.0
inception,mpvH,PEMS-SF,470,0.8728323578834534,0.8728322982788086,0.961751401424408,1.0,1.0,0.0
inception,mpvH,PhonemeSpectra,3487,0.2758723497390747,0.27587229013442993,6.685601234436035,1.0,1.0,2.1642390493070707e-06
inception,mpvH,RacketSports,203,0.8881579041481018,0.888157844543457,1.1807197332382202,1.0,1.0,0.0
inception,mpvH,SelfRegulationSCP1,763,0.788395881652832,0.7883958220481873,1.2057734727859497,1.0,1.0,9.296544334347345e-08
inception,mpvH,SelfRegulationSCP2,711,0.5222222208976746,0.5222221612930298,2.54217529296875,1.0,1.0,2.2745016394765116e-06
inception,mpvH,StandWalkJump,503,0.46666666865348816,0.4666666090488434,2.136035203933716,0.6666666865348816,0.6666666269302368,1.012947678565979
inception,mpvH,UWaveGestureLibrary,272,0.8999999761581421,0.8999999165534973,0.5099828839302063,1.0,1.0,2.58286746657177e-07
