model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,mpvS,ArticularyWordRecognition,320,0.9833333492279053,0.9833332896232605,0.08625924587249756,1.0,1.0,2.1425934392027557e-05
inception,mpvS,AtrialFibrillation,433,0.13333334028720856,0.13333329558372498,8.461660385131836,1.0,1.0,0.00012574940046761185
inception,mpvS,BasicMotions,181,0.949999988079071,0.9499999284744263,0.332763135433197,1.0,1.0,2.682207878024201e-07
inception,mpvS,Cricket,458,0.9861111044883728,0.986111044883728,0.05801282823085785,1.0,1.0,8.940695295223122e-08
inception,mpvS,DuckDuckGeese,275,0.5,0.4999999403953552,2.1487369537353516,1.0,1.0,5.130718363943743e-06
inception,mpvS,EigenWorms,3829,0.9618320465087891,0.9618319869041443,1.129331350326538,1.0,1.0,2.231440930700046e-06
inception,mpvS,Epilepsy,229,0.97826087474823,0.9782608151435852,0.09539185464382172,1.0,1.0,7.074222594383173e-07
inception,mpvS,EthanolConcentration,1018,0.22053231298923492,0.22053225338459015,5.248760223388672,1.0,1.0,0.00028400373412296176
inception,mpvS,ERing,169,0.914814829826355,0.9148147702217102,0.4021089971065521,1.0,1.0,1.5099840311449952e-07
inception,mpvS,FaceDetection,4458,0.6489784121513367,0.6489783525466919,5.128055095672607,1.0,1.0,1.8903223875099684e-08
inception,mpvS,FingerMovements,311,0.5199999809265137,0.5199999213218689,3.514533281326294,1.0,1.0,1.8499689531381591e-06
inception,mpvS,HandMovementDirection,295,0.3243243098258972,0.32432425022125244,3.6003785133361816,1.0,1.0,9.702778697828762e-06
inception,mpvS,Handwriting,231,0.6564705967903137,0.656470537185669,2.161820650100708,1.0,1.0,1.730251096887514e-05
inception,mpvS,Heartbeat,389,0.7219512462615967,0.7219511866569519,1.7737873792648315,1.0,1.0,7.205135261756368e-07
inception,mpvS,Libras,221,0.8277778029441833,0.8277777433395386,1.1287872791290283,1.0,1.0,0.000849097385071218
inception,mpvS,LSST,1643,0.5628548264503479,0.5628547668457031,2.9375391006469727,0.999186635017395,0.9991865754127502,0.016224408522248268
inception,mpvS,MotorImagery,1890,0.5600000023841858,0.559999942779541,2.5196056365966797,1.0,1.0,1.6273302207991946e-06
inception,mpvS,NATOPS,222,0.894444465637207,0.8944444060325623,0.8038887977600098,1.0,1.0,1.2598759894899558e-05
inception,mpvS,PenDigits,3507,0.9919954538345337,0.9919953942298889,0.08388180285692215,1.0,1.0,5.336840658287656e-08
inception,mpvS,PEMS-SF,419,0.8554913401603699,0.8554912209510803,0.8457895517349243,1.0,1.0,3.643248476237204e-07
inception,mpvS,PhonemeSpectra,2941,0.2851178050041199,0.2851177453994751,3.9453694820404053,0.9755656123161316,0.9755655527114868,0.152961865067482
inception,mpvS,RacketSports,202,0.8684210777282715,0.8684210181236267,0.8043856620788574,1.0,1.0,0.00016484672960359603
inception,mpvS,SelfRegulationSCP1,672,0.723549485206604,0.7235494256019592,1.9154425859451294,1.0,1.0,5.444472890303587e-07
inception,mpvS,SelfRegulationSCP2,613,0.4888888895511627,0.48888882994651794,2.8488070964813232,1.0,1.0,2.4492983357049525e-05
inception,mpvS,StandWalkJump,470,0.3333333432674408,0.333333283662796,2.2683634757995605,0.8333333134651184,0.8333332538604736,0.18229754269123077
inception,mpvS,UWaveGestureLibrary,255,0.893750011920929,0.8937499523162842,0.9042423367500305,1.0,1.0,5.354481231734098e-07
