model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,ppvH,ArticularyWordRecognition,397,0.9599999785423279,0.9599999189376831,0.20292049646377563,1.0,1.0,0.026127906516194344
inception,ppvH,AtrialFibrillation,274,0.20000000298023224,0.19999997317790985,1.589874267578125,0.7333333492279053,0.7333332896232605,0.6926504969596863
inception,ppvH,BasicMotions,196,0.9750000238418579,0.9749999642372131,0.3265460431575775,0.949999988079071,0.9499999284744263,0.260848730802536
inception,ppvH,Cricket,530,0.9444444179534912,0.9444443583488464,0.18710671365261078,1.0,1.0,0.05959663912653923
inception,ppvH,DuckDuckGeese,290,0.3400000035762787,0.3399999439716339,1.6352365016937256,0.5400000214576721,0.5399999618530273,1.3235124349594116
inception,ppvH,EigenWorms,5360,0.7557252049446106,0.755725085735321,0.7888491749763489,0.8671875,0.8671874403953552,0.6563059687614441
inception,ppvH,Epilepsy,282,0.8840579986572266,0.8840579986572266,0.43330398201942444,0.970802903175354,0.9708028435707092,0.31208306550979614
inception,ppvH,EthanolConcentration,1255,0.2319391667842865,0.23193912208080292,1.424878716468811,0.39463600516319275,0.394635945558548,1.3013014793395996
inception,ppvH,ERing,179,0.8592592477798462,0.8592591881752014,0.6667997241020203,1.0,1.0,0.36218956112861633
inception,ppvH,FaceDetection,4852,0.5167423486709595,0.5167422890663147,0.7037128210067749,0.5731748938560486,0.5731748342514038,0.6746863722801208
inception,ppvH,FingerMovements,316,0.47999998927116394,0.47999992966651917,0.7077645659446716,0.702531635761261,0.7025315761566162,0.6025809049606323
inception,ppvH,HandMovementDirection,321,0.29729729890823364,0.29729723930358887,1.3736789226531982,0.5687500238418579,0.5687499642372131,1.2613756656646729
inception,ppvH,Handwriting,270,0.30588236451148987,0.3058823049068451,2.7500898838043213,0.7933333516120911,0.7933332324028015,1.3242703676223755
inception,ppvH,Heartbeat,423,0.6975609660148621,0.6975609064102173,0.5352156758308411,0.720588207244873,0.7205881476402283,0.5099167823791504
inception,ppvH,Libras,244,0.800000011920929,0.800000011920929,0.6791732907295227,0.9888888597488403,0.9888888001441956,0.24511368572711945
inception,ppvH,LSST,1557,0.5567721128463745,0.5567720532417297,1.4098562002182007,0.6043106913566589,0.6043106317520142,1.1285309791564941
inception,ppvH,MotorImagery,2473,0.5899999737739563,0.5899999141693115,0.696429431438446,0.6762589812278748,0.67625892162323,0.649055540561676
inception,ppvH,NATOPS,239,0.8277778029441833,0.8277777433395386,0.47700589895248413,0.9388889074325562,0.9388888478279114,0.26397186517715454
inception,ppvH,PenDigits,3482,0.9599771499633789,0.9599770903587341,0.14453911781311035,0.9861222505569458,0.986122190952301,0.04592735692858696
inception,ppvH,PEMS-SF,498,0.647398829460144,0.6473987698554993,0.9338269829750061,0.8651685118675232,0.8651684522628784,0.6645500659942627
inception,ppvH,PhonemeSpectra,3390,0.20697882771492004,0.20697878301143646,2.8034379482269287,0.34479638934135437,0.3447963297367096,2.369894504547119
inception,ppvH,RacketSports,208,0.8289473652839661,0.8289473056793213,0.5000014305114746,0.9470198750495911,0.9470198154449463,0.3035654127597809
inception,ppvH,SelfRegulationSCP1,763,0.6860068440437317,0.6860067844390869,0.5960889458656311,0.7425373196601868,0.742537260055542,0.4972175359725952
inception,ppvH,SelfRegulationSCP2,700,0.4555555582046509,0.4555554986000061,0.6967318654060364,0.5450000166893005,0.5449999570846558,0.6850905418395996
inception,ppvH,StandWalkJump,300,0.46666666865348816,0.4666666090488434,1.2539191246032715,0.75,0.7499999403953552,0.5233960747718811
inception,ppvH,UWaveGestureLibrary,284,0.753125011920929,0.7531249523162842,0.9533336758613586,1.0,1.0,0.22652727365493774
