model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
inception,ppvS,ArticularyWordRecognition,338,0.9766666889190674,0.9766666293144226,0.09622128307819366,1.0,1.0,0.0010640895925462246
inception,ppvS,AtrialFibrillation,457,0.2666666805744171,0.26666662096977234,3.9398906230926514,0.46666666865348816,0.4666666090488434,2.088660955429077
inception,ppvS,BasicMotions,181,0.9750000238418579,0.9749999642372131,0.03519357740879059,1.0,1.0,6.786260928492993e-05
inception,ppvS,Cricket,491,1.0,1.0,0.010086271911859512,1.0,1.0,1.046492161549395e-05
inception,ppvS,DuckDuckGeese,286,0.5400000214576721,0.5399999618530273,2.451451539993286,1.0,1.0,2.9286527933436446e-05
inception,ppvS,EigenWorms,4075,0.9465649127960205,0.9465648531913757,0.18455898761749268,1.0,1.0,1.5983077901182696e-05
inception,ppvS,Epilepsy,240,0.97826087474823,0.9782608151435852,0.12450151890516281,1.0,1.0,1.0629522876115516e-05
inception,ppvS,EthanolConcentration,1078,0.26996198296546936,0.2699619233608246,3.138213872909546,1.0,1.0,0.010184839367866516
inception,ppvS,ERing,183,0.914814829826355,0.9148147702217102,0.30854642391204834,1.0,1.0,0.0005571228684857488
inception,ppvS,FaceDetection,4656,0.6140748858451843,0.6140748262405396,3.901324987411499,1.0,1.0,1.9467772744974354e-06
inception,ppvS,FingerMovements,314,0.5299999713897705,0.5299999117851257,4.0615553855896,1.0,1.0,1.169076313090045e-06
inception,ppvS,HandMovementDirection,314,0.31081080436706543,0.31081074476242065,3.85809326171875,1.0,1.0,2.25907515414292e-05
inception,ppvS,Handwriting,245,0.5882353186607361,0.5882352590560913,2.221142053604126,1.0,1.0,0.0010460324119776487
inception,ppvS,Heartbeat,414,0.707317054271698,0.7073169946670532,1.6194005012512207,1.0,1.0,8.981551218312234e-07
inception,ppvS,Libras,241,0.8277778029441833,0.8277777433395386,0.6294434666633606,1.0,1.0,0.015263409353792667
inception,ppvS,LSST,1738,0.5389294624328613,0.5389294028282166,4.312915802001953,1.0,1.0,0.0010165831772610545
inception,ppvS,MotorImagery,1993,0.5699999928474426,0.5699999332427979,2.602654457092285,1.0,1.0,6.302595465967897e-06
inception,ppvS,NATOPS,240,0.8888888955116272,0.8888888359069824,0.6807625889778137,1.0,1.0,0.0008022657711990178
inception,ppvS,PenDigits,3688,0.9885649085044861,0.9885648488998413,0.071015864610672,0.9995996952056885,0.9995996356010437,0.001808668370358646
inception,ppvS,PEMS-SF,442,0.849711000919342,0.8497109413146973,0.8463990092277527,1.0,1.0,1.817356314859353e-05
inception,ppvS,PhonemeSpectra,3116,0.31702953577041626,0.3170294761657715,2.8134267330169678,0.8458521962165833,0.8458521366119385,0.6200057864189148
inception,ppvS,RacketSports,213,0.8552631735801697,0.8552631139755249,0.5819587111473083,1.0,1.0,0.00279573374427855
inception,ppvS,SelfRegulationSCP1,718,0.7098976373672485,0.7098975777626038,1.1638414859771729,1.0,1.0,3.930690581910312e-06
inception,ppvS,SelfRegulationSCP2,656,0.5166666507720947,0.51666659116745,1.9547226428985596,1.0,1.0,5.9713049267884344e-05
inception,ppvS,StandWalkJump,526,0.2666666805744171,0.26666662096977234,1.7040821313858032,0.3333333432674408,0.333333283662796,1.5034476518630981
inception,ppvS,UWaveGestureLibrary,270,0.909375011920929,0.9093749523162842,0.519318699836731,1.0,1.0,2.799365211103577e-05
