model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap,ArticularyWordRecognition,203,0.9900000095367432,0.9899999499320984,0.028463812544941902,1.0,1.0,2.520907946745865e-05
lite,gap,AtrialFibrillation,298,0.3333333432674408,0.333333283662796,3.731820583343506,0.3333333432674408,0.333333283662796,3.622133493423462
lite,gap,BasicMotions,115,1.0,1.0,0.009837968274950981,1.0,1.0,1.5327153960242867e-05
lite,gap,Cricket,277,0.9861111044883728,0.986111044883728,0.016403431072831154,1.0,1.0,3.9074143387551885e-07
lite,gap,DuckDuckGeese,705,0.5799999833106995,0.5799999237060547,1.836022138595581,1.0,1.0,4.763582182931714e-06
lite,gap,EigenWorms,2643,0.9541984796524048,0.95419842004776,0.26848161220550537,1.0,1.0,0.000168273487361148
lite,gap,Epilepsy,153,0.9855072498321533,0.9855071902275085,0.015224508941173553,1.0,1.0,4.361975243227789e-06
lite,gap,EthanolConcentration,604,0.3764258623123169,0.37642577290534973,3.536989688873291,1.0,1.0,0.0006720962701365352
lite,gap,ERing,113,0.9629629850387573,0.9629629254341125,0.08615560084581375,1.0,1.0,2.6956695364788175e-05
lite,gap,FaceDetection,3007,0.6447219252586365,0.6447218656539917,2.488795757293701,1.0,1.0,2.2042554803647363e-07
lite,gap,FingerMovements,192,0.5600000023841858,0.559999942779541,4.191530227661133,1.0,1.0,4.3684818251676916e-07
lite,gap,HandMovementDirection,193,0.3243243098258972,0.32432425022125244,2.6554110050201416,1.0,1.0,5.453823064272001e-07
lite,gap,Handwriting,147,0.6105882525444031,0.6105881929397583,2.2538230419158936,1.0,1.0,1.7738318547344534e-06
lite,gap,Heartbeat,328,0.7414634227752686,0.7414634227752686,1.9217267036437988,1.0,1.0,3.745738013094524e-07
lite,gap,Libras,134,0.8388888835906982,0.8388888239860535,0.8526747822761536,1.0,1.0,8.571404032409191e-05
lite,gap,LSST,772,0.5369018912315369,0.5369018316268921,5.398746013641357,1.0,1.0,9.00628037925344e-07
lite,gap,MotorImagery,2040,0.5199999809265137,0.5199999213218689,3.1552858352661133,1.0,1.0,5.624671757686883e-06
lite,gap,NATOPS,154,0.8833333253860474,0.8833332657814026,0.5395644307136536,1.0,1.0,4.651525159715675e-05
lite,gap,PenDigits,1960,0.9768438935279846,0.9768438339233398,0.1706094890832901,1.0,1.0,4.1611730949853154e-08
lite,gap,PEMS-SF,1289,0.6647399067878723,0.6647398471832275,1.8289968967437744,1.0,1.0,2.7235062205477334e-08
lite,gap,PhonemeSpectra,1757,0.2382940649986267,0.23829402029514313,7.245100498199463,0.9993966817855835,0.9993966221809387,0.003234957344830036
lite,gap,RacketSports,132,0.8618420958518982,0.8618420362472534,0.6771761178970337,1.0,1.0,9.169545228360221e-05
lite,gap,SelfRegulationSCP1,404,0.7508532404899597,0.7508531808853149,1.0200891494750977,1.0,1.0,3.7128181702428265e-06
lite,gap,SelfRegulationSCP2,382,0.5222222208976746,0.5222221612930298,2.0413119792938232,1.0,1.0,3.4696331567829475e-05
lite,gap,StandWalkJump,298,0.3333333432674408,0.333333283662796,2.8663313388824463,0.5,0.4999999403953552,1.3897215127944946
lite,gap,UWaveGestureLibrary,155,0.90625,0.9062499403953552,0.4627314507961273,1.0,1.0,1.0460603334649932e-06
