model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_map2_map4_map8,ArticularyWordRecognition,278,0.9833333492279053,0.9833332896232605,0.08405528217554092,1.0,1.0,2.6009296938411808e-09
lite,gap_map2_map4_map8,AtrialFibrillation,258,0.2666666805744171,0.26666662096977234,5.44456672668457,1.0,1.0,7.736049883533269e-05
lite,gap_map2_map4_map8,BasicMotions,120,0.9750000238418579,0.9749999642372131,0.0521472692489624,1.0,1.0,0.0
lite,gap_map2_map4_map8,Cricket,445,0.9861111044883728,0.986111044883728,0.06601700186729431,1.0,1.0,2.2075792305287223e-09
lite,gap_map2_map4_map8,DuckDuckGeese,1570,0.3400000035762787,0.3399999439716339,1.581138014793396,1.0,1.0,0.0
lite,gap_map2_map4_map8,EigenWorms,24015,0.9389312863349915,0.9389312267303467,0.5565474033355713,1.0,1.0,6.033915269654244e-06
lite,gap_map2_map4_map8,Epilepsy,180,0.9927536249160767,0.9927535653114319,0.013470504432916641,1.0,1.0,2.0709326520318427e-07
lite,gap_map2_map4_map8,EthanolConcentration,1433,0.46768060326576233,0.46768054366111755,4.48514461517334,1.0,1.0,3.6639343306887895e-05
lite,gap_map2_map4_map8,ERing,132,0.9481481313705444,0.9481480121612549,0.25548243522644043,1.0,1.0,0.0
lite,gap_map2_map4_map8,FaceDetection,4642,0.6472758054733276,0.6472757458686829,5.970757007598877,1.0,1.0,0.0
lite,gap_map2_map4_map8,FingerMovements,259,0.5600000023841858,0.559999942779541,3.9760489463806152,1.0,1.0,0.0
lite,gap_map2_map4_map8,HandMovementDirection,323,0.5270270109176636,0.5270269513130188,2.2625815868377686,1.0,1.0,9.685754420729609e-09
lite,gap_map2_map4_map8,Handwriting,175,0.5600000023841858,0.559999942779541,3.4242334365844727,1.0,1.0,6.516773964904132e-08
lite,gap_map2_map4_map8,Heartbeat,597,0.7219512462615967,0.7219511866569519,1.2637205123901367,1.0,1.0,0.0
lite,gap_map2_map4_map8,Libras,153,0.7944444417953491,0.7944443821907043,1.7240360975265503,1.0,1.0,3.622612211984233e-06
lite,gap_map2_map4_map8,LSST,899,0.5125709772109985,0.5125709176063538,6.49713134765625,1.0,1.0,1.041322477135509e-07
lite,gap_map2_map4_map8,MotorImagery,5337,0.5099999904632568,0.5099999308586121,2.5358664989471436,1.0,1.0,3.0016724661408034e-09
lite,gap_map2_map4_map8,NATOPS,192,0.8611111044883728,0.861111044883728,0.5491666793823242,1.0,1.0,1.5430974542596232e-07
lite,gap_map2_map4_map8,PenDigits,2094,0.9768438935279846,0.9768438339233398,0.5885838270187378,1.0,1.0,0.0
lite,gap_map2_map4_map8,PEMS-SF,2422,0.8092485666275024,0.8092485070228577,0.7924637794494629,1.0,1.0,0.0
lite,gap_map2_map4_map8,PhonemeSpectra,2888,0.21264539659023285,0.21264535188674927,10.635719299316406,1.0,1.0,4.845112198381685e-05
lite,gap_map2_map4_map8,RacketSports,146,0.8552631735801697,0.8552631139755249,1.633173942565918,1.0,1.0,4.7367927358266115e-09
lite,gap_map2_map4_map8,SelfRegulationSCP1,709,0.8395904302597046,0.8395903706550598,0.8897611498832703,1.0,1.0,1.5257008101343672e-07
lite,gap_map2_map4_map8,SelfRegulationSCP2,782,0.550000011920929,0.5499999523162842,3.1533539295196533,1.0,1.0,2.133845953267155e-07
lite,gap_map2_map4_map8,StandWalkJump,347,0.3333333432674408,0.333333283662796,3.23657488822937,1.0,1.0,0.00540492869913578
lite,gap_map2_map4_map8,UWaveGestureLibrary,188,0.9375,0.9374999403953552,0.5264245867729187,1.0,1.0,5.960464122267695e-09
