model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_mpvH_ppvHste,ArticularyWordRecognition,255,0.9866666793823242,0.9866666197776794,0.0535544790327549,1.0,1.0,2.2923844881006517e-05
lite,gap_mpvH_ppvHste,AtrialFibrillation,213,0.2666666805744171,0.26666662096977234,4.171694278717041,0.6666666865348816,0.6666666269302368,1.3664085865020752
lite,gap_mpvH_ppvHste,BasicMotions,114,1.0,1.0,0.0014877512585371733,1.0,1.0,1.8122504116035998e-05
lite,gap_mpvH_ppvHste,Cricket,377,0.9861111044883728,0.986111044883728,0.014207205735147,1.0,1.0,4.569686780087068e-07
lite,gap_mpvH_ppvHste,DuckDuckGeese,1044,0.6200000047683716,0.6199999451637268,1.7237765789031982,1.0,1.0,5.249955393082928e-06
lite,gap_mpvH_ppvHste,EigenWorms,4383,0.9312977194786072,0.9312977194786072,0.2472667247056961,1.0,1.0,6.522572948597372e-05
lite,gap_mpvH_ppvHste,Epilepsy,168,0.9927536249160767,0.9927535653114319,0.008345650508999825,1.0,1.0,1.9647729914140655e-06
lite,gap_mpvH_ppvHste,EthanolConcentration,957,0.3954372704029083,0.39543721079826355,3.4138481616973877,1.0,1.0,0.002051370916888118
lite,gap_mpvH_ppvHste,ERing,110,0.9518518447875977,0.9518517851829529,0.142288476228714,1.0,1.0,1.1821504813269712e-05
lite,gap_mpvH_ppvHste,FaceDetection,4623,0.6484109163284302,0.6484108567237854,2.8925437927246094,1.0,1.0,3.240305090912443e-08
lite,gap_mpvH_ppvHste,FingerMovements,225,0.5199999809265137,0.5199999213218689,4.487818241119385,1.0,1.0,1.6825100601636223e-07
lite,gap_mpvH_ppvHste,HandMovementDirection,279,0.3243243098258972,0.32432425022125244,3.2862470149993896,1.0,1.0,3.449617338446842e-07
lite,gap_mpvH_ppvHste,Handwriting,165,0.5882353186607361,0.5882352590560913,2.491948127746582,1.0,1.0,1.8191313984061708e-06
lite,gap_mpvH_ppvHste,Heartbeat,519,0.712195098400116,0.7121950387954712,1.9068496227264404,1.0,1.0,2.6062397751047683e-07
lite,gap_mpvH_ppvHste,Libras,142,0.855555534362793,0.8555554747581482,0.9443216323852539,1.0,1.0,6.664923421340063e-05
lite,gap_mpvH_ppvHste,LSST,865,0.5397404432296753,0.5397403836250305,5.562466144561768,1.0,1.0,1.0991210501742898e-06
lite,gap_mpvH_ppvHste,MotorImagery,3904,0.47999998927116394,0.47999992966651917,7.271307468414307,1.0,1.0,1.2599729416251648e-05
lite,gap_mpvH_ppvHste,NATOPS,171,0.894444465637207,0.8944444060325623,0.4459832012653351,1.0,1.0,3.565057340892963e-05
lite,gap_mpvH_ppvHste,PenDigits,2098,0.9797027111053467,0.9797026515007019,0.2085970640182495,1.0,1.0,9.178465099068944e-09
lite,gap_mpvH_ppvHste,PEMS-SF,1938,0.7167630195617676,0.7167629599571228,1.5540974140167236,1.0,1.0,0.0
lite,gap_mpvH_ppvHste,PhonemeSpectra,2805,0.22487324476242065,0.22487320005893707,7.939126491546631,1.0,1.0,0.001736234175041318
lite,gap_mpvH_ppvHste,RacketSports,126,0.8815789222717285,0.8815788626670837,0.6541600227355957,1.0,1.0,0.00010281849972670898
lite,gap_mpvH_ppvHste,SelfRegulationSCP1,562,0.76450514793396,0.7645050883293152,1.0928188562393188,1.0,1.0,6.768098046450177e-06
lite,gap_mpvH_ppvHste,SelfRegulationSCP2,572,0.5222222208976746,0.5222221612930298,2.483794927597046,1.0,1.0,5.41071203770116e-05
lite,gap_mpvH_ppvHste,StandWalkJump,276,0.2666666805744171,0.26666662096977234,4.452315330505371,0.5,0.4999999403953552,2.557504415512085
lite,gap_mpvH_ppvHste,UWaveGestureLibrary,183,0.90625,0.9062499403953552,0.582325279712677,1.0,1.0,1.0659282452252228e-06
