model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gap_ppvHste,ArticularyWordRecognition,251,0.9933333396911621,0.9933332800865173,0.021476222202181816,1.0,1.0,3.916573405149393e-05
lite,gap_ppvHste,AtrialFibrillation,253,0.4000000059604645,0.3999999761581421,2.3693604469299316,0.4000000059604645,0.3999999761581421,1.8905407190322876
lite,gap_ppvHste,BasicMotions,111,1.0,1.0,0.0054988861083984375,1.0,1.0,2.5060309781110846e-05
lite,gap_ppvHste,Cricket,375,0.9861111044883728,0.986111044883728,0.032229553908109665,1.0,1.0,2.814662991568184e-07
lite,gap_ppvHste,DuckDuckGeese,1079,0.6800000071525574,0.6799999475479126,1.6987419128417969,1.0,1.0,6.689993824693374e-06
lite,gap_ppvHste,EigenWorms,4405,0.9694656729698181,0.9694656133651733,0.2272968888282776,1.0,1.0,6.954422860872e-05
lite,gap_ppvHste,Epilepsy,164,1.0,1.0,0.003518804209306836,1.0,1.0,1.124332811741624e-05
lite,gap_ppvHste,EthanolConcentration,963,0.3346007466316223,0.33460068702697754,3.9890921115875244,1.0,1.0,0.0011114247608929873
lite,gap_ppvHste,ERing,105,0.9407407641410828,0.940740704536438,0.15896829962730408,1.0,1.0,6.072693213354796e-05
lite,gap_ppvHste,FaceDetection,4578,0.6560726165771484,0.6560725569725037,2.437131404876709,1.0,1.0,2.989320933011186e-07
lite,gap_ppvHste,FingerMovements,221,0.550000011920929,0.5499999523162842,3.848452091217041,1.0,1.0,3.4291502970518195e-07
lite,gap_ppvHste,HandMovementDirection,274,0.3918918967247009,0.39189186692237854,2.619579792022705,1.0,1.0,2.316382278877427e-06
lite,gap_ppvHste,Handwriting,160,0.589411735534668,0.5894116759300232,2.5302815437316895,1.0,1.0,1.4273311990109505e-06
lite,gap_ppvHste,Heartbeat,520,0.7414634227752686,0.7414634227752686,1.8087760210037231,1.0,1.0,4.6339633286152093e-07
lite,gap_ppvHste,Libras,136,0.855555534362793,0.8555554747581482,1.0186973810195923,1.0,1.0,8.826013799989596e-05
lite,gap_ppvHste,LSST,862,0.5271695256233215,0.5271694660186768,5.632805824279785,1.0,1.0,1.923358468047809e-06
lite,gap_ppvHste,MotorImagery,3940,0.44999998807907104,0.44999992847442627,3.410695791244507,1.0,1.0,1.6572814274695702e-05
lite,gap_ppvHste,NATOPS,180,0.8666666746139526,0.8666666150093079,0.7720521092414856,1.0,1.0,7.40118048270233e-05
lite,gap_ppvHste,PenDigits,2132,0.9808462262153625,0.9808461666107178,0.24237428605556488,1.0,1.0,7.612877794827e-08
lite,gap_ppvHste,PEMS-SF,2013,0.7109826803207397,0.710982620716095,1.4260826110839844,1.0,1.0,2.187735859138229e-08
lite,gap_ppvHste,PhonemeSpectra,2828,0.205785870552063,0.2057858407497406,7.596564769744873,1.0,1.0,0.004495910368859768
lite,gap_ppvHste,RacketSports,126,0.8552631735801697,0.8552631139755249,0.5467053651809692,1.0,1.0,0.0001830288238124922
lite,gap_ppvHste,SelfRegulationSCP1,570,0.7098976373672485,0.7098975777626038,1.4563308954238892,1.0,1.0,1.6332001905539073e-05
lite,gap_ppvHste,SelfRegulationSCP2,583,0.4888888895511627,0.48888882994651794,2.343675374984741,1.0,1.0,3.518456287565641e-05
lite,gap_ppvHste,StandWalkJump,230,0.4000000059604645,0.3999999761581421,2.8382294178009033,0.6666666865348816,0.6666666269302368,1.0925374031066895
lite,gap_ppvHste,UWaveGestureLibrary,183,0.925000011920929,0.9249999523162842,0.35619983077049255,1.0,1.0,1.2278544545551995e-06
