model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gmp,ArticularyWordRecognition,224,0.9666666388511658,0.966666579246521,0.09243789315223694,1.0,1.0,4.469239229365485e-06
lite,gmp,AtrialFibrillation,255,0.20000000298023224,0.19999997317790985,3.004930019378662,1.0,1.0,1.398705080646323e-05
lite,gmp,BasicMotions,117,0.925000011920929,0.9249999523162842,0.29161888360977173,1.0,1.0,1.4901159417490817e-08
lite,gmp,Cricket,295,1.0,1.0,0.019563356414437294,1.0,1.0,2.2075791861198013e-08
lite,gmp,DuckDuckGeese,1534,0.41999998688697815,0.4199999272823334,1.6593070030212402,1.0,1.0,0.0
lite,gmp,EigenWorms,3080,0.6870229244232178,0.687022864818573,1.7617899179458618,1.0,1.0,4.8428766774577525e-08
lite,gmp,Epilepsy,162,0.9927536249160767,0.9927535653114319,0.02589358761906624,1.0,1.0,9.615047247280017e-07
lite,gmp,EthanolConcentration,685,0.3802281320095062,0.38022807240486145,4.275811672210693,1.0,1.0,1.988661097129807e-05
lite,gmp,ERing,120,0.8999999761581421,0.8999999165534973,0.3349112272262573,1.0,1.0,7.947285496356926e-09
lite,gmp,FaceDetection,4044,0.6498297452926636,0.6498296856880188,3.8562586307525635,1.0,1.0,0.0
lite,gmp,FingerMovements,233,0.47999998927116394,0.47999992966651917,2.4907453060150146,1.0,1.0,0.0
lite,gmp,HandMovementDirection,276,0.18918919563293457,0.189189150929451,2.45497989654541,1.0,1.0,3.9786090155757847e-07
lite,gmp,Handwriting,168,0.361176460981369,0.36117640137672424,3.1194114685058594,1.0,1.0,6.405509793694364e-07
lite,gmp,Heartbeat,514,0.707317054271698,0.7073169946670532,1.6593579053878784,1.0,1.0,0.0
lite,gmp,Libras,147,0.8222222328186035,0.8222221732139587,0.98029625415802,1.0,1.0,1.4913526683812961e-05
lite,gmp,LSST,822,0.4882400631904602,0.48824000358581543,4.748330593109131,1.0,1.0,6.944518418094958e-07
lite,gmp,MotorImagery,3122,0.47999998927116394,0.47999992966651917,2.766818046569824,1.0,1.0,6.432155696955988e-09
lite,gmp,NATOPS,171,0.8666666746139526,0.8666666150093079,0.40972185134887695,1.0,1.0,2.3537163542641792e-06
lite,gmp,PenDigits,2021,0.9828473329544067,0.982847273349762,0.16882804036140442,1.0,1.0,7.476426699959404e-10
lite,gmp,PEMS-SF,2561,0.7919074892997742,0.7919074296951294,0.727373480796814,1.0,1.0,0.0
lite,gmp,PhonemeSpectra,2100,0.18729496002197266,0.18729491531848907,9.933390617370605,1.0,1.0,0.000239445231272839
lite,gmp,RacketSports,145,0.8881579041481018,0.888157844543457,0.5233750343322754,1.0,1.0,3.4815411709132604e-07
lite,gmp,SelfRegulationSCP1,466,0.788395881652832,0.7883958220481873,1.5332465171813965,1.0,1.0,1.3344322313812995e-09
lite,gmp,SelfRegulationSCP2,460,0.5222222208976746,0.5222221612930298,1.8909964561462402,1.0,1.0,4.4506637095764745e-06
lite,gmp,StandWalkJump,289,0.3333333432674408,0.333333283662796,4.663821220397949,0.9166666865348816,0.9166666269302368,0.1269749402999878
lite,gmp,UWaveGestureLibrary,168,0.765625,0.7656249403953552,1.2689720392227173,1.0,1.0,2.811351578202448e-07
