model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gmp_mmp2_mmp4_mmp8,ArticularyWordRecognition,276,0.9833333492279053,0.9833332896232605,0.03446235507726669,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,AtrialFibrillation,260,0.2666666805744171,0.26666662096977234,2.9255783557891846,1.0,1.0,7.03327941664611e-06
lite,gmp_mmp2_mmp4_mmp8,BasicMotions,123,0.949999988079071,0.9499999284744263,0.09845198690891266,1.0,1.0,2.9802320611338473e-09
lite,gmp_mmp2_mmp4_mmp8,Cricket,390,0.9861111044883728,0.986111044883728,0.10001969337463379,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,DuckDuckGeese,1683,0.3799999952316284,0.37999993562698364,1.6260323524475098,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,EigenWorms,4456,0.7099236845970154,0.7099236845970154,1.3568943738937378,1.0,1.0,1.6763804566721774e-08
lite,gmp_mmp2_mmp4_mmp8,Epilepsy,168,0.9927536249160767,0.9927535653114319,0.014712067320942879,1.0,1.0,2.627823789680406e-07
lite,gmp_mmp2_mmp4_mmp8,EthanolConcentration,955,0.3954372704029083,0.39543721079826355,4.531865119934082,1.0,1.0,1.0244034456263762e-05
lite,gmp_mmp2_mmp4_mmp8,ERing,121,0.9407407641410828,0.940740704536438,0.1823132336139679,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,FaceDetection,4630,0.657207727432251,0.6572076678276062,5.895421504974365,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,FingerMovements,264,0.49000000953674316,0.4899999499320984,2.81524658203125,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,HandMovementDirection,364,0.4324324429035187,0.4324323832988739,1.582950472831726,1.0,1.0,1.4975665862948517e-07
lite,gmp_mmp2_mmp4_mmp8,Handwriting,179,0.40117648243904114,0.40117642283439636,3.3916714191436768,1.0,1.0,1.3669328779997159e-07
lite,gmp_mmp2_mmp4_mmp8,Heartbeat,613,0.707317054271698,0.7073169946670532,1.6749554872512817,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,Libras,143,0.8111110925674438,0.8111110329627991,1.531339406967163,1.0,1.0,5.198845656195772e-07
lite,gmp_mmp2_mmp4_mmp8,LSST,868,0.48012977838516235,0.4801297187805176,6.57793664932251,1.0,1.0,2.6905713212954652e-08
lite,gmp_mmp2_mmp4_mmp8,MotorImagery,4030,0.4399999976158142,0.43999993801116943,2.189450263977051,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,NATOPS,194,0.8222222328186035,0.8222221732139587,0.5796447992324829,1.0,1.0,3.708733231633232e-08
lite,gmp_mmp2_mmp4_mmp8,PenDigits,1976,0.980560302734375,0.9805602431297302,0.3977876305580139,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,PEMS-SF,2786,0.7919074892997742,0.7919074296951294,0.5443992614746094,1.0,1.0,0.0
lite,gmp_mmp2_mmp4_mmp8,PhonemeSpectra,2844,0.20638234913349152,0.20638230443000793,10.577574729919434,1.0,1.0,1.2182997124909889e-05
lite,gmp_mmp2_mmp4_mmp8,RacketSports,146,0.8289473652839661,0.8289473056793213,1.1353751420974731,1.0,1.0,1.5789308749347697e-09
lite,gmp_mmp2_mmp4_mmp8,SelfRegulationSCP1,593,0.7747440338134766,0.7747439742088318,1.3773585557937622,1.0,1.0,8.89621487587533e-10
lite,gmp_mmp2_mmp4_mmp8,SelfRegulationSCP2,619,0.5277777910232544,0.5277777314186096,1.9596315622329712,1.0,1.0,3.69548764922456e-08
lite,gmp_mmp2_mmp4_mmp8,StandWalkJump,311,0.46666666865348816,0.4666666090488434,2.400646448135376,1.0,1.0,0.000533902260940522
lite,gmp_mmp2_mmp4_mmp8,UWaveGestureLibrary,192,0.8968750238418579,0.8968749642372131,0.6479265689849854,1.0,1.0,2.086162353975851e-08
