model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,gru128,ArticularyWordRecognition,434,0.9333333373069763,0.9333332777023315,0.40347790718078613,1.0,1.0,1.2484461819894932e-07
lite,gru128,AtrialFibrillation,688,0.20000000298023224,0.19999997317790985,8.054769515991211,1.0,1.0,1.5099840311449952e-07
lite,gru128,BasicMotions,232,0.8999999761581421,0.8999999165534973,0.7500016093254089,1.0,1.0,9.238714255843661e-07
lite,gru128,Cricket,788,0.9027777910232544,0.9027777314186096,0.4817473590373993,1.0,1.0,9.137595043284819e-06
lite,gru128,DuckDuckGeese,3034,0.25999999046325684,0.25999993085861206,5.606051445007324,1.0,1.0,0.0
lite,gru128,EigenWorms,9662,0.4122137427330017,0.4122137129306793,6.267907619476318,1.0,1.0,6.733458803864778e-07
lite,gru128,Epilepsy,302,0.8623188138008118,0.862318754196167,0.9837055802345276,1.0,1.0,6.056175720914325e-07
lite,gru128,EthanolConcentration,1675,0.32699620723724365,0.3269961476325989,6.465338230133057,1.0,1.0,8.160841389326379e-05
lite,gru128,ERing,240,0.9037036895751953,0.9037036299705505,0.6576123237609863,1.0,1.0,3.973642748178463e-09
lite,gru128,FaceDetection,7200,0.6484109163284302,0.6484108567237854,6.245085716247559,1.0,1.0,0.0
lite,gru128,FingerMovements,396,0.5099999904632568,0.5099999308586121,5.865675449371338,1.0,1.0,0.0
lite,gru128,HandMovementDirection,453,0.28378379344940186,0.2837837338447571,7.833156108856201,1.0,1.0,7.450580152834618e-10
lite,gru128,Handwriting,266,0.33529412746429443,0.33529406785964966,5.9593305587768555,1.0,1.0,2.031050098594278e-05
lite,gru128,Heartbeat,697,0.6878048777580261,0.6878048181533813,3.8489692211151123,1.0,1.0,5.843592276733034e-10
lite,gru128,Libras,259,0.7944444417953491,0.7944443821907043,1.7812045812606812,1.0,1.0,2.0934421627316624e-06
lite,gru128,LSST,2121,0.4574209153652191,0.45742085576057434,7.813209056854248,1.0,1.0,1.0277497963784299e-08
lite,gru128,MotorImagery,4324,0.5400000214576721,0.5399999618530273,6.154474258422852,1.0,1.0,8.576207521926449e-10
lite,gru128,NATOPS,299,0.8055555820465088,0.8055555820465088,2.0455591678619385,1.0,1.0,0.0
lite,gru128,PenDigits,5758,0.9837049841880798,0.9837049245834351,0.21732854843139648,1.0,1.0,0.0
lite,gru128,PEMS-SF,4201,0.8554913401603699,0.8554912209510803,0.6620070338249207,1.0,1.0,0.0
lite,gru128,PhonemeSpectra,4454,0.19803161919116974,0.19803157448768616,8.78415584564209,1.0,1.0,2.5200026357197203e-05
lite,gru128,RacketSports,237,0.8092105388641357,0.809210479259491,2.360117197036743,1.0,1.0,2.605235849273413e-08
lite,gru128,SelfRegulationSCP1,1004,0.6484641432762146,0.6484640836715698,5.082926273345947,1.0,1.0,0.0
lite,gru128,SelfRegulationSCP2,989,0.5833333134651184,0.5833332538604736,5.4380693435668945,1.0,1.0,5.9604643443123e-10
lite,gru128,StandWalkJump,1403,0.3333333432674408,0.333333283662796,9.116277694702148,1.0,1.0,4.967053257587395e-08
lite,gru128,UWaveGestureLibrary,329,0.671875,0.6718749403953552,2.678736448287964,1.0,1.0,3.444145022513112e-06
