model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,map2,ArticularyWordRecognition,261,0.9933333396911621,0.9933332800865173,0.017507826909422874,1.0,1.0,3.12066777041764e-06
lite,map2,AtrialFibrillation,275,0.3333333432674408,0.333333283662796,3.5066442489624023,1.0,1.0,0.007457508705556393
lite,map2,BasicMotions,123,0.9750000238418579,0.9749999642372131,0.1658293455839157,1.0,1.0,2.086162353975851e-08
lite,map2,Cricket,413,1.0,1.0,0.006494696252048016,1.0,1.0,6.401979391057466e-08
lite,map2,DuckDuckGeese,1344,0.4000000059604645,0.3999999761581421,2.0700924396514893,1.0,1.0,1.0728834354267747e-07
lite,map2,EigenWorms,15596,0.9541984796524048,0.95419842004776,0.24301408231258392,1.0,1.0,3.083229239564389e-05
lite,map2,Epilepsy,171,0.9927536249160767,0.9927535653114319,0.03051748126745224,1.0,1.0,4.789211743627675e-06
lite,map2,EthanolConcentration,1224,0.32319390773773193,0.32319384813308716,5.2330756187438965,1.0,1.0,0.00018619657203089446
lite,map2,ERing,118,0.9370370507240295,0.93703693151474,0.2057371586561203,1.0,1.0,7.947285496356926e-09
lite,map2,FaceDetection,4617,0.6498297452926636,0.6498296856880188,5.138727188110352,1.0,1.0,0.0
lite,map2,FingerMovements,250,0.6000000238418579,0.5999999642372131,5.075279712677002,1.0,1.0,0.0
lite,map2,HandMovementDirection,310,0.45945945382118225,0.4594593942165375,2.473060369491577,1.0,1.0,7.599591356211022e-08
lite,map2,Handwriting,173,0.5811764597892761,0.5811764001846313,2.9720828533172607,1.0,1.0,1.389978820043325e-06
lite,map2,Heartbeat,599,0.6975609660148621,0.6975609064102173,1.2363687753677368,1.0,1.0,5.843592276733034e-08
lite,map2,Libras,148,0.8388888835906982,0.8388888239860535,0.9085204005241394,1.0,1.0,4.187479862594046e-05
lite,map2,LSST,878,0.5332522392272949,0.5332521796226501,5.929896831512451,1.0,1.0,4.0934969547379296e-07
lite,map2,MotorImagery,4775,0.4699999988079071,0.46999993920326233,3.5160019397735596,1.0,1.0,0.0
lite,map2,NATOPS,179,0.8722222447395325,0.8722221851348877,0.4880959391593933,1.0,1.0,3.4563893223094055e-06
lite,map2,PenDigits,2093,0.9748427867889404,0.9748427271842957,0.32652556896209717,1.0,1.0,1.5907296313510955e-11
lite,map2,PEMS-SF,2260,0.7167630195617676,0.7167629599571228,1.1868880987167358,1.0,1.0,0.0
lite,map2,PhonemeSpectra,2846,0.22487324476242065,0.22487320005893707,8.678031921386719,1.0,1.0,0.000392374669900164
lite,map2,RacketSports,136,0.8815789222717285,0.8815788626670837,1.0551670789718628,1.0,1.0,7.057816446831566e-07
lite,map2,SelfRegulationSCP1,649,0.7747440338134766,0.7747439742088318,1.2892992496490479,1.0,1.0,1.1209230166286943e-07
lite,map2,SelfRegulationSCP2,687,0.5111111402511597,0.5111110806465149,2.5441057682037354,1.0,1.0,4.2599222069839016e-06
lite,map2,StandWalkJump,354,0.3333333432674408,0.333333283662796,2.4194843769073486,0.8333333134651184,0.8333332538604736,0.22369225323200226
lite,map2,UWaveGestureLibrary,185,0.9281250238418579,0.9281249642372131,0.4755423963069916,1.0,1.0,2.3543832128325448e-07
