model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,mpvH,ArticularyWordRecognition,216,0.9900000095367432,0.9899999499320984,0.051935337483882904,1.0,1.0,6.426437175832689e-05
lite,mpvH,AtrialFibrillation,227,0.2666666805744171,0.26666662096977234,1.9392937421798706,0.2666666805744171,0.26666662096977234,2.105386972427368
lite,mpvH,BasicMotions,118,1.0,1.0,0.015399491414427757,1.0,1.0,7.876295421738178e-05
lite,mpvH,Cricket,275,0.9861111044883728,0.986111044883728,0.02041129395365715,1.0,1.0,7.770672709739301e-07
lite,mpvH,DuckDuckGeese,834,0.5400000214576721,0.5399999618530273,1.7789056301116943,1.0,1.0,1.6021209376049228e-05
lite,mpvH,EigenWorms,2640,0.9465649127960205,0.9465648531913757,0.37067729234695435,1.0,1.0,0.0001973935723071918
lite,mpvH,Epilepsy,152,0.9927536249160767,0.9927535653114319,0.016004761680960655,1.0,1.0,1.5296753190341406e-05
lite,mpvH,EthanolConcentration,595,0.3612167239189148,0.36121666431427,3.5478644371032715,1.0,1.0,0.004003020469099283
lite,mpvH,ERing,115,0.9111111164093018,0.911111056804657,0.25488147139549255,1.0,1.0,0.00012457239790819585
lite,mpvH,FaceDetection,2994,0.664869487285614,0.6648694276809692,2.3230972290039062,1.0,1.0,8.3876966527896e-07
lite,mpvH,FingerMovements,200,0.5600000023841858,0.559999942779541,3.780036211013794,1.0,1.0,1.2309441217439598e-06
lite,mpvH,HandMovementDirection,205,0.21621622145175934,0.21621617674827576,2.7694509029388428,1.0,1.0,1.4953299114495167e-06
lite,mpvH,Handwriting,157,0.5835294127464294,0.5835293531417847,2.5778939723968506,1.0,1.0,3.876675236824667e-06
lite,mpvH,Heartbeat,339,0.712195098400116,0.7121950387954712,1.7905194759368896,1.0,1.0,6.235106297935999e-07
lite,mpvH,Libras,140,0.8777777552604675,0.8777776956558228,0.8042773604393005,1.0,1.0,0.0003315610229037702
lite,mpvH,LSST,717,0.5344687700271606,0.5344687104225159,5.434901714324951,1.0,1.0,1.923631543832016e-06
lite,mpvH,MotorImagery,2044,0.4699999988079071,0.46999993920326233,4.575981140136719,1.0,1.0,2.57702140515903e-05
lite,mpvH,NATOPS,155,0.8888888955116272,0.8888888359069824,0.5381006002426147,1.0,1.0,7.45952784200199e-05
lite,mpvH,PenDigits,1953,0.9799885749816895,0.9799885153770447,0.2387230098247528,1.0,1.0,2.1283707241082084e-08
lite,mpvH,PEMS-SF,1342,0.7109826803207397,0.710982620716095,1.2513567209243774,1.0,1.0,7.724047179635818e-08
lite,mpvH,PhonemeSpectra,1756,0.23053981363773346,0.23053976893424988,6.72747278213501,1.0,1.0,0.006353793665766716
lite,mpvH,RacketSports,135,0.9013158082962036,0.9013157486915588,0.40274643898010254,1.0,1.0,0.00010180378740187734
lite,mpvH,SelfRegulationSCP1,405,0.7781569957733154,0.7781569361686707,0.8696098923683167,1.0,1.0,1.2401498679537326e-05
lite,mpvH,SelfRegulationSCP2,383,0.5333333611488342,0.5333333015441895,1.673890233039856,1.0,1.0,3.625304816523567e-05
lite,mpvH,StandWalkJump,217,0.2666666805744171,0.26666662096977234,7.386123180389404,0.4166666567325592,0.41666659712791443,8.495148658752441
lite,mpvH,UWaveGestureLibrary,158,0.903124988079071,0.9031249284744263,0.4465755820274353,1.0,1.0,3.886205831804546e-06
