model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,ppvH,ArticularyWordRecognition,286,0.699999988079071,0.6999999284744263,1.3667149543762207,0.8509091138839722,0.8509091138839722,1.1246501207351685
lite,ppvH,AtrialFibrillation,194,0.2666666805744171,0.26666662096977234,1.1711252927780151,0.5333333611488342,0.5333333015441895,1.0501517057418823
lite,ppvH,BasicMotions,161,0.949999988079071,0.9499999284744263,0.5514450073242188,0.925000011920929,0.9249999523162842,0.5492797493934631
lite,ppvH,Cricket,253,0.8611111044883728,0.861111044883728,0.5746230483055115,0.9444444179534912,0.9444443583488464,0.4629811942577362
lite,ppvH,DuckDuckGeese,650,0.2800000011920929,0.2799999415874481,1.5110396146774292,0.5400000214576721,0.5399999618530273,1.3442320823669434
lite,ppvH,EigenWorms,2006,0.7175572514533997,0.7175571918487549,0.8550518751144409,0.78125,0.7812499403953552,0.8051431179046631
lite,ppvH,Epilepsy,204,0.7753623127937317,0.7753621935844421,0.7024791836738586,0.7737226486206055,0.7737225890159607,0.6415632367134094
lite,ppvH,EthanolConcentration,425,0.26996198296546936,0.2699619233608246,1.3886104822158813,0.3103448152542114,0.31034475564956665,1.3763571977615356
lite,ppvH,ERing,156,0.7444444298744202,0.7444443702697754,1.1740642786026,0.9333333373069763,0.9333332777023315,0.9871727228164673
lite,ppvH,FaceDetection,2261,0.5235527753829956,0.5235527157783508,0.6915757656097412,0.537521243095398,0.5375211834907532,0.6881827712059021
lite,ppvH,FingerMovements,245,0.46000000834465027,0.4599999487400055,0.705729603767395,0.5601266026496887,0.560126543045044,0.6809833645820618
lite,ppvH,HandMovementDirection,200,0.2567567527294159,0.2567566931247711,1.3775591850280762,0.3125,0.3124999403953552,1.373793363571167
lite,ppvH,Handwriting,191,0.13647058606147766,0.13647054135799408,3.1952877044677734,0.273333340883255,0.27333328127861023,2.6117594242095947
lite,ppvH,Heartbeat,277,0.7219512462615967,0.7219511866569519,0.5780828595161438,0.720588207244873,0.7205881476402283,0.5723909735679626
lite,ppvH,Libras,194,0.6388888955116272,0.6388888359069824,1.2920423746109009,0.7722222208976746,0.7722222208976746,1.0982756614685059
lite,ppvH,LSST,760,0.38483375310897827,0.3848337233066559,1.8314176797866821,0.40626269578933716,0.4062626361846924,1.7591725587844849
lite,ppvH,MotorImagery,1312,0.5,0.4999999403953552,0.6988700032234192,0.5503597259521484,0.5503596663475037,0.6854426860809326
lite,ppvH,NATOPS,228,0.5833333134651184,0.5833332538604736,1.1430304050445557,0.7111111283302307,0.7111110091209412,0.993328869342804
lite,ppvH,PenDigits,2042,0.8161806464195251,0.8161805868148804,0.5930109024047852,0.863090455532074,0.8630903959274292,0.4359807074069977
lite,ppvH,PEMS-SF,1560,0.31213873624801636,0.3121386766433716,1.5690878629684448,0.5430711507797241,0.5430710911750793,1.31997811794281
lite,ppvH,PhonemeSpectra,1357,0.15061138570308685,0.15061134099960327,2.9876201152801514,0.20603318512439728,0.2060331255197525,2.8421943187713623
lite,ppvH,RacketSports,183,0.5657894611358643,0.5657894015312195,1.015519618988037,0.7152317762374878,0.715231716632843,0.9041438698768616
lite,ppvH,SelfRegulationSCP1,304,0.638225257396698,0.6382251977920532,0.6864876747131348,0.7276119589805603,0.7276118993759155,0.5520647168159485
lite,ppvH,SelfRegulationSCP2,285,0.4722222089767456,0.47222214937210083,0.7012579441070557,0.5849999785423279,0.5849999189376831,0.6889767646789551
lite,ppvH,StandWalkJump,251,0.3333333432674408,0.333333283662796,1.0368865728378296,0.5,0.4999999403953552,0.8971168398857117
lite,ppvH,UWaveGestureLibrary,209,0.6875,0.6874999403953552,1.1019233465194702,0.7749999761581421,0.7749999165534973,0.850817084312439
