model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
lite,ppvS,ArticularyWordRecognition,268,0.9866666793823242,0.9866666197776794,0.07142820209264755,1.0,1.0,0.0049491627141833305
lite,ppvS,AtrialFibrillation,223,0.0,0.0,5.625550270080566,0.8666666746139526,0.8666666150093079,0.5691419839859009
lite,ppvS,BasicMotions,117,0.9750000238418579,0.9749999642372131,0.05868462473154068,1.0,1.0,0.0007519981008954346
lite,ppvS,Cricket,383,0.9861111044883728,0.986111044883728,0.021930299699306488,1.0,1.0,0.00011841226660180837
lite,ppvS,DuckDuckGeese,1359,0.6600000262260437,0.6599999666213989,1.6674691438674927,1.0,1.0,0.0002643975894898176
lite,ppvS,EigenWorms,4437,0.9618320465087891,0.9618319869041443,0.2103051245212555,1.0,1.0,0.0008894087513908744
lite,ppvS,Epilepsy,176,1.0,1.0,0.008497423492372036,1.0,1.0,0.0002899761020671576
lite,ppvS,EthanolConcentration,973,0.30038022994995117,0.3003801703453064,1.406875729560852,0.4789271950721741,0.4789271354675293,1.1882855892181396
lite,ppvS,ERing,121,0.9333333373069763,0.9333332777023315,0.21099869906902313,1.0,1.0,0.00591904716566205
lite,ppvS,FaceDetection,4680,0.5959137082099915,0.5959136486053467,3.918339729309082,1.0,1.0,8.257389708887786e-06
lite,ppvS,FingerMovements,244,0.5799999833106995,0.5799999237060547,3.561108112335205,1.0,1.0,5.981222420814447e-05
lite,ppvS,HandMovementDirection,305,0.4054054021835327,0.40540534257888794,2.6642673015594482,1.0,1.0,0.00028477772139012814
lite,ppvS,Handwriting,175,0.5635294318199158,0.563529372215271,1.8191299438476562,1.0,1.0,0.038200993090867996
lite,ppvS,Heartbeat,556,0.6780487895011902,0.6780487298965454,1.7068893909454346,1.0,1.0,1.2139735190430656e-05
lite,ppvS,Libras,151,0.8388888835906982,0.8388888239860535,0.5319599509239197,0.9944444298744202,0.9944443702697754,0.050307050347328186
lite,ppvS,LSST,893,0.5689375400543213,0.5689374804496765,1.6531593799591064,0.8743391633033752,0.8743391036987305,0.4151414632797241
lite,ppvS,MotorImagery,3984,0.4699999988079071,0.46999993920326233,2.956775426864624,1.0,1.0,3.934673441108316e-05
lite,ppvS,NATOPS,192,0.8722222447395325,0.8722221851348877,0.564684271812439,1.0,1.0,0.0020014855545014143
lite,ppvS,PenDigits,2120,0.975414514541626,0.9754144549369812,0.09932917356491089,0.9983987212181091,0.9983986616134644,0.00694630853831768
lite,ppvS,PEMS-SF,2458,0.7456647157669067,0.745664656162262,1.3751070499420166,1.0,1.0,7.796337740728632e-06
lite,ppvS,PhonemeSpectra,2823,0.3003280758857727,0.30032801628112793,2.4144222736358643,0.5149321556091309,0.5149320960044861,1.5704679489135742
lite,ppvS,RacketSports,143,0.7960526347160339,0.7960525751113892,0.4152449667453766,0.9867549538612366,0.9867548942565918,0.09693508595228195
lite,ppvS,SelfRegulationSCP1,571,0.7986348271369934,0.7986347079277039,0.7037448883056641,1.0,1.0,0.000544533075299114
lite,ppvS,SelfRegulationSCP2,590,0.47777777910232544,0.47777771949768066,1.989952564239502,1.0,1.0,0.0006318485829979181
lite,ppvS,StandWalkJump,253,0.46666666865348816,0.4666666090488434,2.277827501296997,0.6666666865348816,0.6666666269302368,1.2736884355545044
lite,ppvS,UWaveGestureLibrary,189,0.918749988079071,0.9187499284744263,0.33631592988967896,1.0,1.0,0.0009644704405218363
