model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap,ArticularyWordRecognition,269,0.9800000190734863,0.9799999594688416,0.10515996813774109,1.0,1.0,4.550701305561233e-06
resnet,gap,AtrialFibrillation,394,0.2666666805744171,0.26666662096977234,2.9366631507873535,0.4000000059604645,0.3999999761581421,1.9482828378677368
resnet,gap,BasicMotions,184,1.0,1.0,8.746877574594691e-05,1.0,1.0,1.4901159417490817e-08
resnet,gap,Cricket,248,0.9861111044883728,0.986111044883728,0.01235580537468195,1.0,1.0,2.0972002801045164e-08
resnet,gap,DuckDuckGeese,244,0.5,0.4999999403953552,1.9282199144363403,1.0,1.0,1.7189947811857564e-06
resnet,gap,EigenWorms,684,0.9083969593048096,0.9083968997001648,0.36232686042785645,1.0,1.0,3.0062824407650623e-06
resnet,gap,Epilepsy,213,0.9927536249160767,0.9927535653114319,0.03452518954873085,1.0,1.0,5.873445729775995e-07
resnet,gap,EthanolConcentration,307,0.19391635060310364,0.19391630589962006,5.52351188659668,1.0,1.0,6.45076870569028e-05
resnet,gap,ERing,178,0.8592592477798462,0.8592591881752014,0.611365795135498,1.0,1.0,3.1789138432714026e-08
resnet,gap,FaceDetection,2483,0.589387059211731,0.5893869996070862,5.484310150146484,1.0,1.0,0.0
resnet,gap,FingerMovements,270,0.5,0.4999999403953552,3.3532958030700684,1.0,1.0,4.904179107256823e-08
resnet,gap,HandMovementDirection,205,0.3243243098258972,0.32432425022125244,3.2132773399353027,1.0,1.0,7.003544766348568e-08
resnet,gap,Handwriting,200,0.6376470327377319,0.6376469731330872,1.682937741279602,1.0,1.0,3.6557512572699125e-08
resnet,gap,Heartbeat,255,0.7512195110321045,0.7512194514274597,1.8248358964920044,1.0,1.0,3.389282809962424e-08
resnet,gap,Libras,212,0.8500000238418579,0.8499999642372131,0.8508126139640808,1.0,1.0,1.3623960512632038e-05
resnet,gap,LSST,1024,0.587996780872345,0.5879967212677002,5.6615190505981445,1.0,1.0,1.4543628801266806e-10
resnet,gap,MotorImagery,482,0.5099999904632568,0.5099999308586121,2.9017608165740967,1.0,1.0,1.9648036868602503e-06
resnet,gap,NATOPS,220,0.8999999761581421,0.8999999165534973,0.5190581679344177,1.0,1.0,8.73726366990013e-06
resnet,gap,PenDigits,2924,0.9845626354217529,0.9845625758171082,0.14093361794948578,1.0,1.0,0.0
resnet,gap,PEMS-SF,362,0.8034682273864746,0.8034682273864746,1.195068120956421,1.0,1.0,6.697150833900878e-09
resnet,gap,PhonemeSpectra,1481,0.2922755777835846,0.2922755181789398,6.2979326248168945,1.0,1.0,1.5070302197273122e-06
resnet,gap,RacketSports,207,0.9078947305679321,0.9078947305679321,1.1113003492355347,1.0,1.0,7.894654374673848e-10
resnet,gap,SelfRegulationSCP1,256,0.7133105993270874,0.7133105397224426,1.679349660873413,1.0,1.0,5.448921456263633e-07
resnet,gap,SelfRegulationSCP2,244,0.5166666507720947,0.51666659116745,2.3138437271118164,1.0,1.0,3.4719323593890294e-06
resnet,gap,StandWalkJump,410,0.3333333432674408,0.333333283662796,1.5300496816635132,0.8333333134651184,0.8333332538604736,0.734475314617157
resnet,gap,UWaveGestureLibrary,209,0.875,0.8749999403953552,0.7563111782073975,1.0,1.0,1.9570185827433306e-07
