model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_gmp,ArticularyWordRecognition,247,0.9800000190734863,0.9799999594688416,0.06832105666399002,1.0,1.0,1.8886863699663081e-06
resnet,gap_gmp,AtrialFibrillation,319,0.20000000298023224,0.19999997317790985,4.784338474273682,0.9333333373069763,0.9333332777023315,0.07201815396547318
resnet,gap_gmp,BasicMotions,145,0.925000011920929,0.9249999523162842,0.2417442798614502,1.0,1.0,0.0
resnet,gap_gmp,Cricket,310,0.9861111044883728,0.986111044883728,0.04530154541134834,1.0,1.0,1.2141685878930275e-08
resnet,gap_gmp,DuckDuckGeese,252,0.3799999952316284,0.37999993562698364,2.8416991233825684,1.0,1.0,0.0
resnet,gap_gmp,EigenWorms,2846,0.8244274854660034,0.8244274854660034,0.6474349498748779,1.0,1.0,5.075705189483415e-07
resnet,gap_gmp,Epilepsy,207,0.9637681245803833,0.9637680649757385,0.1044459342956543,1.0,1.0,0.0
resnet,gap_gmp,EthanolConcentration,714,0.21292775869369507,0.21292772889137268,7.541017532348633,1.0,1.0,8.351891665370204e-06
resnet,gap_gmp,ERing,152,0.885185182094574,0.8851851224899292,0.5082395076751709,1.0,1.0,0.0
resnet,gap_gmp,FaceDetection,3138,0.5760499238967896,0.5760498642921448,6.059983253479004,1.0,1.0,0.0
resnet,gap_gmp,FingerMovements,263,0.5,0.4999999403953552,1.962403416633606,1.0,1.0,0.0
resnet,gap_gmp,HandMovementDirection,256,0.31081080436706543,0.31081074476242065,2.3532207012176514,1.0,1.0,0.0
resnet,gap_gmp,Handwriting,205,0.4247058928012848,0.42470583319664,3.3132688999176025,1.0,1.0,0.0
resnet,gap_gmp,Heartbeat,298,0.712195098400116,0.7121950387954712,1.9482192993164062,1.0,1.0,0.0
resnet,gap_gmp,Libras,194,0.8277778029441833,0.8277777433395386,1.0478557348251343,1.0,1.0,8.033370022531017e-07
resnet,gap_gmp,LSST,1223,0.6090835332870483,0.6090834736824036,4.086567401885986,1.0,1.0,0.0
resnet,gap_gmp,MotorImagery,1307,0.4699999988079071,0.46999993920326233,2.756115198135376,1.0,1.0,0.0
resnet,gap_gmp,NATOPS,186,0.9055555462837219,0.9055554866790771,0.43038833141326904,1.0,1.0,2.980229112381494e-07
resnet,gap_gmp,PenDigits,3156,0.9837049841880798,0.9837049245834351,0.17360058426856995,1.0,1.0,0.0
resnet,gap_gmp,PEMS-SF,410,0.8208092451095581,0.8208091855049133,1.014229655265808,1.0,1.0,0.0
resnet,gap_gmp,PhonemeSpectra,2206,0.24515359103679657,0.245153546333313,10.179011344909668,1.0,1.0,4.315267310150972e-10
resnet,gap_gmp,RacketSports,170,0.8092105388641357,0.809210479259491,1.1926132440567017,1.0,1.0,0.0
resnet,gap_gmp,SelfRegulationSCP1,475,0.7918089032173157,0.7918088436126709,1.6970189809799194,1.0,1.0,0.0
resnet,gap_gmp,SelfRegulationSCP2,454,0.5333333611488342,0.5333333015441895,3.659414768218994,1.0,1.0,0.0
resnet,gap_gmp,StandWalkJump,341,0.46666666865348816,0.4666666090488434,5.86561393737793,0.75,0.7499999403953552,0.3400324285030365
resnet,gap_gmp,UWaveGestureLibrary,183,0.815625011920929,0.8156249523162842,1.2245118618011475,1.0,1.0,0.0
