model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_map2_map4_map8,ArticularyWordRecognition,294,0.9733333587646484,0.9733332991600037,0.13199488818645477,1.0,1.0,0.0
resnet,gap_map2_map4_map8,AtrialFibrillation,351,0.2666666805744171,0.26666662096977234,4.581990718841553,1.0,1.0,0.0013003213098272681
resnet,gap_map2_map4_map8,BasicMotions,167,1.0,1.0,0.010591719299554825,1.0,1.0,0.0
resnet,gap_map2_map4_map8,Cricket,611,0.9861111044883728,0.986111044883728,0.045452676713466644,1.0,1.0,0.0
resnet,gap_map2_map4_map8,DuckDuckGeese,292,0.2800000011920929,0.2799999415874481,2.7336864471435547,1.0,1.0,0.0
resnet,gap_map2_map4_map8,EigenWorms,81186,0.732824444770813,0.7328243851661682,1.6516307592391968,1.0,1.0,3.511080421958468e-07
resnet,gap_map2_map4_map8,Epilepsy,209,0.9420289993286133,0.9420289397239685,0.22380691766738892,1.0,1.0,1.7402814744826856e-09
resnet,gap_map2_map4_map8,EthanolConcentration,2342,0.2015209197998047,0.2015208750963211,8.663409233093262,1.0,1.0,1.25820060929982e-05
resnet,gap_map2_map4_map8,ERing,152,0.9407407641410828,0.940740704536438,0.26255086064338684,1.0,1.0,0.0
resnet,gap_map2_map4_map8,FaceDetection,3623,0.6736662983894348,0.67366623878479,4.204213619232178,1.0,1.0,0.0
resnet,gap_map2_map4_map8,FingerMovements,277,0.5199999809265137,0.5199999213218689,3.157676935195923,1.0,1.0,0.0
resnet,gap_map2_map4_map8,HandMovementDirection,310,0.5945945978164673,0.5945945382118225,1.952980875968933,1.0,1.0,0.0
resnet,gap_map2_map4_map8,Handwriting,210,0.5658823251724243,0.5658822655677795,2.5553829669952393,1.0,1.0,1.5974042355537676e-07
resnet,gap_map2_map4_map8,Heartbeat,375,0.7268292903900146,0.7268291711807251,1.3095266819000244,1.0,1.0,0.0
resnet,gap_map2_map4_map8,Libras,200,0.8166666626930237,0.8166666030883789,2.03513765335083,1.0,1.0,1.0728830091011332e-07
resnet,gap_map2_map4_map8,LSST,1443,0.5908353328704834,0.5908352732658386,5.089529514312744,1.0,1.0,0.0
resnet,gap_map2_map4_map8,MotorImagery,6214,0.5299999713897705,0.5299999117851257,4.535151481628418,1.0,1.0,0.0
resnet,gap_map2_map4_map8,NATOPS,197,0.8333333134651184,0.8333332538604736,0.7792693972587585,1.0,1.0,0.0
resnet,gap_map2_map4_map8,PenDigits,3529,0.980560302734375,0.9805602431297302,0.3065585792064667,1.0,1.0,0.0
resnet,gap_map2_map4_map8,PEMS-SF,440,0.8381502628326416,0.8381502032279968,0.7664252519607544,1.0,1.0,8.929534334178868e-10
resnet,gap_map2_map4_map8,PhonemeSpectra,2766,0.24455711245536804,0.24455706775188446,11.045433044433594,1.0,1.0,3.659219487417431e-07
resnet,gap_map2_map4_map8,RacketSports,185,0.8815789222717285,0.8815788626670837,1.1359140872955322,1.0,1.0,0.0
resnet,gap_map2_map4_map8,SelfRegulationSCP1,1077,0.7713310718536377,0.7713310122489929,1.2140350341796875,1.0,1.0,0.0
resnet,gap_map2_map4_map8,SelfRegulationSCP2,1210,0.49444442987442017,0.4944443702697754,1.8728219270706177,1.0,1.0,0.0
resnet,gap_map2_map4_map8,StandWalkJump,510,0.4000000059604645,0.3999999761581421,3.2031168937683105,1.0,1.0,0.0053024389781057835
resnet,gap_map2_map4_map8,UWaveGestureLibrary,241,0.890625,0.8906249403953552,0.9608926773071289,1.0,1.0,0.0
