model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_map2_map4_map8,ArticularyWordRecognition,299,0.9866666793823242,0.9866666197776794,0.08838789165019989,1.0,1.0,0.0
resnet,gap_map2_map4_map8,AtrialFibrillation,351,0.13333334028720856,0.13333329558372498,4.37690544128418,1.0,1.0,0.0008477698429487646
resnet,gap_map2_map4_map8,BasicMotions,160,1.0,1.0,0.003981433808803558,1.0,1.0,0.0
resnet,gap_map2_map4_map8,Cricket,613,1.0,1.0,0.013095001690089703,1.0,1.0,0.0
resnet,gap_map2_map4_map8,DuckDuckGeese,286,0.3400000035762787,0.3399999439716339,2.5617406368255615,1.0,1.0,0.0
resnet,gap_map2_map4_map8,EigenWorms,81181,0.8244274854660034,0.8244274854660034,1.5243515968322754,1.0,1.0,1.0328328698960831e-06
resnet,gap_map2_map4_map8,Epilepsy,209,0.9637681245803833,0.9637680649757385,0.13289085030555725,1.0,1.0,5.220844201403452e-09
resnet,gap_map2_map4_map8,EthanolConcentration,2339,0.23954372107982635,0.23954367637634277,8.08475399017334,1.0,1.0,3.380711132194847e-05
resnet,gap_map2_map4_map8,ERing,149,0.9407407641410828,0.940740704536438,0.2657342255115509,1.0,1.0,0.0
resnet,gap_map2_map4_map8,FaceDetection,3589,0.6594778895378113,0.6594778299331665,5.1718668937683105,1.0,1.0,0.0
resnet,gap_map2_map4_map8,FingerMovements,270,0.47999998927116394,0.47999992966651917,3.1825509071350098,1.0,1.0,0.0
resnet,gap_map2_map4_map8,HandMovementDirection,304,0.662162184715271,0.6621621251106262,1.7768958806991577,1.0,1.0,0.0
resnet,gap_map2_map4_map8,Handwriting,214,0.548235297203064,0.5482352375984192,2.903517007827759,1.0,1.0,0.0
resnet,gap_map2_map4_map8,Heartbeat,375,0.7560975551605225,0.7560974955558777,1.167833924293518,1.0,1.0,0.0
resnet,gap_map2_map4_map8,Libras,199,0.7944444417953491,0.7944443821907043,2.2085001468658447,1.0,1.0,3.6822376614509267e-07
resnet,gap_map2_map4_map8,LSST,1431,0.588402271270752,0.5884022116661072,5.255855560302734,1.0,1.0,0.0
resnet,gap_map2_map4_map8,MotorImagery,6213,0.5400000214576721,0.5399999618530273,4.491763114929199,1.0,1.0,0.0
resnet,gap_map2_map4_map8,NATOPS,199,0.8166666626930237,0.8166666030883789,1.388941764831543,1.0,1.0,2.582867431044633e-08
resnet,gap_map2_map4_map8,PenDigits,3637,0.9788450598716736,0.9788450002670288,0.29876917600631714,1.0,1.0,0.0
resnet,gap_map2_map4_map8,PEMS-SF,443,0.8670520186424255,0.8670519590377808,0.8541095852851868,1.0,1.0,0.0
resnet,gap_map2_map4_map8,PhonemeSpectra,2751,0.25111839175224304,0.25111833214759827,11.162874221801758,1.0,1.0,4.5058264674935344e-08
resnet,gap_map2_map4_map8,RacketSports,190,0.8684210777282715,0.8684210181236267,1.5323377847671509,1.0,1.0,7.894654374673848e-10
resnet,gap_map2_map4_map8,SelfRegulationSCP1,1071,0.7679181098937988,0.7679179906845093,1.1987460851669312,1.0,1.0,0.0
resnet,gap_map2_map4_map8,SelfRegulationSCP2,1211,0.4444444477558136,0.4444443881511688,2.3284788131713867,1.0,1.0,0.0
resnet,gap_map2_map4_map8,StandWalkJump,518,0.3333333432674408,0.333333283662796,3.1033475399017334,1.0,1.0,0.05294724926352501
resnet,gap_map2_map4_map8,UWaveGestureLibrary,249,0.893750011920929,0.8937499523162842,0.9514726400375366,1.0,1.0,0.0
