model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_mpvH,ArticularyWordRecognition,271,0.9833333492279053,0.9833332896232605,0.1073451116681099,1.0,1.0,2.116700898113777e-06
resnet,gap_mpvH,AtrialFibrillation,375,0.4000000059604645,0.3999999761581421,2.1930623054504395,0.8666666746139526,0.8666666150093079,0.4081323742866516
resnet,gap_mpvH,BasicMotions,183,1.0,1.0,6.694635521853343e-05,1.0,1.0,0.0
resnet,gap_mpvH,Cricket,248,0.9861111044883728,0.986111044883728,0.07556542754173279,1.0,1.0,0.0
resnet,gap_mpvH,DuckDuckGeese,244,0.47999998927116394,0.47999992966651917,2.5936248302459717,1.0,1.0,1.5997860600691638e-06
resnet,gap_mpvH,EigenWorms,683,0.885496199131012,0.8854961395263672,0.9999671578407288,1.0,1.0,2.085226014969521e-06
resnet,gap_mpvH,Epilepsy,215,0.9855072498321533,0.9855071902275085,0.02760087326169014,1.0,1.0,4.07225286380708e-07
resnet,gap_mpvH,EthanolConcentration,307,0.22433459758758545,0.22433455288410187,5.654746055603027,1.0,1.0,5.2391773351700976e-05
resnet,gap_mpvH,ERing,181,0.8777777552604675,0.8777776956558228,0.594950795173645,1.0,1.0,0.0
resnet,gap_mpvH,FaceDetection,2434,0.5882520079612732,0.5882519483566284,6.6915364265441895,1.0,1.0,0.0
resnet,gap_mpvH,FingerMovements,275,0.5,0.4999999403953552,3.7066855430603027,1.0,1.0,6.7904020184528235e-09
resnet,gap_mpvH,HandMovementDirection,209,0.22972972691059113,0.22972968220710754,2.6483776569366455,1.0,1.0,2.6151533916163316e-07
resnet,gap_mpvH,Handwriting,205,0.6317647099494934,0.6317646503448486,1.6001888513565063,1.0,1.0,3.2345442946279945e-07
resnet,gap_mpvH,Heartbeat,258,0.6975609660148621,0.6975609064102173,1.8535945415496826,1.0,1.0,5.668283975523991e-08
resnet,gap_mpvH,Libras,214,0.8388888835906982,0.8388888239860535,0.9827654361724854,1.0,1.0,5.223307653068332e-06
resnet,gap_mpvH,LSST,1041,0.6098945736885071,0.6098945140838623,5.645991802215576,1.0,1.0,1.939150506835574e-10
resnet,gap_mpvH,MotorImagery,501,0.49000000953674316,0.4899999499320984,2.370622158050537,1.0,1.0,1.0051272738564876e-06
resnet,gap_mpvH,NATOPS,216,0.9055555462837219,0.9055554866790771,0.6146828532218933,1.0,1.0,3.035845793419867e-06
resnet,gap_mpvH,PenDigits,2816,0.9845626354217529,0.9845625758171082,0.14606618881225586,1.0,1.0,0.0
resnet,gap_mpvH,PEMS-SF,357,0.8265895843505859,0.8265895843505859,1.0776256322860718,1.0,1.0,1.3394301223712546e-09
resnet,gap_mpvH,PhonemeSpectra,1468,0.2866089940071106,0.2866089344024658,6.332084655761719,1.0,1.0,1.5358421023847768e-06
resnet,gap_mpvH,RacketSports,208,0.875,0.8749999403953552,1.0744043588638306,1.0,1.0,0.0
resnet,gap_mpvH,SelfRegulationSCP1,257,0.6894198060035706,0.6894197463989258,1.7721872329711914,1.0,1.0,2.8245469252397015e-07
resnet,gap_mpvH,SelfRegulationSCP2,246,0.5111111402511597,0.5111110806465149,2.20257568359375,1.0,1.0,2.5301958430645755e-06
resnet,gap_mpvH,StandWalkJump,400,0.3333333432674408,0.333333283662796,3.0551629066467285,0.4166666567325592,0.41666659712791443,2.522531747817993
resnet,gap_mpvH,UWaveGestureLibrary,207,0.871874988079071,0.8718749284744263,0.7880498766899109,1.0,1.0,1.8080072550219484e-07
