model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_mpvH_ppvHste,ArticularyWordRecognition,244,0.9800000190734863,0.9799999594688416,0.14039602875709534,1.0,1.0,1.7621172219151049e-06
resnet,gap_mpvH_ppvHste,AtrialFibrillation,378,0.2666666805744171,0.26666662096977234,2.754514455795288,0.5333333611488342,0.5333333015441895,0.9830476641654968
resnet,gap_mpvH_ppvHste,BasicMotions,150,1.0,1.0,0.000546914990991354,1.0,1.0,1.4901159417490817e-08
resnet,gap_mpvH_ppvHste,Cricket,271,0.9861111044883728,0.986111044883728,0.023760400712490082,1.0,1.0,9.271830236912137e-08
resnet,gap_mpvH_ppvHste,DuckDuckGeese,227,0.41999998688697815,0.4199999272823334,3.0684447288513184,1.0,1.0,8.63074092194438e-07
resnet,gap_mpvH_ppvHste,EigenWorms,1774,0.8931297659873962,0.8931297063827515,0.8701243996620178,1.0,1.0,2.4586845484009245e-06
resnet,gap_mpvH_ppvHste,Epilepsy,187,0.97826087474823,0.9782608151435852,0.0491907112300396,1.0,1.0,4.742264252399764e-07
resnet,gap_mpvH_ppvHste,EthanolConcentration,555,0.22053231298923492,0.22053225338459015,6.499683380126953,1.0,1.0,6.254864274524152e-05
resnet,gap_mpvH_ppvHste,ERing,147,0.8592592477798462,0.8592591881752014,0.5953661799430847,1.0,1.0,7.549920155724976e-08
resnet,gap_mpvH_ppvHste,FaceDetection,2956,0.5445516705513,0.5445516109466553,6.9901628494262695,1.0,1.0,2.6311047784943753e-10
resnet,gap_mpvH_ppvHste,FingerMovements,241,0.5,0.4999999403953552,3.9252851009368896,1.0,1.0,7.544891378330476e-10
resnet,gap_mpvH_ppvHste,HandMovementDirection,202,0.28378379344940186,0.2837837338447571,2.910665512084961,1.0,1.0,2.6151533916163316e-07
resnet,gap_mpvH_ppvHste,Handwriting,182,0.6035293936729431,0.6035293340682983,2.0363872051239014,1.0,1.0,2.5431312167256692e-08
resnet,gap_mpvH_ppvHste,Heartbeat,263,0.7317073345184326,0.7317072749137878,2.0368332862854004,1.0,1.0,2.1796495275339112e-07
resnet,gap_mpvH_ppvHste,Libras,176,0.8666666746139526,0.8666666150093079,0.8632845282554626,1.0,1.0,1.0074098099721596e-05
resnet,gap_mpvH_ppvHste,LSST,1155,0.6038118600845337,0.6038118004798889,5.413334846496582,1.0,1.0,1.0665327510039901e-09
resnet,gap_mpvH_ppvHste,MotorImagery,934,0.5400000214576721,0.5399999618530273,2.63938570022583,1.0,1.0,1.5484265531995334e-06
resnet,gap_mpvH_ppvHste,NATOPS,177,0.9111111164093018,0.911111056804657,0.5467294454574585,1.0,1.0,3.4769097965181572e-06
resnet,gap_mpvH_ppvHste,PenDigits,3119,0.9839908480644226,0.9839907884597778,0.2031341791152954,1.0,1.0,0.0
resnet,gap_mpvH_ppvHste,PEMS-SF,351,0.8323699235916138,0.832369863986969,0.7992081642150879,1.0,1.0,8.483056923580534e-09
resnet,gap_mpvH_ppvHste,PhonemeSpectra,2076,0.2678198516368866,0.2678197920322418,7.3478851318359375,1.0,1.0,1.5713709444753476e-06
resnet,gap_mpvH_ppvHste,RacketSports,173,0.8815789222717285,0.8815788626670837,1.1358152627944946,1.0,1.0,0.0
resnet,gap_mpvH_ppvHste,SelfRegulationSCP1,384,0.6791808605194092,0.6791808009147644,1.9271847009658813,1.0,1.0,7.063520683914248e-07
resnet,gap_mpvH_ppvHste,SelfRegulationSCP2,361,0.4555555582046509,0.4555554986000061,2.967838764190674,1.0,1.0,4.50305287813535e-06
resnet,gap_mpvH_ppvHste,StandWalkJump,407,0.46666666865348816,0.4666666090488434,1.4685755968093872,0.8333333134651184,0.8333332538604736,0.6594054698944092
resnet,gap_mpvH_ppvHste,UWaveGestureLibrary,179,0.8687499761581421,0.8687499165534973,0.8784106373786926,1.0,1.0,1.291433875394432e-07
